2013-14 State, District, School Level EOG and EOC Report								
Percentages greater than 95 are displayed as >95 and percentages less than 5 are displayed as <5.								
Results are blank or excluded from the file if the denominator is less than 5 scores or students.								
College & Career Ready (CCR) - Level 4 & 5 /Grade Level Proficient (GLP) - Level 3 & Above								
								
Note:  Filter applied to all columns headers.  For sorting or filtering, click on the down arrow.								
District Name	School Name	School Code	Subject	Percent Level 1	Percent Level 2	Percent Level 3	Percent Level 4	Percent Level 5
North Carolina	State Results	NC	All Subjects	22.1	21.6	10.1	33.5	12.7
North Carolina	State Results	NC	All EOG	22.2	22.1	9.9	32.8	13.0
North Carolina	State Results	NC	EOG Grade 3	18.8	20.6	12.6	33.8	14.2
North Carolina	State Results	NC	EOG Grade 4	24.1	20.9	9.2	33.8	12.0
North Carolina	State Results	NC	EOG Grade 5	20.4	21.5	10.4	34.5	13.2
North Carolina	State Results	NC	EOG Grade 6	24.6	23.6	9.2	29.5	13.1
North Carolina	State Results	NC	EOG Grade 7	24.2	24.2	8.3	30.3	12.9
North Carolina	State Results	NC	EOG Grade 8	22.2	21.9	9.6	33.6	12.7
North Carolina	State Results	NC	All Reading	21.2	22.5	11.6	34.4	10.3
North Carolina	State Results	NC	Reading Grade 3	21.0	18.8	12.5	35.7	12.0
North Carolina	State Results	NC	Reading Grade 4	26.1	18.3	11.1	37.6	6.9
North Carolina	State Results	NC	Reading Grade 5	24.4	21.8	13.5	31.7	8.6
North Carolina	State Results	NC	Reading Grade 6	18.4	24.8	11.1	33.7	12.0
North Carolina	State Results	NC	Reading Grade 7	17.2	25.5	9.7	35.9	11.7
North Carolina	State Results	NC	Reading Grade 8	20.3	25.6	11.9	32.4	9.9
North Carolina	State Results	NC	All Math	25.0	24.0	8.0	28.3	14.8
North Carolina	State Results	NC	Math Grade 3	16.7	22.4	12.6	31.9	16.3
North Carolina	State Results	NC	Math Grade 4	22.1	23.5	7.2	30.0	17.1
North Carolina	State Results	NC	Math Grade 5	19.8	23.8	6.1	33.1	17.2
North Carolina	State Results	NC	Math Grade 6	30.8	22.4	7.2	25.4	14.2
North Carolina	State Results	NC	Math Grade 7	31.2	22.9	7.0	24.8	14.2
North Carolina	State Results	NC	Math Grade 8	29.2	28.7	7.6	24.8	9.8
North Carolina	State Results	NC	All Science	17.0	15.2	10.5	41.1	16.1
North Carolina	State Results	NC	Science Grade 5	16.8	18.9	11.7	38.7	13.8
North Carolina	State Results	NC	Science Grade 8	17.2	11.4	9.4	43.5	18.4
North Carolina	State Results	NC	All EOC	21.6	19.8	10.7	36.6	11.2
North Carolina	State Results	NC	Math I	23.3	16.7	13.1	34.6	12.3
North Carolina	State Results	NC	Biology	22.5	23.6	8.8	30.3	14.8
North Carolina	State Results	NC	English II	18.4	20.3	9.5	45.5	6.2
Alamance-Burlington Schools	District Results	010	All Subjects	27.0	23.7	10.0	30.1	9.2
Alamance-Burlington Schools	District Results	010	All EOG	27.4	24.2	9.8	29.1	9.5
Alamance-Burlington Schools	District Results	010	EOG Grade 3	23.0	22.9	12.8	30.9	10.3
Alamance-Burlington Schools	District Results	010	EOG Grade 4	27.5	23.1	9.4	30.0	10.0
Alamance-Burlington Schools	District Results	010	EOG Grade 5	24.1	24.9	10.4	30.1	10.4
Alamance-Burlington Schools	District Results	010	EOG Grade 6	30.1	22.6	9.0	27.6	10.7
Alamance-Burlington Schools	District Results	010	EOG Grade 7	29.8	25.9	8.0	26.4	9.8
Alamance-Burlington Schools	District Results	010	EOG Grade 8	29.7	24.9	9.1	29.2	7.1
Alamance-Burlington Schools	District Results	010	All Reading	26.0	24.8	11.3	30.2	7.7
Alamance-Burlington Schools	District Results	010	Reading Grade 3	24.2	20.8	12.4	32.4	10.2
Alamance-Burlington Schools	District Results	010	Reading Grade 4	28.2	20.6	10.8	34.6	5.8
Alamance-Burlington Schools	District Results	010	Reading Grade 5	29.9	23.9	13.4	25.5	7.3
Alamance-Burlington Schools	District Results	010	Reading Grade 6	22.9	24.8	12.1	31.0	9.2
Alamance-Burlington Schools	District Results	010	Reading Grade 7	23.4	28.0	8.8	31.3	8.4
Alamance-Burlington Schools	District Results	010	Reading Grade 8	27.7	29.8	10.3	27.1	5.1
Alamance-Burlington Schools	District Results	010	All Math	30.0	25.8	8.1	25.2	10.9
Alamance-Burlington Schools	District Results	010	Math Grade 3	21.8	25.1	13.2	29.4	10.5
Alamance-Burlington Schools	District Results	010	Math Grade 4	26.9	25.6	8.1	25.3	14.2
Alamance-Burlington Schools	District Results	010	Math Grade 5	21.2	28.8	5.8	30.6	13.6
Alamance-Burlington Schools	District Results	010	Math Grade 6	37.4	20.3	5.9	24.2	12.1
Alamance-Burlington Schools	District Results	010	Math Grade 7	36.2	23.8	7.3	21.5	11.2
Alamance-Burlington Schools	District Results	010	Math Grade 8	35.1	31.2	8.4	20.6	<5
Alamance-Burlington Schools	District Results	010	All Science	24.0	17.7	10.3	37.1	10.9
Alamance-Burlington Schools	District Results	010	Science Grade 5	21.4	21.9	12.1	34.2	10.4
Alamance-Burlington Schools	District Results	010	Science Grade 8	26.4	13.7	8.6	39.8	11.4
Alamance-Burlington Schools	District Results	010	All EOC	25.4	21.6	10.7	34.3	8.0
Alamance-Burlington Schools	District Results	010	Math I	24.5	17.5	13.2	35.8	9.0
Alamance-Burlington Schools	District Results	010	Biology	26.4	25.1	8.9	28.9	10.7
Alamance-Burlington Schools	District Results	010	English II	25.6	23.4	9.3	37.6	<5
Alamance-Burlington Schools	Alexander Wilson Elementary	010304	All Subjects	14.9	22.5	11.2	39.6	11.7
Alamance-Burlington Schools	Alexander Wilson Elementary	010304	All EOG	14.9	22.5	11.2	39.6	11.7
Alamance-Burlington Schools	Alexander Wilson Elementary	010304	EOG Grade 3	22.3	22.3	14.7	36.4	<5
Alamance-Burlington Schools	Alexander Wilson Elementary	010304	EOG Grade 4	15.6	24.4	8.8	34.4	16.9
Alamance-Burlington Schools	Alexander Wilson Elementary	010304	EOG Grade 5	9.7	21.5	10.4	44.8	13.6
Alamance-Burlington Schools	Alexander Wilson Elementary	010304	All Reading	18.5	19.6	12.5	41.5	7.9
Alamance-Burlington Schools	Alexander Wilson Elementary	010304	Reading Grade 3	25.0	16.3	15.2	39.1	<5
Alamance-Burlington Schools	Alexander Wilson Elementary	010304	Reading Grade 4	17.5	20.0	10.0	41.3	11.3
Alamance-Burlington Schools	Alexander Wilson Elementary	010304	Reading Grade 5	12.9	22.6	11.8	44.1	8.6
Alamance-Burlington Schools	Alexander Wilson Elementary	010304	All Math	14.0	26.4	9.8	34.0	15.8
Alamance-Burlington Schools	Alexander Wilson Elementary	010304	Math Grade 3	19.6	28.3	14.1	33.7	<5
Alamance-Burlington Schools	Alexander Wilson Elementary	010304	Math Grade 4	13.8	28.8	7.5	27.5	22.5
Alamance-Burlington Schools	Alexander Wilson Elementary	010304	Math Grade 5	8.6	22.6	7.5	39.8	21.5
Alamance-Burlington Schools	Alexander Wilson Elementary	010304	All Science	7.5	19.4	11.8	50.5	10.8
Alamance-Burlington Schools	Alexander Wilson Elementary	010304	Science Grade 5	7.5	19.4	11.8	50.5	10.8
Alamance-Burlington Schools	Altamahaw Ossipee Elem	010308	All Subjects	14.7	20.4	10.8	37.3	16.9
Alamance-Burlington Schools	Altamahaw Ossipee Elem	010308	All EOG	14.7	20.4	10.8	37.3	16.9
Alamance-Burlington Schools	Altamahaw Ossipee Elem	010308	EOG Grade 3	9.5	23.5	11.5	37.5	18.0
Alamance-Burlington Schools	Altamahaw Ossipee Elem	010308	EOG Grade 4	10.1	14.6	9.0	48.3	18.0
Alamance-Burlington Schools	Altamahaw Ossipee Elem	010308	EOG Grade 5	21.0	21.7	11.4	30.3	15.5
Alamance-Burlington Schools	Altamahaw Ossipee Elem	010308	All Reading	16.4	18.5	15.0	37.4	12.6
