https://en.wikipedia.org/wiki/North_Carolina_locations_by_per_capita_income
2006-2010 ACS estimates
North Carolina	24745	45570	56153	9535483	3745155

c("100", "110", "130", "190", "250", "260", "320", "340", "410", "600", "630", "650", "680", "681", "900", "920")


rank	county	percapinc	medhsldinc	medfaminc	pop	numhsld
1	Orange	32912	52981	79811	133801	51457	680, 681
2	Wake	32592	63770	81461	900993	345645	920
3	Mecklenburg	31848	55294	67375	919628	362213	600
4	Dare	30327	53889	65778	33920	14335
5	Chatham	29991	56038	66120	63505	25845	190
6	New_Hanover	29363	48553	65188	202667	86046	650	wilmington
7	Union	28596	63386	71538	201292	67864	900
8	Durham	27503	49894	62890	267587	109348	320
9	Carteret	26791	46155	56842	66469	28870
10	Brunswick	26315	45806	54644	107431	46297	100
11	Guilford	26267	45676	59367	488406	196628	410	greensboro
12	Forsyth	26213	46749	59867	350670	141163	340	winston-salem
13	Cabarrus	26165	53928	65594	178011	65666	130	concord
14	Macon	26156	38615	46702	33922	14591
15	Davie	26139	49727	61659	41240	16245
16	Currituck	26083	55376	66213	23547	8880
17	Henderson	26061	46446	58381	106740	45448
18	Moore	25786	48319	61068	88247	37540	630	pinehurst
19	Buncombe	25665	44190	54981	238318	100412	110	asheville
20	Iredell	25610	48962	59639	159437	61215
21	Camden	25544	61091	74320	9980	3675
22	Craven	24591	44599	53604	103505	40299	250	new bern
23	Haywood	24233	41377	51596	59036	25563
24	Polk	24008	43692	55846	20510	8989
25	Transylvania	23939	39408	52674	33090	14394
26	Nash	23909	44499	55186	95840	37782
27	Lincoln	23560	47450	54765	78265	30343
28	Avery	23465	34918	47644	17797	6664
29	Pamlico	23320	40561	51630	13144	5490
30	Catawba	22969	43484	53285	154358	60887
31	Pender	22872	44338	54087	52217	20333
32	Alamance	22819	44167	52806	151131	59960
33	Beaufort	22728	40653	49668	47759	19941
34	Johnston	22437	49745	58187	168878	61909
35	Gaston	22305	43253	53366	206086	79867
36	Cumberland	22285	43834	50910	319431	122431	260	fayetteville
37	Davidson	22268	44249	54652	162878	64515
38	Perquimans	22085	43041	48870	13453	5598
39	Pitt	21935	38592	53432	168148	67577
40	Person	21848	44668	54747	39464	15826
41	Pasquotank	21736	44085	54785	40661	14956
42	Granville	21733	48210	57203	59916	20628
43	Rowan	21525	43596	52850	138428	53140
44	Franklin	21331	43710	51591	60619	23023
45	Randolph	21297	40346	49257	141752	55373
46	Stanly	21139	44802	58125	60585	23589
47	Lee	21061	44120	53375	57866	22058
48	Onslow	21048	43561	48380	177772	60092
49	Watauga	20961	31967	56112	51079	20403
50	Chowan	20900	36761	45932	14793	6059
51	Stokes	20852	42689	49134	47401	19416
52	Rockingham	20801	39231	48641	93643	38693
53	Cherokee	20747	38144	44949	27444	11753
54	Alexander	20716	40014	51431	37198	14425
55	Wilson	20691	38596	47716	81234	31962
56	Surry	20541	37294	47248	73673	29914
57	Clay	20474	35109	39406	10587	4660
58	Wayne	20446	41224	49504	122623	47831	goldsboro
59	Yadkin	20379	39807	50990	38406	15486
60	Ashe	20350	34538	46537	27281	11755
61	Jackson	20228	37190	49500	40271	16446
62	Jones	20066	38354	45876	10153	4167
63	Gates	19893	45682	55559	12197	4665
64	Caldwell	19686	37261	48462	83029	33388
65	Wilkes	19406	33438	43439	69340	28360
66	Swain	19297	35071	48101	13981	5672
67	Cleveland	19284	38208	47460	98078	38555
68	Harnett	19274	42853	52708	114678	41594
69	Burke	19220	37139	46799	90912	35804
70	Sampson	19086	35740	44296	63431	24005
71	Lenoir	19017	33625	42317	59495	24327
72	Rutherford	18961	35364	43702	67810	27466
73	Alleghany	18919	30845	38535	11155	4778
74	Mitchell	18804	32743	41727	15579	6685
75	McDowell	18798	34953	47243	44996	17838
76	Madison	18792	38580	49838	20764	8494
77	Columbus	18784	35421	45193	58098	22489
78	Martin	18728	34766	43293	24505	10318
79	Montgomery	18618	33861	43740	27798	10544
80	Yancey	18576	35703	42252	17818	7644
81	Bladen	17890	30471	41937	35190	14430
82	Warren	17838	30641	40323	20972	8321
83	Graham	17825	28447	34831	8861	3701
84	Caswell	17814	36927	44401	23719	9190
85	Richmond	17692	30439	38881	46639	18430
86	Hoke	17630	42927	47281	46952	16532
87	Vance	17622	34025	41025	45422	17395
88	Bertie	17614	29110	39443	21282	8359
89	Greene	17362	41488	48409	21362	7313
90	Halifax	17223	30439	40569	54691	21970
91	Northampton	17128	30578	40230	22099	9193
92	Hertford	17002	30878	39973	24669	9334
93	Washington	16982	32716	41007	13228	5526
94	Anson	16856	34745	39612	26948	9755
95	Edgecombe	16747	32665	41857	56552	21680
96	Duplin	16693	32816	40774	58505	22495
97	Scotland	16297	29368	37232	36157	13614
98	Tyrrell	15812	32215	37708	4407	1595
99	Robeson	15321	29667	34788	134168	47997
100	Hyde	14992	38265	44406	5810	2119
