year	unit_code	category_cd	avg_daily_attend_pct	crime_per_c_num	short_susp_per_c_num	long_susp_per_c_num	expelled_per_c_num	ttl_crimes_num	stud_internet_comp_num	lea_avg_daily_attend_pct	lea_crime_per_c_num	lea_short_susp_per_c_num	lea_long_susp_per_c_num	lea_expelled_per_c_num	lea_stud_internet_comp_num	st_avg_daily_attend_pct	st_crime_per_c_num	st_short_susp_per_c_num	st_long_susp_per_c_num	st_expelled_per_c_num	st_stud_internet_comp_num	digital_media_pct	Byod	grades_BYOD	avg_age_media_collection	_1_to_1_access	books_per_student	grades_1_to_1_access	lea_avg_age_media_collection	lea_books_per_student	st_avg_age_media_collection	st_books_per_student	wap_num	wap_per_classroom	lea_wap_num	lea_wap_per_classroom	st_wap_num	st_wap_per_classroom
2013	010303	H	0.863	4.11	0	0	0		0.69	0.941	0.88	17.66	0.09	0	1.55	0.949	1.34				1.79																	
2013	010304	E	0.955	0	3	0	0		1.93	0.943	0.36	3.14	0	0	1.55	0.949	0.22				1.79																	
2013	010308	E	0.949	0	0.17	0	0		1.74	0.943	0.36	3.14	0	0	1.55	0.949	0.22				1.79																	
2013	010310	M	0.943	1.21	44.26	0	0		1.12	0.944	1.25	20.25	0	0	1.55	0.949	0.91				1.79																	
2013	010311	H			0	0	0		0	0.941	0.88	17.66	0.09	0	1.55	0.949	1.34				1.79																	
2013	010312	E	0.958	0	0.45	0	0		2.35	0.943	0.36	3.14	0	0	1.55	0.949	0.22				1.79																	
2013	010320	E	0.959	0	0.29	0	0		1.77	0.943	0.36	3.14	0	0	1.55	0.949	0.22				1.79																	
2013	010324	H	0.935	0.61	22.11	0	0		1.95	0.941	0.88	17.66	0.09	0	1.55	0.949	1.34				1.79																	
2013	010326	E	0.955	0.43	4.28	0	0		0.56	0.943	0.36	3.14	0	0	1.55	0.949	0.22				1.79																	
2013	010328	E	0.954	0.16	0.79	0	0		2.3	0.943	0.36	3.14	0	0	1.55	0.949	0.22				1.79																	
2013	010340	E	0.953	0	3.34	0	0		2.21	0.943	0.36	3.14	0	0	1.55	0.949	0.22				1.79																	
2013	010346	E	0.95	0.24	3.8	0	0		0.78	0.943	0.36	3.14	0	0	1.55	0.949	0.22				1.79																	
2013	010347	E	0.949	0	3.88	0	0		4.34	0.943	0.36	3.14	0	0	1.55	0.949	0.22				1.79																	
2013	010348	H	0.927	0.89	11.61	0	0		1.78	0.941	0.88	17.66	0.09	0	1.55	0.949	1.34				1.79																	
2013	010350	M	0.943	1.03	25.81	0	0		1.25	0.944	1.25	20.25	0	0	1.55	0.949	0.91				1.79																	
2013	010351	E	0.952	0.71	6.57	0	0		1.25	0.943	0.36	3.14	0	0	1.55	0.949	0.22				1.79																	
2013	010353	M	0.947	0.72	10.94	0	0		1.77	0.944	1.25	20.25	0	0	1.55	0.949	0.91				1.79																	
2013	010354	E	0.95	1.06	1.36	0	0		1.59	0.943	0.36	3.14	0	0	1.55	0.949	0.22				1.79																	
2013	010357	E	0.949	0.82	3.09	0	0		1.55	0.943	0.36	3.14	0	0	1.55	0.949	0.22				1.79																	
2013	010358	E	0.955	0.21	3.08	0	0		1.17	0.943	0.36	3.14	0	0	1.55	0.949	0.22				1.79																	
2013	010360	H	0.907	0.84	28.85	0	0		2.25	0.941	0.88	17.66	0.09	0	1.55	0.949	1.34				1.79																	
2013	010362	E	0.963	0.41	4.36	0	0		1.41	0.943	0.36	3.14	0	0	1.55	0.949	0.22				1.79																	
2013	010364	E	0.949	0.85	6.53	0	0		1.14	0.943	0.36	3.14	0	0	1.55	0.949	0.22				1.79																	
2013	010372	E	0.936	1.38	8.72	0	0		1.2	0.943	0.36	3.14	0	0	1.55	0.949	0.22				1.79																	
2013	010374	E	0.954	1.02	4.59	0	0		1.18	0.943	0.36	3.14	0	0	1.55	0.949	0.22				1.79																	
2013	010378	A	0.766	1.3	92.21	0	0		0.68	0.944	1.3	92.21	0	0	1.55	0.953	0.4				1.79																	
2013	010380	E	0.949	0.17	5.48	0	0		1.68	0.943	0.36	3.14	0	0	1.55	0.949	0.22				1.79																	
2013	010384	E	0.961	0	0	0	0		1.86	0.943	0.36	3.14	0	0	1.55	0.949	0.22				1.79																	
2013	010388	H	0.924	1.17	14.09	0.41	0		2.56	0.941	0.88	17.66	0.09	0	1.55	0.949	1.34				1.79																	
2013	010390	M	0.939	2.63	13.01	0	0		2.94	0.944	1.25	20.25	0	0	1.55	0.949	0.91				1.79																	
2013	010392	E	0.943	0.67	4.01	0	0		0.84	0.943	0.36	3.14	0	0	1.55	0.949	0.22				1.79																	
2013	010394	M	0.954	1.62	22.38	0	0		1.15	0.944	1.25	20.25	0	0	1.55	0.949	0.91				1.79																	
2013	010396	H	0.917	0.37	25.65	0	0		1.44	0.941	0.88	17.66	0.09	0	1.55	0.949	1.34				1.79																	
2013	010400	H	0.924	1.08	7.17	0	0		2.37	0.941	0.88	17.66	0.09	0	1.55	0.949	1.34				1.79																	
2013	010403	M	0.948	0.67	9.79	0	0		2.56	0.944	1.25	20.25	0	0	1.55	0.949	0.91				1.79																	
2013	010406	M	0.953	0.51	17.57	0	0		1.63	0.944	1.25	20.25	0	0	1.55	0.949	0.91				1.79																	
2013	010LEA	A								0.944	1.3	92.21	0	0	1.55	0.953	0.4				1.79																	
2013	010LEA	E								0.943	0.36	3.14	0	0	1.55	0.949	0.22				1.79																	
2013	010LEA	H								0.941	0.88	17.66	0.09	0	1.55	0.949	1.34				1.79																	
2013	010LEA	M								0.944	1.25	20.25	0	0	1.55	0.949	0.91				1.79																	
2013	01B000	A	0.967	0	8.73	0	0		1.29							0.953	0.4				1.79																	
2013	01C000	A	0.96	0	0.81	0	0		2.22							0.953	0.4				1.79																	
2013	01D000	T	0.966	0	0	0	0									0.949	2.36				1.79																	
2013	020302	H	0.933	2.67	9.58	0	0.12		3.76	0.952	2.67	9.58	0	0.12	2.45	0.949	1.34				1.79																	
2013	020304	E	0.964	0	1.19	0	0		2.78	0.955	0.37	2.52	0.04	0	2.45	0.949	0.22				1.79																	
2013	020306	M	0.954	0.15	9.25	0	0		1.89	0.954	0.4	10.75	0.08	0	2.45	0.949	0.91				1.79																	
2013	020308	E	0.963	0.33	1	0	0		1.3	0.955	0.37	2.52	0.04	0	2.45	0.949	0.22				1.79																	
2013	020316	E	0.953	0.21	3.51	0	0		2.11	0.955	0.37	2.52	0.04	0	2.45	0.949	0.22				1.79																	
2013	020320	E	0.947	0.99	3.95	0	0		2.96	0.955	0.37	2.52	0.04	0	2.45	0.949	0.22				1.79																	
2013	020324	E	0.962	0.35	1.04	0.35	0		3.03	0.955	0.37	2.52	0.04	0	2.45	0.949	0.22				1.79																	
2013	020328	E	0.955	1.12	5.22	0	0		2.01	0.955	0.37	2.52	0.04	0	2.45	0.949	0.22				1.79																	
2013	020330	M	0.957	0.68	12.46	0.17	0		2.91	0.954	0.4	10.75	0.08	0	2.45	0.949	0.91				1.79																	
2013	020332	E	0.961	0	2.3	0	0		1.48	0.955	0.37	2.52	0.04	0	2.45	0.949	0.22				1.79																	
2013	020LEA	E								0.955	0.37	2.52	0.04	0	2.45	0.949	0.22				1.79																	
2013	020LEA	H								0.952	2.67	9.58	0	0.12	2.45	0.949	1.34				1.79																	
2013	020LEA	M								0.954	0.4	10.75	0.08	0	2.45	0.949	0.91				1.79																	
2013	030304	H	0.942	0.48	12.08	0	0		1.03	0.947	0.48	12.08	0	0	1.21	0.949	1.34				1.79																	
2013	030308	I	0.949	0	0.4	0	0		0.8	0.946	0.51	5.62	0	0	1.21	0.952	0.33				1.79																	
2013	030316	I	0.952	1.2	1.81	0	0		1.12	0.946	0.51	5.62	0	0	1.21	0.952	0.33				1.79																	
2013	030320	I	0.946	0.54	9.12	0	0		1.97	0.946	0.51	5.62	0	0	1.21	0.952	0.33				1.79																	
2013	030LEA	H								0.947	0.48	12.08	0	0	1.21	0.949	1.34				1.79																	
2013	030LEA	I								0.946	0.51	5.62	0	0	1.21	0.952	0.33				1.79																	
2013	040304	H	0.97	0	0	0	0		0.95	0.942	0.62	63.57	0.31	0	0.56	0.949	1.34				1.79																	
2013	040305	T	0.778	0	382.83	4.04	0		0	0.934	0	382.83	4.04	0	0.56	0.949	2.36				1.79																	
2013	040306	H	0.916	0.61	92.39	0.46	0		1.76	0.942	0.62	63.57	0.31	0	0.56	0.949	1.34				1.79																	
2013	040308	E	0.953	0	10.08	0	0		1.95	0.944	0.25	24.11	0.1	0	0.56	0.949	0.22				1.79																	
2013	040309	M	0.947	0.73	45.34	0.91	0		1.74	0.941	0.73	45.34	0.91	0	0.56	0.949	0.91				1.79																	
2013	040311	E	0.942	0	28.9	0	0		3.27	0.944	0.25	24.11	0.1	0	0.56	0.949	0.22				1.79																	
2013	040316	E	0.944	0	0	0	0		1.95	0.944	0.25	24.11	0.1	0	0.56	0.949	0.22				1.79																	
2013	040324	E	0.944	0	45.89	0	0		1.66	0.944	0.25	24.11	0.1	0	0.56	0.949	0.22				1.79																	
2013	040328	E	0.946	0	5.65	0	0		2.78	0.944	0.25	24.11	0.1	0	0.56	0.949	0.22				1.79																	
2013	040330	E	0.946	1.94	76.36	0.78	0		2.18	0.944	0.25	24.11	0.1	0	0.56	0.949	0.22				1.79																	
2013	040700	H	0.93	1.4	6.29	0	0		0.9	0.942	0.62	63.57	0.31	0	0.56	0.949	1.34				1.79																	
2013	040LEA	E								0.944	0.25	24.11	0.1	0	0.56	0.949	0.22				1.79																	
2013	040LEA	H								0.942	0.62	63.57	0.31	0	0.56	0.949	1.34				1.79																	
2013	040LEA	M								0.941	0.73	45.34	0.91	0	0.56	0.949	0.91				1.79																	
2013	040LEA	T								0.934	0	382.83	4.04	0	0.56	0.949	2.36				1.79																	
2013	050302	H	0.948	2.15	16.43	0	0		1.36	0.949	2.15	16.43	0	0	1.58	0.949	1.34				1.79																	
2013	050305	M	0.946	2.38	6.15	0	0		1.58	0.949	2.38	6.15	0	0	1.58	0.949	0.91				1.79																	
2013	050310	E	0.944	0	4.08	0	0		2.17	0.948	0.06	3.7	0	0	1.58	0.949	0.22				1.79																	
2013	050330	E	0.951	0.17	3.19	0	0		1.47	0.948	0.06	3.7	0	0	1.58	0.949	0.22				1.79																	
2013	050335	E	0.955	0	3.86	0	0		1.72	0.948	0.06	3.7	0	0	1.58	0.949	0.22				1.79																	
2013	050LEA	E								0.948	0.06	3.7	0	0	1.58	0.949	0.22				1.79																	
2013	050LEA	H								0.949	2.15	16.43	0	0	1.58	0.949	1.34				1.79																	
2013	050LEA	M								0.949	2.38	6.15	0	0	1.58	0.949	0.91				1.79																	
2013	060302	H	0.947	2.25	7.87	0	0		0.46	0.951	1.42	7.27	0	0	1.17	0.949	1.34				1.79																	
2013	060304	E	0.955	0	0	0	0		3.3	0.949	0	1.03	0	0	1.17	0.949	0.22				1.79																	
2013	060310	M	0.946	0	8.29	0	0		0.9	0.949	0.19	3.48	0	0	1.17	0.949	0.91				1.79																	
2013	060316	E	0.95	0	1.37	0	0		7.75	0.949	0	1.03	0	0	1.17	0.949	0.22				1.79																	
2013	060318	M	0.952	0.32	0.32	0	0		0.73	0.949	0.19	3.48	0	0	1.17	0.949	0.91				1.79																	
2013	060322	E	0.942	0	0	0	0		12.39	0.949	0	1.03	0	0	1.17	0.949	0.22				1.79																	
2013	060328	E	0.944	0	0.87	0	0		4.02	0.949	0	1.03	0	0	1.17	0.949	0.22				1.79																	
2013	060332	E	0.96	0	4.03	0	0		20.83	0.949	0	1.03	0	0	1.17	0.949	0.22				1.79																	
2013	060334	T	0.9	10	0	0	0		1	0.949	10	0	0	0	1.17	0.949	2.36				1.79																	
2013	060700	H	0.972	0.93	3.74	0	0			0.951	1.42	7.27	0	0	1.17	0.949	1.34				1.79																	
2013	060701	H	0.959	0	8.24	0	0			0.951	1.42	7.27	0	0	1.17	0.949	1.34				1.79																	
2013	060LEA	E								0.949	0	1.03	0	0	1.17	0.949	0.22				1.79																	
