year	unit_code	category_cd	total_class_teacher_num	total_nbpts_num	prin_other_pct	prinyrs_0thru3_pct	prinyrs_4thru10_pct	prinyrs_11plus_pct	prin_advance_dgr_pct	_1yr_prin_trnovr_pct	prin_male_pct	prin_female_pct	prin_black_pct	prin_white_pct	flicensed_teach_pct	tchyrs_0thru3_pct	tchyrs_4thru10_pct	tchyrs_11plus_pct	class_teach_num	nbpts_num	advance_dgr_pct	_1yr_tchr_trnovr_pct	emer_prov_teach_pct	lateral_teach_pct	highqual_class_pct	lea_flicensed_teach_pct	lea_tchyrs_0thru3_pct	lea_tchyrs_4thru10_pct	lea_tchyrs_11plus_pct	lea_class_teach_num	lea_nbpts_num	lea_advance_dgr_pct	lea_1yr_tchr_trnovr_pct	lea_emer_prov_teach_pct	lea_lateral_teach_pct	lea_highqual_class_pct	lea_highqual_class_hp_pct	lea_highqual_class_lp_pct	lea_highqual_class_all_pct	lea_not_highqual_class_hp_pct	lea_not_highqual_class_lp_pct	lea_not_highqual_class_all_pct	st_flicensed_teach_pct	st_tchyrs_0thru3_pct	st_tchyrs_4thru10_pct	st_tchyrs_11plus_pct	st_class_teach_num	st_nbpts_num	st_advance_dgr_pct	st_1yr_tchr_trnovr_pct	st_emer_prov_teach_pct	st_lateral_teach_pct	st_highqual_class_pct	st_highqual_class_hp_pct	st_highqual_class_lp_pct	st_highqual_class_all_pct	st_not_highqual_class_hp_pct	st_not_highqual_class_lp_pct	st_not_highqual_class_all_pct	st_prinyrs_0thru3_pct	st_prinyrs_4thru10_pct	st_prinyrs_11plus_pct	st_prin_advance_dgr_pct	st_1yr_prin_trnovr_pct	st_prin_male_pct	st_prin_female_pct	st_prin_black_pct	st_prin_white_pct	st_prin_other_pct
2013	010303	H	99573	15025											1	0	0.4	0.6	5	1	0	0.2			1	0.941	0.165	0.292	0.543	51	6	0.229	0.139	0.007	0.047	0.992	0.998	0.989	0.992	0.002	0.011	0.008	0.927	0.195	0.266	0.539	54	10	0.266	0.157	0.017	0.049	0.979	0.976	0.992	0.985	0.024	0.008	0.015	0.425	0.442	0.133	0.21	0.101	0.418	0.576	0.237	0.736	0.027
2013	010304	E	99573	15025											1	0.222	0.389	0.389	36	7	0.167	0.09			1	0.986	0.217	0.304	0.48	37	5	0.256	0.131	0.003	0.007	1	0.998	0.989	0.992	0.002	0.011	0.008	0.985	0.198	0.315	0.487	34	6	0.301	0.13	0.004	0.009	0.997	0.976	0.992	0.985	0.024	0.008	0.015	0.425	0.442	0.133	0.21	0.101	0.418	0.576	0.237	0.736	0.027
2013	010308	E	99573	15025											1	0.079	0.237	0.684	38	11	0.474	0.1			1	0.986	0.217	0.304	0.48	37	5	0.256	0.131	0.003	0.007	1	0.998	0.989	0.992	0.002	0.011	0.008	0.985	0.198	0.315	0.487	34	6	0.301	0.13	0.004	0.009	0.997	0.976	0.992	0.985	0.024	0.008	0.015	0.425	0.442	0.133	0.21	0.101	0.418	0.576	0.237	0.736	0.027
2013	010310	M	99573	15025											0.944	0.164	0.436	0.4	54	5	0.296	0.173		0.056	1	0.966	0.223	0.332	0.445	51	6	0.228	0.155		0.025	0.977	0.998	0.989	0.992	0.002	0.011	0.008	0.948	0.213	0.296	0.49	43	6	0.278	0.157	0.004	0.042	0.981	0.976	0.992	0.985	0.024	0.008	0.015	0.425	0.442	0.133	0.21	0.101	0.418	0.576	0.237	0.736	0.027
2013	010311	H	99573	15025											0.846	0	0.154	0.846	13	2	0.154	0	0.154		1	0.941	0.165	0.292	0.543	51	6	0.229	0.139	0.007	0.047	0.992	0.998	0.989	0.992	0.002	0.011	0.008	0.927	0.195	0.266	0.539	54	10	0.266	0.157	0.017	0.049	0.979	0.976	0.992	0.985	0.024	0.008	0.015	0.425	0.442	0.133	0.21	0.101	0.418	0.576	0.237	0.736	0.027
2013	010312	E	99573	15025											1	0.273	0.341	0.386	45	3	0.364	0.205			1	0.986	0.217	0.304	0.48	37	5	0.256	0.131	0.003	0.007	1	0.998	0.989	0.992	0.002	0.011	0.008	0.985	0.198	0.315	0.487	34	6	0.301	0.13	0.004	0.009	0.997	0.976	0.992	0.985	0.024	0.008	0.015	0.425	0.442	0.133	0.21	0.101	0.418	0.576	0.237	0.736	0.027
2013	010320	E	99573	15025											1	0.111	0.296	0.593	27	8	0.333	0.047			1	0.986	0.217	0.304	0.48	37	5	0.256	0.131	0.003	0.007	1	0.998	0.989	0.992	0.002	0.011	0.008	0.985	0.198	0.315	0.487	34	6	0.301	0.13	0.004	0.009	0.997	0.976	0.992	0.985	0.024	0.008	0.015	0.425	0.442	0.133	0.21	0.101	0.418	0.576	0.237	0.736	0.027
2013	010324	H	99573	15025											0.953	0.156	0.313	0.531	64	8	0.219	0.15		0.031	1	0.941	0.165	0.292	0.543	51	6	0.229	0.139	0.007	0.047	0.992	0.998	0.989	0.992	0.002	0.011	0.008	0.927	0.195	0.266	0.539	54	10	0.266	0.157	0.017	0.049	0.979	0.976	0.992	0.985	0.024	0.008	0.015	0.425	0.442	0.133	0.21	0.101	0.418	0.576	0.237	0.736	0.027
2013	010326	E	99573	15025											0.977	0.364	0.318	0.318	44	3	0.326	0.291			1	0.986	0.217	0.304	0.48	37	5	0.256	0.131	0.003	0.007	1	0.998	0.989	0.992	0.002	0.011	0.008	0.985	0.198	0.315	0.487	34	6	0.301	0.13	0.004	0.009	0.997	0.976	0.992	0.985	0.024	0.008	0.015	0.425	0.442	0.133	0.21	0.101	0.418	0.576	0.237	0.736	0.027
2013	010328	E	99573	15025											0.975	0.25	0.2	0.55	40	12	0.231	0.093		0.025	1	0.986	0.217	0.304	0.48	37	5	0.256	0.131	0.003	0.007	1	0.998	0.989	0.992	0.002	0.011	0.008	0.985	0.198	0.315	0.487	34	6	0.301	0.13	0.004	0.009	0.997	0.976	0.992	0.985	0.024	0.008	0.015	0.425	0.442	0.133	0.21	0.101	0.418	0.576	0.237	0.736	0.027
