year	unit_code	szip_ad	type_cd	closed_ind	new_ind	category_cd	grade_range_cd	calendar_type_txt	sna_pgm_type_cd	school_type_txt	calendar_only_txt	title1_type_cd	clp_ind	focus_clp_ind	summer_program_ind	asm_no_spg_ind	no_data_spg_ind	esea_status	student_num	lea_avg_student_num	st_avg_student_num	Grad_project_status	stem
2013	010303	27253	P	0	0	H	9-12	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								73	938	837	Y	
2013	010304	27253	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								533	511	497		
2013	010308	27244	P	0	0	E	K-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								573	511	497		
2013	010310	27217	P	0	0	M	6-8	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y						F	741	767	667		
2013	010311	27217	P	0	0	H	9-12	Vocational Education, Traditional Calendar	V	Vocational Education	Traditional Calendar									938	837	N	
2013	010312	27215	P	0	0	E	K-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								668	511	497		
2013	010320	27302	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								344	511	497		
2013	010324	27302	P	0	0	H	9-12	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								1149	938	837	Y	
2013	010326	27217	P	0	0	E	PK-5	Regular School, Year-Round Calendar	Y	Regular School	Year-Round Calendar	Y							467	511	497		
2013	010328	27215	P	0	0	E	K-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								634	511	497		
2013	010340	27244	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								658	511	497		
2013	010346	27253	P	0	0	E	K-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y							421	511	497		
2013	010347	27302	P	0	0	E	K-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								670	511	497		
2013	010348	27253	P	0	0	H	9-12	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								784	938	837	Y	
2013	010350	27253	P	0	0	M	6-8	Regular School, Year-Round Calendar	Y	Regular School	Year-Round Calendar	Y						F	682	767	667		
2013	010351	27215	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y							563	511	497		
2013	010353	27302	P	0	0	M	6-8	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								695	767	667		
2013	010354	27215	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y							660	511	497		
2013	010357	27258	P	0	0	E	PK-5	Regular School, Year-Round Calendar	Y	Regular School	Year-Round Calendar	Y							486	511	497		
2013	010358	27215	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y							487	511	497		
2013	010360	27217	P	0	0	H	9-12	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								832	938	837	Y	
2013	010362	27215	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								482	511	497		
2013	010364	27253	P	0	0	E	PK-5	Regular School, Year-Round Calendar	Y	Regular School	Year-Round Calendar	Y							352	511	497		
2013	010372	27217	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y							218	511	497		
2013	010374	27217	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar	Y							588	511	497		
2013	010378	27253	P	0	0	A	K-12	Alternative Education, Traditional Calendar	A	Alternative Education	Traditional Calendar								77	77	441	Y	
2013	010380	27253	P	0	0	E	PK-5	Regular School, Year-Round Calendar	Y	Regular School	Year-Round Calendar	Y							602	511	497		
2013	010384	27302	P	0	0	E	PK-5	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								514	511	497		
2013	010388	27253	P	0	0	H	9-12	Regular School, Traditional Calendar	R	Regular School	Traditional Calendar								1448	938	837	Y	
