LEA,SchoolCode,Charter,TotalStudents,LowIncomeStudents,PctLowIncome,SchoolServed,SchoolYear
10,10303,N,73,37,50.68,N,2014-15
10,10304,N,536,249,46.46,N,2014-15
10,10308,N,552,241,43.66,N,2014-15
10,10310,N,801,737,92.01,Y,2014-15
10,10311,N,0,0,0,N,2014-15
10,10312,N,667,231,34.63,N,2014-15
10,10320,N,331,137,41.39,N,2014-15
10,10324,N,1210,450,37.19,N,2014-15
10,10326,N,491,486,98.98,Y,2014-15
10,10328,N,628,227,36.15,N,2014-15
10,10340,N,620,218,35.16,N,2014-15
10,10346,N,423,243,57.45,Y,2014-15
10,10347,N,674,375,55.64,Y,2014-15
10,10348,N,814,573,70.39,N,2014-15
10,10350,N,672,547,81.4,Y,2014-15
10,10351,N,580,469,80.86,Y,2014-15
10,10353,N,702,362,51.57,N,2014-15
10,10354,N,716,653,91.2,Y,2014-15
10,10357,N,501,471,94.01,Y,2014-15
10,10358,N,508,434,85.43,Y,2014-15
10,10360,N,841,676,80.38,N,2014-15
10,10362,N,475,205,43.16,N,2014-15
10,10364,N,384,344,89.58,Y,2014-15
10,10372,N,244,204,83.61,Y,2014-15
10,10374,N,580,549,94.66,Y,2014-15
10,10378,N,99,89,89.9,N,2014-15
10,10380,N,604,495,81.95,Y,2014-15
10,10384,N,548,233,42.52,N,2014-15
10,10388,N,1423,521,36.61,N,2014-15
10,10390,N,839,339,40.41,N,2014-15
10,10392,N,303,186,61.39,Y,2014-15
10,10394,N,902,598,66.3,Y,2014-15
10,10396,N,1162,612,52.67,N,2014-15
10,10400,N,1186,309,26.05,N,2014-15
10,10403,N,869,290,33.37,N,2014-15
10,10406,N,597,271,45.39,N,2014-15
01B,01B000,Y,569,136,23.9,Y,2014-15
01C,01C000,Y,600,200,33.33,Y,2014-15
01D,01D000,Y,237,4,1.69,N,2014-15
20,20302,N,1319,609,46.17,N,2014-15
20,20304,N,493,195,39.55,Y,2014-15
20,20306,N,662,426,64.35,N,2014-15
20,20308,N,307,176,57.33,Y,2014-15
20,20316,N,496,344,69.35,Y,2014-15
20,20320,N,263,174,66.16,Y,2014-15
20,20324,N,272,142,52.21,Y,2014-15
20,20328,N,283,222,78.45,Y,2014-15
20,20330,N,566,250,44.17,N,2014-15
20,20332,N,306,182,59.48,Y,2014-15
30,30304,N,441,150,34.01,N,2014-15
30,30308,N,274,211,77.01,Y,2014-15
30,30316,N,176,85,48.3,Y,2014-15
30,30320,N,621,515,82.93,Y,2014-15
40,40304,N,167,104,62.28,N,2014-15
40,40305,N,105,79,75.24,N,2014-15
40,40306,N,641,481,75.04,N,2014-15
40,40308,N,266,176,66.17,Y,2014-15
40,40309,N,547,437,79.89,N,2014-15
40,40311,N,484,399,82.44,Y,2014-15
40,40316,N,331,256,77.34,Y,2014-15
40,40324,N,251,234,93.23,Y,2014-15
