LEA,SchoolCode,Charter,TotalStudents,LowIncomeStudents,PctLowIncome,SchoolYear
00A,00A000,Y,2030,870,42.86,2018-19
00B,00B000,Y,2509,1508,60.1,2018-19
10,10310,N,732,732,100,2018-19
10,10326,N,613,613,100,2018-19
10,10346,N,380,224,58.95,2018-19
10,10347,N,666,377,56.61,2018-19
10,10350,N,643,544,84.6,2018-19
10,10351,N,508,508,100,2018-19
10,10354,N,664,664,100,2018-19
10,10357,N,576,576,100,2018-19
10,10358,N,654,654,100,2018-19
10,10364,N,384,384,100,2018-19
10,10372,N,305,283,92.79,2018-19
10,10374,N,571,571,100,2018-19
10,10380,N,612,427,69.77,2018-19
10,10392,N,297,186,62.63,2018-19
10,10394,N,862,563,65.31,2018-19
01C,01C000,Y,619,188,30.37,2018-19
20,20304,N,440,142,32.27,2018-19
20,20308,N,288,132,45.83,2018-19
20,20316,N,484,306,63.22,2018-19
20,20320,N,242,159,65.7,2018-19
20,20324,N,244,100,40.98,2018-19
20,20328,N,261,229,87.74,2018-19
20,20332,N,287,145,50.52,2018-19
30,30308,N,228,228,100,2018-19
30,30316,N,169,149,88.17,2018-19
30,30320,N,632,632,100,2018-19
40,40308,N,189,106,56.08,2018-19
40,40311,N,345,345,100,2018-19
40,40316,N,272,272,100,2018-19
40,40324,N,187,187,100,2018-19
40,40328,N,453,354,78.15,2018-19
40,40330,N,167,167,100,2018-19
50,50310,N,507,327,64.5,2018-19
50,50330,N,547,348,63.62,2018-19
50,50335,N,558,315,56.45,2018-19
60,60304,N,165,79,47.88,2018-19
60,60310,N,185,107,57.84,2018-19
60,60316,N,228,142,62.28,2018-19
60,60318,N,269,153,56.88,2018-19
60,60322,N,211,141,66.82,2018-19
60,60328,N,320,211,65.94,2018-19
60,60332,N,125,76,60.8,2018-19
06A,06A000,Y,25,25,100,2018-19
06B,06B000,Y,128,94,73.44,2018-19
70,70302,N,524,295,56.3,2018-19
70,70308,N,569,123,21.62,2018-19
70,70325,N,403,174,43.18,2018-19
70,70326,N,504,258,51.19,2018-19
70,70327,N,523,300,57.36,2018-19
70,70328,N,534,258,48.31,2018-19
70,70329,N,441,201,45.58,2018-19
70,70340,N,152,92,60.53,2018-19
80,80311,N,176,176,100,2018-19
80,80312,N,551,551,100,2018-19
80,80314,N,490,490,100,2018-19
80,80348,N,145,145,100,2018-19
80,80356,N,222,222,100,2018-19
80,80360,N,201,201,100,2018-19
80,80362,N,389,389,100,2018-19
08A,08A000,Y,83,74,89.16,2018-19
90,90315,N,297,205,69.02,2018-19
90,90317,N,375,355,94.67,2018-19
90,90318,N,182,163,89.56,2018-19
90,90320,N,250,192,76.8,2018-19
90,90324,N,223,202,90.58,2018-19
90,90328,N,71,71,100,2018-19
90,90332,N,417,378,90.65,2018-19
90,90333,N,478,478,100,2018-19
90,90352,N,150,147,98,2018-19
90,90365,N,346,278,80.35,2018-19
09A,09A000,Y,195,195,100,2018-19
09B,09B000,Y,296,296,100,2018-19
100,100302,N,879,417,47.44,2018-19
100,100304,N,443,284,64.11,2018-19
100,100309,N,482,319,66.18,2018-19
100,100310,N,444,329,74.1,2018-19
100,100316,N,839,508,60.55,2018-19
100,100320,N,645,514,79.69,2018-19
100,100332,N,647,393,60.74,2018-19
100,100335,N,711,364,51.2,2018-19
100,100336,N,593,281,47.39,2018-19
100,100338,N,600,481,80.17,2018-19
100,100339,N,576,315,54.69,2018-19
100,100340,N,596,341,57.21,2018-19
100,100342,N,532,383,71.99,2018-19
100,100344,N,499,342,68.54,2018-19
10A,10A000,Y,892,314,35.2,2018-19
10B,10B000,Y,307,34,11.07,2018-19
110,110308,N,148,95,64.19,2018-19
110,110318,N,223,125,56.05,2018-19
110,110320,N,413,215,52.06,2018-19
110,110324,N,439,331,75.4,2018-19
110,110332,N,298,154,51.68,2018-19
