"RegionName"	"LEACode"	"LEAName"	"SchoolCode"	"SchoolName"	"CharterSchool"	"SchoolType"	"GradeSpan"	"TotalResidentChildren"	"#LowIncomeStudents"	"%LowIncomeStudents"	"SchoolServed"	"Eligibility-ProgramModel"	"EligibilitJustification"	"ProgramJustification"	"#StudentsServedTAS"	"GradesServedTAS"	"Served1stYear"	"Served1stYearComment"	"InEDDIE"	"SchoolYear"
Region 5	10	Alamance-Burlington Schools	10303	Alamance-Burlington Middle College	N	Regular	 09-12	74	29	39.19	N	TAS							Y	2013-2014
Region 5	10	Alamance-Burlington Schools	10304	Alexander Wilson Elementary	N	Regular	 PK-05	538	261	48.51	N	SW							Y	2013-2014
Region 5	10	Alamance-Burlington Schools	10308	Altamahaw Ossipee Elem	N	Regular	 KG-05	580	232	40	N	SW							Y	2013-2014
Region 5	10	Alamance-Burlington Schools	10310	Broadview Middle	N	Regular	 06-08	743	673	90.58	Y	SW-SW					2006-2007		Y	2013-2014
Region 5	10	Alamance-Burlington Schools	10311	Career Technical Education Center	N	Vocational	 09-12	0	0		N	Not Eligible							Y	2013-2014
Region 5	10	Alamance-Burlington Schools	10312	Highland Elementary	N	Regular	 KG-05	669	206	30.79	N	Not Eligible							Y	2013-2014
Region 5	10	Alamance-Burlington Schools	10320	E M Yoder Elementary	N	Regular	 PK-05	347	147	42.36	N	SW							Y	2013-2014
Region 5	10	Alamance-Burlington Schools	10324	Eastern Alamance High	N	Regular	 09-12	1134	390	34.39	N	Not Eligible							Y	2013-2014
Region 5	10	Alamance-Burlington Schools	10326	Eastlawn Elementary	N	Regular	 PK-05	479	457	95.41	Y	SW-SW					2002-2003		Y	2013-2014
Region 5	10	Alamance-Burlington Schools	10328	Edwin M Holt Elementary	N	Regular	 KG-05	636	231	36.32	N	TAS							Y	2013-2014
Region 5	10	Alamance-Burlington Schools	10340	Elon Elementary	N	Regular	 PK-05	665	241	36.24	N	TAS							Y	2013-2014
Region 5	10	Alamance-Burlington Schools	10346	B Everett Jordan Elem	N	Regular	 KG-05	423	242	57.21	Y	SW-SW					2006-2007		Y	2013-2014
Region 5	10	Alamance-Burlington Schools	10347	Garrett Elementary	N	Regular	 PK-05	667	367	55.02	N	SW							Y	2013-2014
Region 5	10	Alamance-Burlington Schools	10348	Graham High	N	Regular	 09-12	791	549	69.41	N	SW							Y	2013-2014
Region 5	10	Alamance-Burlington Schools	10350	Graham Middle	N	Regular	 06-08	682	552	80.94	Y	SW-SW					2007-2008		Y	2013-2014
Region 5	10	Alamance-Burlington Schools	10351	Grove Park Elementary	N	Regular	 PK-05	562	452	80.43	Y	SW-SW					2004-2005		Y	2013-2014
Region 5	10	Alamance-Burlington Schools	10353	Hawfields Middle	N	Regular	 06-08	697	362	51.94	N	SW							Y	2013-2014
Region 5	10	Alamance-Burlington Schools	10354	Harvey R Newlin Elementary	N	Regular	 PK-05	652	625	95.86	Y	SW-SW					2006-2007		Y	2013-2014
Region 5	10	Alamance-Burlington Schools	10357	Haw River Elementary	N	Regular	 PK-05	495	464	93.74	Y	SW-SW					2004-2005		Y	2013-2014
Region 5	10	Alamance-Burlington Schools	10358	Hillcrest Elementary	N	Regular	 PK-05	500	405	81	Y	SW-SW					2005-2006		Y	2013-2014
Region 5	10	Alamance-Burlington Schools	10360	Hugh M Cummings High	N	Regular	 09-12	828	670	80.92	N	SW							Y	2013-2014
Region 5	10	Alamance-Burlington Schools	10362	Marvin B Smith Elementary	N	Regular	 PK-05	482	239	49.59	N	SW							Y	2013-2014
Region 5	10	Alamance-Burlington Schools	10364	North Graham Elementary	N	Regular	 PK-05	362	299	82.6	Y	SW-SW					2006-2007		Y	2013-2014
Region 5	10	Alamance-Burlington Schools	10372	Pleasant Grove Elementary	N	Regular	 PK-05	216	173	80.09	Y	SW-SW					2005-2006		Y	2013-2014
Region 5	10	Alamance-Burlington Schools	10374	R Homer Andrews Elementary	N	Regular	 PK-05	594	556	93.6	Y	SW-SW					2005-2006		Y	2013-2014
Region 5	10	Alamance-Burlington Schools	10378	Ray Street Academy	N	Alternate	 KG-12	92	75	81.52	N	SW							Y	2013-2014
Region 5	10	Alamance-Burlington Schools	10380	South Graham Elementary	N	Regular	 PK-05	605	463	76.53	Y	SW-SW					2005-2006		Y	2013-2014
Region 5	10	Alamance-Burlington Schools	10384	South Mebane Elementary	N	Regular	 PK-05	514	194	37.74	N	TAS							Y	2013-2014
Region 5	10	Alamance-Burlington Schools	10388	Southern High	N	Regular	 09-12	1442	515	35.71	N	TAS							Y	2013-2014
Region 5	10	Alamance-Burlington Schools	10390	Southern Middle	N	Regular	 06-08	839	330	39.33	N	TAS							Y	2013-2014
Region 5	10	Alamance-Burlington Schools	10392	Sylvan Elementary	N	Regular	 PK-05	297	182	61.28	Y	SW-SW					2006-2007		Y	2013-2014
Region 5	10	Alamance-Burlington Schools	10394	Turrentine Middle	N	Regular	 06-08	925	577	62.38	Y	SW-SW					2010-2011		Y	2013-2014
Region 5	10	Alamance-Burlington Schools	10396	Walter M Williams High	N	Regular	 09-12	1073	516	48.09	N	SW							Y	2013-2014
Region 5	10	Alamance-Burlington Schools	10400	Western Alamance High	N	Regular	 09-12	1191	272	22.84	N	Not Eligible							Y	2013-2014
Region 5	10	Alamance-Burlington Schools	10403	Western Middle	N	Regular	 06-08	898	302	33.63	N	Not Eligible							Y	2013-2014
Region 5	10	Alamance-Burlington Schools	10406	Woodlawn Middle	N	Regular	 06-08	594	264	44.44	N	SW							Y	2013-2014
Region 5	01B	River Mill Academy	01B000	River Mill Academy	Y	Regular	 KG-12	579	147	25.39	Y	TAS-TAS	Charter School		69	0K:01:02:03:04:05:06:07:08	2006-2007		Y	2013-2014
Region 5	01C	Clover Garden	01C000	Clover Garden	Y	Regular	 KG-12	492	172	34.96	Y	TAS-TAS	Charter School		39	4:05:06	2006-2007		Y	2013-2014
Region 5	01D	The Hawbridge School	01D000	The Hawbridge School	Y	Regular	 06-12	172	0	0	N	Not Eligible							Y	2013-2014
Region 7	20	Alexander County Schools	20302	Alexander Central High	N	Regular	 09-12	1361	618	45.41	N	SW							Y	2013-2014
Region 7	20	Alexander County Schools	20304	Bethlehem Elementary	N	Regular	 KG-05	503	205	40.76	Y	SW-SW					2013-2014		Y	2013-2014
Region 7	20	Alexander County Schools	20306	East Alexander Middle	N	Regular	 06-08	669	393	58.74	N	SW							Y	2013-2014
Region 7	20	Alexander County Schools	20308	Ellendale Elementary	N	Regular	 PK-05	305	179	58.69	Y	SW-SW					2006-2007		Y	2013-2014
Region 7	20	Alexander County Schools	20316	Hiddenite Elementary	N	Regular	 KG-05	486	323	66.46	Y	SW-SW					2006-2007		Y	2013-2014
Region 7	20	Alexander County Schools	20320	Stony Point Elementary	N	Regular	 PK-05	302	185	61.26	Y	SW-SW					2006-2007		Y	2013-2014
Region 7	20	Alexander County Schools	20324	Sugar Loaf Elementary	N	Regular	 KG-05	288	156	54.17	Y	SW-SW					2006-2007		Y	2013-2014
Region 7	20	Alexander County Schools	20328	Taylorsville Elementary	N	Regular	 KG-05	272	231	84.93	Y	SW-SW					2006-2007		Y	2013-2014
Region 7	20	Alexander County Schools	20330	West Alexander Middle	N	Regular	 06-08	588	260	44.22	N	SW							Y	2013-2014
Region 7	20	Alexander County Schools	20332	Wittenburg Elementary	N	Regular	 PK-05	299	159	53.18	Y	SW-SW					2010-2011		Y	2013-2014
Region 7	30	Alleghany County Schools	30304	Alleghany High	N	Regular	 09-13	410	232	56.59	N	SW							Y	2013-2014
Region 7	30	Alleghany County Schools	30308	Glade Creek Elementary	N	Regular	 PK-08	274	199	72.63	Y	SW-SW					2006-2007		Y	2013-2014
Region 7	30	Alleghany County Schools	30316	Piney Creek Elementary	N	Regular	 PK-08	180	96	53.33	Y	SW-SW					2006-2007		Y	2013-2014
Region 7	30	Alleghany County Schools	30320	Sparta Elementary	N	Regular	 PK-08	607	454	74.79	Y	SW-SW					2004-2005		Y	2013-2014
Region 6	40	Anson County Schools	40304	Anson Co. Early College High	N	Regular	 09-13	162	78	48.15	N	SW							Y	2013-2014
Region 6	40	Anson County Schools	40305	Anson Academy	N	Alternate	 09-12	102	89	87.25	N	SW							Y	2013-2014
Region 6	40	Anson County Schools	40306	Anson High School	N	Regular	 09-12	733	546	74.49	N	SW							Y	2013-2014
Region 6	40	Anson County Schools	40308	Ansonville Elementary	N	Regular	 PK-06	317	219	69.09	Y	SW-SW					2006-2007		Y	2013-2014
Region 6	40	Anson County Schools	40309	Anson Middle	N	Regular	 07-08	537	408	75.98	N	SW							Y	2013-2014
Region 6	40	Anson County Schools	40311	Wadesboro Primary	N	Regular	 PK-04	468	406	86.75	Y	SW-SW					2002-2003		Y	2013-2014
Region 6	40	Anson County Schools	40316	Lilesville Elementary	N	Regular	 PK-06	360	271	75.28	Y	SW-SW					2002-2003		Y	2013-2014
Region 6	40	Anson County Schools	40324	Morven Elementary	N	Regular	 PK-06	267	249	93.26	Y	SW-SW					2003-2004		Y	2013-2014
Region 6	40	Anson County Schools	40328	Peachland-Polkton Elem	N	Regular	 PK-06	551	368	66.79	Y	SW-SW					2009-2010		Y	2013-2014
Region 6	40	Anson County Schools	40330	Wadesboro Elementary	N	Regular	 05-06	245	230	93.88	Y	SW-SW					2002-2003		Y	2013-2014
Region 6	40	Anson County Schools	40700	Anson New Tech High	N	Regular	 09-12	126	77	61.11	N	SW							Y	2013-2014
Region 7	50	Ashe County Schools	50302	Ashe County High	N	Regular	 09-12	926	489	52.81	N	SW							Y	2013-2014
Region 7	50	Ashe County Schools	50305	Ashe County Middle	N	Regular	 07-08	507	303	59.76	N	SW							Y	2013-2014
Region 7	50	Ashe County Schools	50310	Blue Ridge Elementary	N	Regular	 PK-06	517	361	69.83	Y	SW-SW					2005-2006		Y	2013-2014
Region 7	50	Ashe County Schools	50330	Mountain View Elementary	N	Regular	 PK-06	587	382	65.08	Y	SW-SW					2003-2004		Y	2013-2014
Region 7	50	Ashe County Schools	50335	Westwood Elementary	N	Regular	 PK-06	618	361	58.41	Y	SW-SW					2006-2007		Y	2013-2014
Region 7	60	Avery County Schools	60302	Avery County High	N	Regular	 09-12	337	194	57.57	N	SW							Y	2013-2014
Region 7	60	Avery County Schools	60304	Banner Elk Elementary	N	Regular	 PK-05	196	93	47.45	Y	SW-SW					2009-2010		Y	2013-2014
Region 7	60	Avery County Schools	60310	Cranberry Middle	N	Regular	 06-08	207	131	63.29	Y	SW-SW					2006-2007		Y	2013-2014
Region 7	60	Avery County Schools	60316	Crossnore Elementary	N	Regular	 PK-05	240	119	49.58	Y	SW-SW					2006-2007		Y	2013-2014
Region 7	60	Avery County Schools	60318	Avery Middle	N	Regular	 06-08	312	190	60.9	Y	SW-SW					2009-2010		Y	2013-2014
Region 7	60	Avery County Schools	60322	Freedom Trail Elementary	N	Regular	 PK-05	246	187	76.02	Y	SW-SW					2006-2007		Y	2013-2014
Region 7	60	Avery County Schools	60328	Newland Elementary	N	Regular	 PK-05	256	179	69.92	Y	SW-SW					2005-2006		Y	2013-2014
Region 7	60	Avery County Schools	60332	Riverside Elementary	N	Regular	 PK-05	138	87	63.04	Y	SW-SW					2006-2007		Y	2013-2014
Region 7	60	Avery County Schools	60334	Blue Ridge Academy	N	Alternate	 06-12	40	25	62.5	N	SW							Y	2013-2014
Region 7	60	Avery County Schools	60700	Avery High STEM Academy	N	Regular	 09-12	106	45	42.45	N	SW							Y	2013-2014
Region 7	60	Avery County Schools	60701	Avery High Viking Academy	N	Regular	 09-12	170	109	64.12	N	SW							Y	2013-2014
Region 7	06A	Grandfather Academy	06A000	Grandfather Academy	Y	Regular	 01-12	33	33	100	Y	SW-SW					2011-2012		Y	2013-2014
Region 7	06B	Crossnore Academy	06B000	Crossnore Academy	Y	Regular	 KG-12	99	78	78.79	Y	SW-SW					2006-2007		Y	2013-2014
Region 1	70	Beaufort County Schools	70302	Eastern Elementary	N	Regular	 PK-01	607	464	76.44	Y	SW-SW					2006-2007		Y	2013-2014
Region 1	70	Beaufort County Schools	70308	Bath Elementary	N	Regular	 KG-08	595	245	41.18	Y	SW-SW					2005-2006		Y	2013-2014
Region 1	70	Beaufort County Schools	70310	B C Ed Tech Center	N	Alternate	 06-12	58	57	98.28	N	SW							Y	2013-2014
Region 1	70	Beaufort County Schools	70311	Beaufort Co Early College High	N	Regular	 09-13	195	101	51.79	N	SW							Y	2013-2014
Region 1	70	Beaufort County Schools	70325	Chocowinity Middle	N	Regular	 05-08	457	324	70.9	N	SW							Y	2013-2014
Region 1	70	Beaufort County Schools	70326	Chocowinity Primary	N	Regular	 PK-04	512	369	72.07	Y	SW-SW					2006-2007		Y	2013-2014
Region 1	70	Beaufort County Schools	70327	John C Tayloe Elementary	N	Regular	 02-03	560	407	72.68	Y	SW-SW					2006-2007		Y	2013-2014
Region 1	70	Beaufort County Schools	70328	John Small Elementary	N	Regular	 04-05	602	409	67.94	Y	SW-SW					2005-2006		Y	2013-2014
Region 1	70	Beaufort County Schools	70329	Northeast Elementary	N	Regular	 PK-08	565	402	71.15	Y	SW-SW					2002-2003		Y	2013-2014
Region 1	70	Beaufort County Schools	70330	Northside High	N	Regular	 09-12	442	225	50.9	N	SW							Y	2013-2014
Region 1	70	Beaufort County Schools	70338	P S Jones Middle	N	Regular	 06-08	856	589	68.81	N	SW							Y	2013-2014
Region 1	70	Beaufort County Schools	70339	Southside High	N	Regular	 09-12	408	274	67.16	N	SW							Y	2013-2014
Region 1	70	Beaufort County Schools	70340	S W Snowden Elementary	N	Regular	 PK-08	182	176	96.7	Y	SW-SW					2005-2006		Y	2013-2014
Region 1	70	Beaufort County Schools	70342	Washington High	N	Regular	 09-12	961	551	57.34	N	SW							Y	2013-2014
Region 1	07A	Washington Montessori	07A000	Washington Montessori	Y	Regular	 KG-08	329	87	26.44	N	Not Eligible							Y	2013-2014
Region 1	80	Bertie County Schools	80311	Bertie Early College High	N	Regular	 09-13	117	65	55.56	N	SW							Y	2013-2014
Region 1	80	Bertie County Schools	80312	Bertie High	N	Regular	 09-12	513	455	88.69	Y	SW-SW					2009-2010		Y	2013-2014
Region 1	80	Bertie County Schools	80314	Bertie Middle	N	Regular	 06-08	637	553	86.81	Y	SW-SW					2006-2007		Y	2013-2014
Region 1	80	Bertie County Schools	80348	Aulander Elementary	N	Regular	 PK-05	163	148	90.8	Y	SW-SW					2006-2007		Y	2013-2014
Region 1	80	Bertie County Schools	80356	West Bertie Elementary	N	Regular	 PK-05	335	305	91.04	Y	SW-SW					2002-2003		Y	2013-2014
Region 1	80	Bertie County Schools	80360	Colerain Elementary	N	Regular	 PK-05	226	196	86.73	Y	SW-SW					2006-2007		Y	2013-2014
Region 1	80	Bertie County Schools	80362	Windsor Elementary	N	Regular	 PK-05	462	395	85.5	Y	SW-SW					2002-2003		Y	2013-2014
Region 1	80	Bertie County Schools	80375	Bertie Academy	N	Alternate	 06-12	0	0		N	Not Eligible							Y	2013-2014
Region 1	80	Bertie County Schools	80700	Bertie STEM High	N	Regular	 09-12	158	98	62.03	N	SW							Y	2013-2014
Region 4	90	Bladen County Schools	90304	B T Washington Primary	N	Regular	 PK-05	204	195	95.59	Y	SW-SW					2004-2005		Y	2013-2014
Region 4	90	Bladen County Schools	90315	Bladenboro Middle	N	Regular	 05-08	363	268	73.83	Y	SW-SW					2012-2013		Y	2013-2014
Region 4	90	Bladen County Schools	90317	Bladenboro Primary	N	Regular	 PK-04	417	320	76.74	Y	SW-SW					2006-2007		Y	2013-2014
Region 4	90	Bladen County Schools	90318	Bladen Lakes Primary	N	Regular	 PK-04	305	229	75.08	Y	SW-SW					2006-2007		Y	2013-2014
Region 4	90	Bladen County Schools	90320	Clarkton School of Discovery	N	Regular	 06-08	333	185	55.56	N	SW							Y	2013-2014
Region 4	90	Bladen County Schools	90324	Dublin Primary	N	Regular	 PK-04	289	218	75.43	Y	SW-SW					2006-2007		Y	2013-2014
Region 4	90	Bladen County Schools	90328	East Arcadia Elementary	N	Regular	 KG-08	163	147	90.18	Y	SW-SW					2006-2007		Y	2013-2014
Region 4	90	Bladen County Schools	90330	East Bladen High	N	Regular	 09-12	636	464	72.96	N	SW							Y	2013-2014
Region 4	90	Bladen County Schools	90332	Elizabethtown Middle	N	Regular	 05-08	420	368	87.62	Y	SW-SW					2002-2003		Y	2013-2014
Region 4	90	Bladen County Schools	90333	Elizabethtown Primary	N	Regular	 PK-04	497	411	82.7	Y	SW-SW					2004-2005		Y	2013-2014
Region 4	90	Bladen County Schools	90352	Plain View Primary	N	Regular	 PK-04	179	157	87.71	Y	SW-SW					2006-2007		Y	2013-2014
Region 4	90	Bladen County Schools	90365	Tar Heel Middle	N	Regular	 05-08	378	317	83.86	Y	SW-SW					2012-2013		Y	2013-2014
Region 4	90	Bladen County Schools	90368	West Bladen High	N	Regular	 09-12	741	467	63.02	N	SW							Y	2013-2014
Region 4	09A	Paul R. Brown Leadership Academy	09A000	Paul R. Brown Leadership Academy	Y	Regular	 06-10	59	57	96.61	N	SW							Y	2013-2014
Region 2	100	Brunswick County Schools	100302	Belville Elementary	N	Regular	 KG-05	754	411	54.51	Y	SW-SW					2002-2003		Y	2013-2014
Region 2	100	Brunswick County Schools	100304	Bolivia Elementary	N	Regular	 PK-05	493	321	65.11	Y	SW-SW					2005-2006		Y	2013-2014
Region 2	100	Brunswick County Schools	100307	Brunswick County Early College	N	Regular	 09-13	320	131	40.94	N	SW							Y	2013-2014
Region 2	100	Brunswick County Schools	100308	Brunswick County Academy	N	Alternate	 06-12	146	113	77.4	N	SW							Y	2013-2014
Region 2	100	Brunswick County Schools	100309	Cedar Grove Middle	N	Regular	 06-08	484	346	71.49	Y	SW-SW					2009-2010		Y	2013-2014
Region 2	100	Brunswick County Schools	100310	Jessie Mae Monroe Elementary	N	Regular	 KG-05	403	316	78.41	Y	SW-SW					2002-2003		Y	2013-2014
Region 2	100	Brunswick County Schools	100316	Leland Middle	N	Regular	 06-08	786	521	66.28	Y	SW-SW					2009-2010		Y	2013-2014
Region 2	100	Brunswick County Schools	100320	Lincoln Elementary	N	Regular	 PK-05	515	451	87.57	Y	SW-SW					2005-2006		Y	2013-2014
Region 2	100	Brunswick County Schools	100326	North Brunswick High	N	Regular	 09-12	943	560	59.38	N	SW							Y	2013-2014
Region 2	100	Brunswick County Schools	100332	Shallotte Middle	N	Regular	 06-08	613	385	62.81	Y	SW-SW					2009-2010		Y	2013-2014
Region 2	100	Brunswick County Schools	100334	South Brunswick High	N	Regular	 09-12	1025	469	45.76	N	SW							Y	2013-2014
Region 2	100	Brunswick County Schools	100335	South Brunswick Middle	N	Regular	 06-08	813	428	52.64	Y	SW-SW					2009-2010		Y	2013-2014
Region 2	100	Brunswick County Schools	100336	Southport Elementary	N	Regular	 KG-05	725	420	57.93	Y	SW-SW					2006-2007		Y	2013-2014
Region 2	100	Brunswick County Schools	100338	Supply Elementary	N	Regular	 PK-05	704	572	81.25	Y	SW-SW					2005-2006		Y	2013-2014
Region 2	100	Brunswick County Schools	100339	Town Creek Elementary	N	Regular	 PK-05	489	300	61.35	Y	SW-SW					2009-2010		Y	2013-2014
Region 2	100	Brunswick County Schools	100340	Union Elementary	N	Regular	 KG-05	637	362	56.83	Y	SW-SW					2006-2007		Y	2013-2014
Region 2	100	Brunswick County Schools	100342	Virginia Williamson Elem	N	Regular	 KG-05	636	445	69.97	Y	SW-SW					2006-2007		Y	2013-2014
Region 2	100	Brunswick County Schools	100344	Waccamaw	N	Regular	 KG-08	567	397	70.02	Y	SW-SW					2006-2007		Y	2013-2014
Region 2	100	Brunswick County Schools	100348	West Brunswick High	N	Regular	 09-12	1301	656	50.42	N	SW							Y	2013-2014
Region 2	10A	Charter Day School	10A000	Charter Day School	Y	Regular	 KG-08	920	369	40.11	Y	SW-SW					2006-2007		Y	2013-2014
Region 8	110	Buncombe County Schools	110303	Community High School	N	Alternate	 09-12	122	112	91.8	N	SW							Y	2013-2014
Region 8	110	Buncombe County Schools	110304	Reynolds High	N	Regular	 09-12	1386	598	43.15	N	SW							Y	2013-2014
Region 8	110	Buncombe County Schools	110306	Reynolds Middle	N	Regular	 06-08	629	377	59.94	N	SW							Y	2013-2014
