RegionName	LEACode	LEA Name	SchoolCode	School Name	CharterSchool	SchoolType	GradeSpan	TotalResident	# LowIncome	% LowIncome	SchoolServed	Eligibility -ProgramModel	EligibilityJustification	ProgramJustification	# StudentsServedTAS	GradesServedTAS	Served1st Year	Served1st YearComment	InEDDIE	SchoolYear
Region 5	010	Alamance-Burlington Schools	10303	Alamance-Burlington Middle College	N		09,10,11,12	73	37	50.68	N	SW							Y	2014-2015
Region 5	010	Alamance-Burlington Schools	10304	Alexander Wilson Elementary	N		PK,0K,01,02,03,04,05	536	249	46.46	N	SW							Y	2014-2015
Region 5	010	Alamance-Burlington Schools	10308	Altamahaw Ossipee Elem	N		0K,01,02,03,04,05	552	241	43.66	N	SW							Y	2014-2015
Region 5	010	Alamance-Burlington Schools	10310	Broadview Middle	N		06,07,08	801	737	92.01	Y	SW-SW					2006-2007		Y	2014-2015
Region 5	010	Alamance-Burlington Schools	10311	Career Technical Education Center	N		09,10,11,12	0	0	0	N	Not Title I							Y	2014-2015
Region 5	010	Alamance-Burlington Schools	10312	Highland Elementary	N		0K,01,02,03,04,05	667	231	34.63	N	Not Title I							Y	2014-2015
Region 5	010	Alamance-Burlington Schools	10320	E M Yoder Elementary	N		PK,0K,01,02,03,04,05	331	137	41.39	N	SW							Y	2014-2015
Region 5	010	Alamance-Burlington Schools	10324	Eastern Alamance High	N		09,10,11,12	1210	450	37.19	N	TAS							Y	2014-2015
Region 5	010	Alamance-Burlington Schools	10326	Eastlawn Elementary	N		PK,0K,01,02,03,04,05	491	486	98.98	Y	SW-SW					2002-2003		Y	2014-2015
Region 5	010	Alamance-Burlington Schools	10328	Edwin M Holt Elementary	N		0K,01,02,03,04,05	628	227	36.15	N	TAS							Y	2014-2015
Region 5	010	Alamance-Burlington Schools	10340	Elon Elementary	N		PK,0K,01,02,03,04,05	620	218	35.16	N	TAS							Y	2014-2015
Region 5	010	Alamance-Burlington Schools	10346	B Everett Jordan Elem	N		0K,01,02,03,04,05	423	243	57.45	Y	SW-SW					2006-2007		Y	2014-2015
Region 5	010	Alamance-Burlington Schools	10347	Garrett Elementary	N		PK,0K,01,02,03,04,05	674	375	55.64	Y	SW-SW					2014-2015		Y	2014-2015
Region 5	010	Alamance-Burlington Schools	10348	Graham High	N		09,10,11,12	814	573	70.39	N	SW							Y	2014-2015
Region 5	010	Alamance-Burlington Schools	10350	Graham Middle	N		06,07,08	672	547	81.4	Y	SW-SW					2007-2008		Y	2014-2015
Region 5	010	Alamance-Burlington Schools	10351	Grove Park Elementary	N		PK,0K,01,02,03,04,05	580	469	80.86	Y	SW-SW					2004-2005		Y	2014-2015
Region 5	010	Alamance-Burlington Schools	10353	Hawfields Middle	N		06,07,08	702	362	51.57	N	SW							Y	2014-2015
Region 5	010	Alamance-Burlington Schools	10354	Harvey R Newlin Elementary	N		PK,0K,01,02,03,04,05	716	653	91.2	Y	SW-SW					2006-2007		Y	2014-2015
Region 5	010	Alamance-Burlington Schools	10357	Haw River Elementary	N		PK,0K,01,02,03,04,05	501	471	94.01	Y	SW-SW					2004-2005		Y	2014-2015
Region 5	010	Alamance-Burlington Schools	10358	Hillcrest Elementary	N		PK,0K,01,02,03,04,05	508	434	85.43	Y	SW-SW					2005-2006		Y	2014-2015
Region 5	010	Alamance-Burlington Schools	10360	Hugh M Cummings High	N		09,10,11,12	841	676	80.38	N	SW							Y	2014-2015
Region 5	010	Alamance-Burlington Schools	10362	Marvin B Smith Elementary	N		PK,0K,01,02,03,04,05	475	205	43.16	N	SW							Y	2014-2015
Region 5	010	Alamance-Burlington Schools	10364	North Graham Elementary	N		PK,0K,01,02,03,04,05	384	344	89.58	Y	SW-SW					2006-2007		Y	2014-2015
Region 5	010	Alamance-Burlington Schools	10372	Pleasant Grove Elementary	N		PK,0K,01,02,03,04,05	244	204	83.61	Y	SW-SW					2005-2006		Y	2014-2015
Region 5	010	Alamance-Burlington Schools	10374	R Homer Andrews Elementary	N		PK,0K,01,02,03,04,05	580	549	94.66	Y	SW-SW					2005-2006		Y	2014-2015
Region 5	010	Alamance-Burlington Schools	10378	Ray Street Academy	N		0K,01,02,03,04,05,06,07,08,09,10,11,12	99	89	89.9	N	SW							Y	2014-2015
Region 5	010	Alamance-Burlington Schools	10380	South Graham Elementary	N		PK,0K,01,02,03,04,05	604	495	81.95	Y	SW-SW					2005-2006		Y	2014-2015
Region 5	010	Alamance-Burlington Schools	10384	South Mebane Elementary	N		PK,0K,01,02,03,04,05	548	233	42.52	N	SW							Y	2014-2015
Region 5	010	Alamance-Burlington Schools	10388	Southern High	N		09,10,11,12	1423	521	36.61	N	TAS							Y	2014-2015
Region 5	010	Alamance-Burlington Schools	10390	Southern Middle	N		06,07,08	839	339	40.41	N	SW							Y	2014-2015
Region 5	010	Alamance-Burlington Schools	10392	Sylvan Elementary	N		PK,0K,01,02,03,04,05	303	186	61.39	Y	SW-SW					2006-2007		Y	2014-2015
Region 5	010	Alamance-Burlington Schools	10394	Turrentine Middle	N		06,07,08	902	598	66.3	Y	SW-SW					2010-2011		Y	2014-2015
Region 5	010	Alamance-Burlington Schools	10396	Walter M Williams High	N		09,10,11,12	1162	612	52.67	N	SW							Y	2014-2015
Region 5	010	Alamance-Burlington Schools	10400	Western Alamance High	N		09,10,11,12	1186	309	26.05	N	Not Title I							Y	2014-2015
Region 5	010	Alamance-Burlington Schools	10403	Western Middle	N		06,07,08	869	290	33.37	N	Not Title I							Y	2014-2015
Region 5	010	Alamance-Burlington Schools	10406	Woodlawn Middle	N		06,07,08	597	271	45.39	N	SW							Y	2014-2015
Region 5	01B	River Mill Academy	01B000	River Mill Academy	Y		0K,01,02,03,04,05,06,07,08,09,10,11,12	569	136	23.9	Y	TAS-TAS	Charter School		30		2006-2007		Y	2014-2015
Region 5	01C	Clover Garden	01C000	Clover Garden	Y		0K,01,02,03,04,05,06,07,08,09,10,11,12	600	200	33.33	Y	TAS-TAS	Charter School		39		2006-2007		Y	2014-2015
Region 5	01D	The Hawbridge School	01D000	The Hawbridge School	Y		06,07,08,09,10,11,12	237	4	1.69	N	Not Title I							Y	2014-2015
Region 7	020	Alexander County Schools	20302	Alexander Central High	N		09,10,11,12	1319	609	46.17	N	SW							Y	2014-2015
Region 7	020	Alexander County Schools	20304	Bethlehem Elementary	N		PK,0K,01,02,03,04,05	493	195	39.55	Y	TAS-SW		Always SW			2013-2014		Y	2014-2015
Region 7	020	Alexander County Schools	20306	East Alexander Middle	N		06,07,08	662	426	64.35	N	SW							Y	2014-2015
Region 7	020	Alexander County Schools	20308	Ellendale Elementary	N		PK,0K,01,02,03,04,05	307	176	57.33	Y	SW-SW					2006-2007		Y	2014-2015
Region 7	020	Alexander County Schools	20316	Hiddenite Elementary	N		PK,0K,01,02,03,04,05	496	344	69.35	Y	SW-SW					2006-2007		Y	2014-2015
Region 7	020	Alexander County Schools	20320	Stony Point Elementary	N		PK,0K,01,02,03,04,05	263	174	66.16	Y	SW-SW					2006-2007		Y	2014-2015
Region 7	020	Alexander County Schools	20324	Sugar Loaf Elementary	N		0K,01,02,03,04,05	272	142	52.21	Y	SW-SW					2006-2007		Y	2014-2015
Region 7	020	Alexander County Schools	20328	Taylorsville Elementary	N		0K,01,02,03,04,05	283	222	78.45	Y	SW-SW					2006-2007		Y	2014-2015
Region 7	020	Alexander County Schools	20330	West Alexander Middle	N		06,07,08	566	250	44.17	N	SW							Y	2014-2015
Region 7	020	Alexander County Schools	20332	Wittenburg Elementary	N		PK,0K,01,02,03,04,05	306	182	59.48	Y	SW-SW					2010-2011		Y	2014-2015
Region 7	030	Alleghany County Schools	30304	Alleghany High	N		09,10,11,12	441	150	34.01	N	Not Title I							Y	2014-2015
Region 7	030	Alleghany County Schools	30308	Glade Creek Elementary	N		PK,0K,01,02,03,04,05,06,07,08	274	211	77.01	Y	SW-SW					2006-2007		Y	2014-2015
Region 7	030	Alleghany County Schools	30316	Piney Creek Elementary	N		PK,0K,01,02,03,04,05,06,07,08	176	85	48.3	Y	SW-SW					2006-2007		Y	2014-2015
Region 7	030	Alleghany County Schools	30320	Sparta Elementary	N		PK,0K,01,02,03,04,05,06,07,08	621	515	82.93	Y	SW-SW					2004-2005		Y	2014-2015
Region 6	040	Anson County Schools	40304	Anson Co. Early College High	N		09,10,11,12,13	167	104	62.28	N	SW							Y	2014-2015
Region 6	040	Anson County Schools	40305	Anson Academy	N		09,10,11,12	105	79	75.24	N	SW							Y	2014-2015
Region 6	040	Anson County Schools	40306	Anson High School	N		09,10,11,12	641	481	75.04	N	SW							Y	2014-2015
Region 6	040	Anson County Schools	40308	Ansonville Elementary	N		0K,01,02,03,04,05,06	266	176	66.17	Y	SW-SW					2006-2007		Y	2014-2015
Region 6	040	Anson County Schools	40309	Anson Middle	N		07,08	547	437	79.89	N	SW							Y	2014-2015
Region 6	040	Anson County Schools	40311	Wadesboro Primary	N		0K,01,02,03,04,05	484	399	82.44	Y	SW-SW					2002-2003		Y	2014-2015
Region 6	040	Anson County Schools	40316	Lilesville Elementary	N		0K,01,02,03,04,05,06	331	256	77.34	Y	SW-SW					2002-2003		Y	2014-2015
Region 6	040	Anson County Schools	40324	Morven Elementary	N		0K,01,02,03,04,05,06	251	234	93.23	Y	SW-SW					2003-2004		Y	2014-2015
Region 6	040	Anson County Schools	40328	Peachland-Polkton Elem	N		0K,01,02,03,04,05,06	526	343	65.21	Y	SW-SW					2009-2010		Y	2014-2015
Region 6	040	Anson County Schools	40330	Wadesboro Elementary	N		05,06	259	237	91.51	Y	SW-SW					2002-2003		Y	2014-2015
Region 6	040	Anson County Schools	40700	Anson New Tech High	N		09,10,11,12	138	100	72.46	N	SW							Y	2014-2015
Region 7	050	Ashe County Schools	50302	Ashe County High	N		09,10,11,12	703	393	55.9	N	SW							Y	2014-2015
Region 7	050	Ashe County Schools	50305	Ashe County Middle	N		07,08	369	294	79.67	N	SW							Y	2014-2015
