"LEACODE"	"LEANAME"	"SCHOOLCODE"	"SCHOOLNAME"	"CHARTERSchool"	"GRADESPAN"	"RESIDENTCHILDREN"	"IDENTIFIEDSTUDENTS"	"MULTIPLIER"	"LOWINCOMESTUDENTS"	"Percent"	"SCHOOLSERVED"	"ELIGIBILITYMODEL"	"ELIGIBILITYJUSTIFICATION"	"PROGRAMJUSTIFICATION"	"SERVEDTASCOUNT"	"SERVEDTASGRADE"	"SERVED1STYEAR"	"YEAR"	"COMMUNITYELIGIBILITY"
740	Pitt County	740302	A G Cox Middle	N	06,07,08	840	N/A	N/A	368	43.81	N	SW						2015-2016	N
650	New Hanover County	650384	A H Snipes Academy of Arts/Des	N	0K,01,02,03,04,05	466	385	1.6	466	100.00	Y	SW-SW					2005-2006	2015-2016	Y
132	Kannapolis City	132304	A L Brown High	N	09,10,11,12	1409	N/A	N/A	852	60.47	N	SW						2015-2016	N
680	Orange County	680304	A L Stanback Middle	N	06,07,08	644	N/A	N/A	320	49.69	N	SW						2015-2016	N
130	Cabarrus County	130304	A T Allen Elementary	N	0K,01,02,03,04,05	901	N/A	N/A	562	62.38	Y	SW-SW					2006-2007	2015-2016	N
13C	A.C.E. Academy	13C000	A.C.E. Academy	Y	0K,01,02,03,04,05,06	143	N/A	N/A	60	41.96	Y	SW-SW					2014-2015	2015-2016	N
920	Wake County	920303	Abbotts Creek Elementary	N	PK,0K,01,02,03,04,05	619	N/A	N/A	161	26.01	N	Not Title I						2015-2016	N
630	Moore County	630308	Aberdeen Elementary	N	03,04,05	321	N/A	N/A	256	79.75	Y	SW-SW					2005-2006	2015-2016	N
630	Moore County	630304	Aberdeen Primary	N	PK,0K,01,02	362	N/A	N/A	279	77.07	Y	SW-SW					2005-2006	2015-2016	N
240	Columbus County	240308	Acme Delco Elementary	N	PK,0K,01,02,03,04,05	342	199	1.6	318	92.98	Y	SW-SW					2006-2007	2015-2016	Y
240	Columbus County	240304	Acme Delco Middle	N	06,07,08	140	75	1.6	120	85.71	Y	SW-SW					2004-2005	2015-2016	Y
920	Wake County	920304	Adams Elementary	N	PK,0K,01,02,03,04,05	803	N/A	N/A	347	43.21	Y	SW-SW					2010-2011	2015-2016	N
460	Hertford County	460308	Ahoskie Elementary	N	04,05,06	517	323	1.6	517	100.00	Y	SW-SW					2004-2005	2015-2016	Y
410	Guilford County	410304	Alamance Elementary	N	PK,0K,01,02,03,04,05	502	N/A	N/A	131	26.10	N	Not Title I						2015-2016	N
010	Alamance-Burlington	010303	Alamance-Burlington Middle College	N	09,10,11,12	81	N/A	N/A	23	28.40	N	Not Title I						2015-2016	N
840	Stanly County	840302	Albemarle High	N	09,10,11,12	419	N/A	N/A	298	71.12	N	SW						2015-2016	N
840	Stanly County	840303	Albemarle Middle	N	06,07,08	414	N/A	N/A	317	76.57	Y	SW-SW					2013-2014	2015-2016	N
600	Mecklenburg County	600300	Albemarle Road Elementary	N	P3,0K,01,02,03,04,05	1385	N/A	N/A	930	67.15	Y	SW-SW					2004-2005	2015-2016	Y
600	Mecklenburg County	600301	Albemarle Road Middle	N	06,07,08	1207	N/A	N/A	708	58.66	Y	SW-SW					2004-2005	2015-2016	Y
250	Craven County	250304	Albert H Bangert Elementary	N	0K,01,02,03,04,05	332	N/A	N/A	204	61.45	Y	SW-SW					2006-2007	2015-2016	N
260	Cumberland County	260364	Alderman Road Elementary	N	PK,0K,01,02,03,04,05	652	N/A	N/A	435	66.72	Y	SW-SW					2002-2003	2015-2016	N
020	Alexander County	020302	Alexander Central High	N	09,10,11,12	1350	N/A	N/A	595	44.07	N	SW						2015-2016	N
600	Mecklenburg County	600399	Alexander Graham Middle	N	06,07,08	1434	N/A	N/A	422	29.43	N	Not Title I						2015-2016	N
010	Alamance-Burlington	010304	Alexander Wilson Elementary	N	PK,0K,01,02,03,04,05	541	N/A	N/A	262	48.43	N	SW						2015-2016	N
260	Cumberland County	260374	Alger B. Wilkins High School PLC	N	09,10,11,12	155	N/A	N/A	123	79.35	N	SW						2015-2016	N
030	Alleghany County	030304	Alleghany High	N	09,10,11,12	427	N/A	N/A	229	53.63	N	SW						2015-2016	N
410	Guilford County	410310	Allen Jay Elementary	N	PK,0K,01,02,03,04,05	454	N/A	N/A	291	64.10	Y	SW-SW					2006-2007	2015-2016	Y
410	Guilford County	410311	Allen Jay Middle, A Preparatory Academy	N	05,06,07	187	N/A	N/A	83	44.39	Y	SW-SW					2014-2015	2015-2016	Y
410	Guilford County	410316	Allen Middle	N	06,07,08	704	N/A	N/A	410	58.24	Y	SW-SW					2007-2008	2015-2016	Y
600	Mecklenburg County	600308	Allenbrook Elementary	N	0K,01,02,03,04,05	590	N/A	N/A	445	75.42	Y	SW-SW					2002-2003	2015-2016	Y
260	Cumberland County	260302	Alma O Easom Elementary	N	0K,01	302	N/A	N/A	142	47.02	Y	SW-SW					2014-2015	2015-2016	N
26B	Alpha Academy	26B000	Alpha Academy	Y	0K,01,02,03,04,05,06,07,08,09	660	N/A	N/A	534	80.91	Y	SW-SW					2005-2006	2015-2016	Y
920	Wake County	920307	Alston Ridge Elementary	N	PK,0K,01,02,03,04,05	1065	N/A	N/A	84	7.89	N	Not Title I						2015-2016	N
010	Alamance-Burlington	010308	Altamahaw Ossipee Elem	N	0K,01,02,03,04,05	554	N/A	N/A	258	46.57	N	SW						2015-2016	N
49B	American Renaissance School	49B000	American Renaissance School	Y	0K,01,02,03,04,05,06,07,08	543	N/A	N/A	144	26.52	Y	TAS-TAS	Charter School		45	0K,04,05,06,07	2006-2007	2015-2016	N
43C	Anderson Creek Club Charter School	43C000	Anderson Creek Club Charter School	Y	0K,01,02,03,04,05	224	N/A	N/A	11	4.91	N	Not Title I						2015-2016	N
430	Harnett County	430304	Anderson Creek Primary	N	PK,0K,01,02	530	N/A	N/A	343	64.72	Y	SW-SW					2005-2006	2015-2016	N
200	Cherokee County	200304	Andrews Elementary	N	PK,0K,01,02,03,04,05	352	222	1.6	352	100.00	Y	SW-SW					2006-2007	2015-2016	Y
200	Cherokee County	200308	Andrews High	N	09,10,11,12	257	94	1.6	150	58.37	N	SW						2015-2016	Y
200	Cherokee County	200310	Andrews Middle	N	06,07,08	213	93	1.6	149	69.95	N	SW						2015-2016	Y
430	Harnett County	430308	Angier Elementary	N	03,04,05	444	N/A	N/A	333	75.00	Y	SW-SW					2005-2006	2015-2016	N
260	Cumberland County	260336	Anne Chesnutt Middle	N	06,07,08	509	N/A	N/A	359	70.53	N	SW						2015-2016	N
040	Anson County	040305	Anson Academy	N	09,10,11,12	77	66	1.6	77	100.00	N	SW						2015-2016	Y
040	Anson County	040304	Anson Co. Early College High	N	09,10,11,12,13	187	96	1.6	154	82.35	N	SW						2015-2016	Y
040	Anson County	040306	Anson High School	N	09,10,11,12	672	509	1.6	672	100.00	N	SW						2015-2016	Y
040	Anson County	040309	Anson Middle	N	07,08	591	467	1.6	591	100.00	N	SW						2015-2016	Y
040	Anson County	040700	Anson New Tech High	N	09,10,11,12	148	105	1.6	148	100.00	N	SW						2015-2016	Y
040	Anson County	040308	Ansonville Elementary	N	0K,01,02,03,04,05,06	241	154	1.6	241	100.00	Y	SW-SW					2006-2007	2015-2016	Y
900	Union County	900302	Antioch Elementary	N	0K,01,02,03,04,05	755	N/A	N/A	60	7.95	N	Not Title I						2015-2016	N
920	Wake County	920308	Apex Elementary	N	PK,0K,01,02,03,04,05	704	N/A	N/A	241	34.23	N	Not Title I						2015-2016	N
920	Wake County	920317	Apex Friendship High	N	09,10	918	N/A	N/A	128	13.94	N	Not Title I						2015-2016	N
920	Wake County	920316	Apex High	N	09,10,11,12	2526	N/A	N/A	234	9.26	N	Not Title I						2015-2016	N
920	Wake County	920312	Apex Middle	N	06,07,08	1197	N/A	N/A	238	19.88	N	Not Title I						2015-2016	N
