"LEA Code"	"LEA Name"	"School Code"	"School Name"	"Charter School"	Current Grades	"Total Enrollment"	"# Identified Students"	Multiplier	"# Low Income Students"	"Percent Low Income Students"	"School Served"	"Eligibility Model"	"Eligibility Justification"	"Program Justification"	"# Students Served TAS"	"Grades Served TAS"	"Served 1st Year"	"School Year"
740	Pitt County Schools	740302	A G Cox Middle	N	06,07,08	787	N/A	N/A	357	45.36	N	SW	 	 		 	 	2016-2017
650	New Hanover County Schools	650384	A H Snipes Academy of Arts/Des	N	0K,01,02,03,04,05	482	450	1.6	482	100	Y	SW-SW	 	 		 	2005-2006	2016-2017
132	Kannapolis City Schools	132304	A L Brown High	N	09,10,11,12	1424	N/A	N/A	560	39.33	N	TAS	 	 		 	 	2016-2017
680	Orange County Schools	680304	A L Stanback Middle	N	06,07,08	652	N/A	N/A	335	51.38	N	SW	 	 		 	 	2016-2017
130	Cabarrus County Schools	130304	A T Allen Elementary	N	0K,01,02,03,04,05	889	N/A	N/A	546	61.42	Y	SW-SW	 	 		 	2006-2007	2016-2017
13C	A.C.E. Academy	13C000	A.C.E. Academy	Y	0K,01,02,03,04,05,06,07	400	N/A	N/A	160	40	Y	SW-SW	 	 		 	2014-2015	2016-2017
920	Wake County Schools	920303	Abbotts Creek Elementary	N	PK,0K,01,02,03,04,05	697	N/A	N/A	211	30.27	N	Not Title I	 	 		 	 	2016-2017
630	Moore County Schools	630308	Aberdeen Elementary	N	03,04,05	330	N/A	N/A	264	80	Y	SW-SW	 	 		 	2005-2006	2016-2017
630	Moore County Schools	630304	Aberdeen Primary	N	PK,0K,01,02	327	N/A	N/A	257	78.59	Y	SW-SW	 	 		 	2005-2006	2016-2017
240	Columbus County Schools	240308	Acme Delco Elementary	N	PK,0K,01,02,03,04,05	322	N/A	N/A	278	86.34	Y	SW-SW	 	 		 	2006-2007	2016-2017
240	Columbus County Schools	240304	Acme Delco Middle	N	06,07,08	139	N/A	N/A	102	73.38	Y	SW-SW	 	 		 	2004-2005	2016-2017
920	Wake County Schools	920304	Adams Elementary	N	PK,0K,01,02,03,04,05	743	N/A	N/A	329	44.28	N	SW	 	 		 	 	2016-2017
460	Hertford County Schools	460308	Ahoskie Elementary	N	04,05,06	492	304	1.6	486	98.78	Y	SW-SW	 	 		 	2004-2005	2016-2017
410	Guilford County Schools	410304	Alamance Elementary	N	PK,0K,01,02,03,04,05	515	N/A	N/A	140	27.18	N	Not Title I	 	 		 	 	2016-2017
010	Alamance-Burlington Schools	010303	Alamance-Burlington Middle/Early College	N	09,10,11,12,13	112	N/A	N/A	1	0.89	N	Not Title I	 	 		 	 	2016-2017
840	Stanly County Schools	840302	Albemarle High	N	09,10,11,12	385	N/A	N/A	276	71.69	N	SW	 	 		 	 	2016-2017
840	Stanly County Schools	840303	Albemarle Middle	N	06,07,08	380	N/A	N/A	312	82.11	Y	SW-SW	 	 		 	2013-2014	2016-2017
600	Charlotte-Mecklenburg Schools	600300	Albemarle Road Elementary	N	0K,01,02,03,04,05	1174	N/A	N/A	717	61.07	Y	SW-SW	 	 		 	2004-2005	2016-2017
600	Charlotte-Mecklenburg Schools	600301	Albemarle Road Middle	N	06,07,08	1169	N/A	N/A	636	54.41	Y	SW-SW	 	 		 	2004-2005	2016-2017
250	Craven County Schools	250304	Albert H Bangert Elementary	N	0K,01,02,03,04,05	440	N/A	N/A	222	50.45	Y	SW-SW	 	 		 	2006-2007	2016-2017
260	Cumberland County Schools	260364	Alderman Road Elementary	N	PK,0K,01,02,03,04,05	724	356	1.6	570	78.73	Y	SW-SW	 	 		 	2002-2003	2016-2017
020	Alexander County Schools	020302	Alexander Central High	N	09,10,11,12	1227	N/A	N/A	566	46.13	N	SW	 	 		 	 	2016-2017
020	Alexander County Schools	020303	Alexander Early College	N	09	56	N/A	N/A	30	53.57	N	SW	 	 		 	 	2016-2017
600	Charlotte-Mecklenburg Schools	600399	Alexander Graham Middle	N	06,07,08	1407	N/A	N/A	345	24.52	N	Not Title I	 	 		 	 	2016-2017
010	Alamance-Burlington Schools	010304	Alexander Wilson Elementary	N	PK,0K,01,02,03,04,05	586	N/A	N/A	297	50.68	N	SW	 	 		 	 	2016-2017
260	Cumberland County Schools	260374	Alger B. Wilkins High School	N	09,10,11,12	120	N/A	N/A	95	79.17	N	SW	 	 		 	 	2016-2017
030	Alleghany County Schools	030304	Alleghany High	N	09,10,11,12	433	N/A	N/A	231	53.35	N	SW	 	 		 	 	2016-2017
410	Guilford County Schools	410310	Allen Jay Elementary	N	PK,0K,01,02,03,04,05	425	N/A	N/A	228	53.65	Y	SW-SW	 	 		 	2006-2007	2016-2017
410	Guilford County Schools	410311	Allen Jay Middle, A Preparatory Academy	N	05,06,07,08	291	N/A	N/A	130	44.67	Y	SW-SW	 	 		 	2014-2015	2016-2017
410	Guilford County Schools	410316	Allen Middle	N	06,07,08	662	N/A	N/A	354	53.47	Y	SW-SW	 	 		 	2007-2008	2016-2017
600	Charlotte-Mecklenburg Schools	600308	Allenbrook Elementary	N	0K,01,02,03,04,05	573	N/A	N/A	448	78.18	Y	SW-SW	 	 		 	2002-2003	2016-2017
260	Cumberland County Schools	260302	Alma O Easom Elementary	N	0K,01	265	N/A	N/A	128	48.3	Y	SW-SW	 	 		 	2014-2015	2016-2017
26B	Alpha Academy	26B000	Alpha Academy	Y	0K,01,02,03,04,05,06,07,08,09	844	N/A	N/A	655	77.61	Y	SW-SW	 	 		 	2005-2006	2016-2017
920	Wake County Schools	920307	Alston Ridge Elementary	N	PK,0K,01,02,03,04,05	1221	N/A	N/A	100	8.19	N	Not Title I	 	 		 	 	2016-2017
010	Alamance-Burlington Schools	010308	Altamahaw Ossipee Elem	N	0K,01,02,03,04,05	558	N/A	N/A	262	46.95	N	SW	 	 		 	 	2016-2017
49B	American Renaissance School	49B000	American Renaissance School	Y	0K,01,02,03,04,05,06,07,08	540	N/A	N/A	144	26.67	Y	TAS-TAS	Charter School	 	195	0K,01,02,03,04,05,06,07,08	2006-2007	2016-2017
43C	Anderson Creek Academy	43C000	Anderson Creek Academy	Y	0K,01,02,03,04,05	231	N/A	N/A	60	25.97	N	Not Title I	 	 		 	 	2016-2017
430	Harnett County Schools	430304	Anderson Creek Primary	N	PK,0K,01,02	554	N/A	N/A	375	67.69	Y	SW-SW	 	 		 	2005-2006	2016-2017
200	Cherokee County Schools	200304	Andrews Elementary	N	PK,0K,01,02,03,04,05	342	182	1.6	291	85.09	Y	SW-SW	 	 		 	2006-2007	2016-2017
200	Cherokee County Schools	200308	Andrews High	N	09,10,11,12	289	90	1.6	144	49.83	N	SW	 	 		 	 	2016-2017
200	Cherokee County Schools	200310	Andrews Middle	N	06,07,08	187	90	1.6	144	77.01	N	SW	 	 		 	 	2016-2017
430	Harnett County Schools	430308	Angier Elementary	N	03,04,05	449	N/A	N/A	341	75.95	Y	SW-SW	 	 		 	2005-2006	2016-2017
260	Cumberland County Schools	260336	Anne Chesnutt Middle	N	06,07,08	405	N/A	N/A	287	70.86	N	SW	 	 		 	 	2016-2017
040	Anson County Schools	040305	Anson Academy	N	07,08,09,10,11,12	97	N/A	N/A	70	72.16	N	SW	 	 		 	 	2016-2017
040	Anson County Schools	040304	Anson Co. Early College High	N	09,10,11,12,13	213	N/A	N/A	65	30.52	N	Not Title I	 	 		 	 	2016-2017
040	Anson County Schools	040306	Anson High School	N	09,10,11,12	640	N/A	N/A	345	53.91	N	SW	 	 		 	 	2016-2017
040	Anson County Schools	040309	Anson Middle	N	07,08	572	N/A	N/A	302	52.8	N	SW	 	 		 	 	2016-2017
040	Anson County Schools	040700	Anson New Tech High	N	09,10,11,12	135	N/A	N/A	57	42.22	N	SW	 	 		 	 	2016-2017
040	Anson County Schools	040308	Ansonville Elementary	N	0K,01,02,03,04,05,06	205	N/A	N/A	80	39.02	Y	TAS-SW	 	Always SW		 	2006-2007	2016-2017
900	Union County Public Schools	900302	Antioch Elementary	N	0K,01,02,03,04,05	732	N/A	N/A	45	6.15	N	Not Title I	 	 		 	 	2016-2017
920	Wake County Schools	920308	Apex Elementary	N	PK,0K,01,02,03,04,05	662	N/A	N/A	192	29	N	Not Title I	 	 		 	 	2016-2017
920	Wake County Schools	920317	Apex Friendship High	N	09,10,11	948	N/A	N/A	114	12.03	N	Not Title I	 	 		 	 	2016-2017
920	Wake County Schools	920316	Apex High	N	09,10,11,12	2283	N/A	N/A	279	12.22	N	Not Title I	 	 		 	 	2016-2017
920	Wake County Schools	920312	Apex Middle	N	06,07,08	1289	N/A	N/A	243	18.85	N	Not Title I	 	 		 	 	2016-2017
450	Henderson County Schools	450301	Apple Valley Middle	N	06,07,08	860	N/A	N/A	578	67.21	N	SW	 	 		 	 	2016-2017
840	Stanly County Schools	840304	Aquadale Elementary	N	PK,0K,01,02,03,04,05	394	N/A	N/A	212	53.81	Y	SW-SW	 	 		 	2006-2007	2016-2017
69A	Arapahoe Charter School	69A000	Arapahoe Charter School	Y	0K,01,02,03,04,05,06,07,08,09,10,11,12	518	N/A	N/A	264	50.97	Y	SW-SW	 	 		 	2006-2007	2016-2017
760	Randolph County School System	760304	Archdale Elementary	N	0K,01,02,03,04,05	374	N/A	N/A	237	63.37	Y	SW-SW	 	 		 	2006-2007	2016-2017
760	Randolph County School System	760378	Archdale-Trinity Middle	N	07,08	806	N/A	N/A	359	44.54	N	SW	 	 		 	 	2016-2017
410	Guilford County Schools	410322	Archer Elementary	N	PK,0K,01,02,03,04,05	425	N/A	N/A	226	53.18	Y	SW-SW	 	 		 	2005-2006	2016-2017
510	Johnston County Schools	510364	Archer Lodge Middle	N	06,07,08	1042	N/A	N/A	385	36.95	N	TAS	 	 		 	 	2016-2017
600	Charlotte-Mecklenburg Schools	600302	Ardrey Kell High	N	09,10,11,12	2846	N/A	N/A	138	4.85	N	Not Title I	 	 		 	 	2016-2017
60N	Aristotle Preparatory Academy	60N000	Aristotle Preparatory Academy	Y	0K,01,02,03,04,05	160	160	1.6	160	100	Y	SW-SW	 	 		 	2013-2014	2016-2017
260	Cumberland County Schools	260306	Armstrong Elementary	N	PK,0K,01,02,03,04,05	445	N/A	N/A	284	63.82	Y	SW-SW	 	 		 	2006-2007	2016-2017
250	Craven County Schools	250380	Arthur W Edwards Elementary	N	0K,01,02,03,04,05	645	N/A	N/A	308	47.75	Y	SW-SW	 	 		 	2006-2007	2016-2017
11B	ArtSpace Charter	11B000	ArtSpace Charter School	Y	0K,01,02,03,04,05,06,07,08	392	N/A	N/A	172	43.88	Y	SW-SW	 	 		 	2006-2007	2016-2017
550	Lincoln County Schools	550308	Asbury Academy	N	06,07,08,09,10,11,12	68	39	1.6	62	91.18	N	SW	 	 		 	 	2016-2017
360	Gaston County Schools	360310	Ashbrook High	N	09,10,11,12	1442	N/A	N/A	863	59.85	N	SW	 	 		 	 	2016-2017
050	Ashe County Schools	050302	Ashe County High	N	09,10,11,12	910	N/A	N/A	480	52.75	N	SW	 	 		 	 	2016-2017
050	Ashe County Schools	050305	Ashe County Middle	N	07,08	490	N/A	N/A	293	59.8	N	SW	 	 		 	 	2016-2017
761	Asheboro City Schools	761304	Asheboro High	N	09,10,11,12	1303	N/A	N/A	870	66.77	N	SW	 	 		 	 	2016-2017
111	Asheville City Schools	111302	Asheville High	N	09,10,11,12	1037	N/A	N/A	393	37.9	N	TAS	 	 		 	 	2016-2017
111	Asheville City Schools	111356	Asheville Middle	N	06,07,08	704	N/A	N/A	324	46.02	N	SW	 	 		 	 	2016-2017
340	Winston Salem/Forsyth County Schools	340308	Ashley Academy	N	PK,0K,01,02,03,04,05	501	411	1.6	501	100	Y	SW-SW	 	 		 	2005-2006	2016-2017
770	Richmond County Schools	770342	Ashley Chapel Educational Center	N	07,08,09,10,11,12	92	66	1.6	92	100	Y	SW-SW	 	 		 	2014-2015	2016-2017
260	Cumberland County Schools	260308	Ashley Elementary	N	03,04,05	218	113	1.6	181	83.03	Y	SW-SW	 	 		 	2006-2007	2016-2017
600	Charlotte-Mecklenburg Schools	600311	Ashley Park PreK-8 School	N	PK,0K,01,02,03,04,05,06,07,08	633	N/A	N/A	535	84.52	Y	SW-SW	 	 		 	2006-2007	2016-2017
920	Wake County Schools	920318	Athens Drive High	N	09,10,11,12	1959	N/A	N/A	790	40.33	N	SW	 	 		 	 	2016-2017
340	Winston Salem/Forsyth County Schools	340311	Atkins Academic & Tech High	N	09,10,11,12	720	N/A	N/A	242	33.61	N	Not Title I	 	 		 	 	2016-2017
450	Henderson County Schools	450302	Atkinson Elementary	N	0K,01,02,03,04,05	371	N/A	N/A	173	46.63	Y	SW-SW	 	 		 	2006-2007	2016-2017
160	Carteret County Public Schools	160304	Atlantic Elementary	N	PK,0K,01,02,03,04,05	78	N/A	N/A	46	58.97	Y	SW-SW	 	 		 	2006-2007	2016-2017
