Experience	year	unit_code	category_cd	pct_tch	lea_pct_tch	lea_pct_prin	st_pct_tch	st_pct_prin
0-3 Years	2016	010LEA	A		0.409	0.417	0.227	0.43
0-3 Years	2016	010LEA	E		0.276	0.417	0.227	0.43
0-3 Years	2016	010LEA	H		0.242	0.417	0.231	0.43
0-3 Years	2016	010LEA	M		0.207	0.417	0.244	0.43
0-3 Years	2016	020LEA	E		0.174	0.5	0.227	0.43
0-3 Years	2016	020LEA	H		0.184	0.5	0.231	0.43
0-3 Years	2016	020LEA	M		0.23	0.5	0.244	0.43
0-3 Years	2016	030LEA	H		0.189	0.75	0.231	0.43
0-3 Years	2016	030LEA	I		0.226	0.75	0.255	0.43
0-3 Years	2016	040LEA	E		0.124	0.545	0.227	0.43
0-3 Years	2016	040LEA	H		0.333	0.545	0.231	0.43
0-3 Years	2016	040LEA	M		0.308	0.545	0.244	0.43
0-3 Years	2016	040LEA	T			0.545	0.253	0.43
0-3 Years	2016	050LEA	E		0.123	0.4	0.227	0.43
0-3 Years	2016	050LEA	H		0.212	0.4	0.231	0.43
0-3 Years	2016	050LEA	M		0.103	0.4	0.244	0.43
0-3 Years	2016	060LEA	E		0.122	0.111	0.227	0.43
0-3 Years	2016	060LEA	H		0.152	0.111	0.231	0.43
0-3 Years	2016	060LEA	M		0.256	0.111	0.244	0.43
0-3 Years	2016	060LEA	T		0	0.111	0.253	0.43
0-3 Years	2016	070LEA	E		0.179	0.357	0.227	0.43
0-3 Years	2016	070LEA	H		0.245	0.357	0.231	0.43
0-3 Years	2016	070LEA	I		0.13	0.357	0.255	0.43
0-3 Years	2016	070LEA	M		0.378	0.357	0.244	0.43
0-3 Years	2016	070LEA	T		0.571	0.357	0.253	0.43
0-3 Years	2016	080LEA	E		0.182	0.625	0.227	0.43
0-3 Years	2016	080LEA	H		0.358	0.625	0.231	0.43
0-3 Years	2016	080LEA	M		0.355	0.625	0.244	0.43
0-3 Years	2016	080LEA	T			0.625	0.253	0.43
0-3 Years	2016	090LEA	E		0.138	0.385	0.227	0.43
0-3 Years	2016	090LEA	H		0.209	0.385	0.231	0.43
0-3 Years	2016	090LEA	I		0	0.385	0.255	0.43
0-3 Years	2016	090LEA	M		0.225	0.385	0.244	0.43
0-3 Years	2016	090LEA	T			0.385	0.253	0.43
0-3 Years	2016	100LEA	E		0.193	0.526	0.227	0.43
0-3 Years	2016	100LEA	H		0.262	0.526	0.231	0.43
0-3 Years	2016	100LEA	I		0.054	0.526	0.255	0.43
0-3 Years	2016	100LEA	M		0.287	0.526	0.244	0.43
0-3 Years	2016	100LEA	T		0.143	0.526	0.253	0.43
0-3 Years	2016	110LEA	E		0.19	0.395	0.227	0.43
0-3 Years	2016	110LEA	H		0.181	0.395	0.231	0.43
0-3 Years	2016	110LEA	M		0.228	0.395	0.244	0.43
0-3 Years	2016	111LEA	E		0.247	0.125	0.227	0.43
0-3 Years	2016	111LEA	H		0.147	0.125	0.231	0.43
0-3 Years	2016	111LEA	M		0.31	0.125	0.244	0.43
0-3 Years	2016	111LEA	T			0.125	0.253	0.43
0-3 Years	2016	120LEA	A		0.154	0.519	0.227	0.43
0-3 Years	2016	120LEA	E		0.134	0.519	0.227	0.43
0-3 Years	2016	120LEA	H		0.162	0.519	0.231	0.43
0-3 Years	2016	120LEA	M		0.151	0.519	0.244	0.43
0-3 Years	2016	120LEA	T		0.2	0.519	0.253	0.43
0-3 Years	2016	130LEA	E		0.218	0.514	0.227	0.43
0-3 Years	2016	130LEA	H		0.256	0.514	0.231	0.43
0-3 Years	2016	130LEA	M		0.164	0.514	0.244	0.43
0-3 Years	2016	130LEA	T		0.292	0.514	0.253	0.43
0-3 Years	2016	132LEA	E		0.236	0.875	0.227	0.43
0-3 Years	2016	132LEA	H		0.175	0.875	0.231	0.43
0-3 Years	2016	132LEA	M		0.189	0.875	0.244	0.43
0-3 Years	2016	140LEA	E		0.158	0.385	0.227	0.43
0-3 Years	2016	140LEA	H		0.144	0.385	0.231	0.43
0-3 Years	2016	140LEA	I		0.188	0.385	0.255	0.43
0-3 Years	2016	140LEA	M		0.159	0.385	0.244	0.43
0-3 Years	2016	140LEA	T		0.25	0.385	0.253	0.43
0-3 Years	2016	150LEA	E		0.081	0.2	0.227	0.43
0-3 Years	2016	150LEA	H		0.13	0.2	0.231	0.43
0-3 Years	2016	150LEA	M		0.143	0.2	0.244	0.43
0-3 Years	2016	160LEA	A		0	0.529	0.227	0.43
0-3 Years	2016	160LEA	E		0.163	0.529	0.227	0.43
0-3 Years	2016	160LEA	H		0.128	0.529	0.231	0.43
0-3 Years	2016	160LEA	I		0.2	0.529	0.255	0.43
0-3 Years	2016	160LEA	M		0.155	0.529	0.244	0.43
0-3 Years	2016	160LEA	T			0.529	0.253	0.43
0-3 Years	2016	170LEA	E		0.234	0.667	0.227	0.43
0-3 Years	2016	170LEA	H		0.25	0.667	0.231	0.43
0-3 Years	2016	170LEA	M		0.273	0.667	0.244	0.43
0-3 Years	2016	180LEA	A		0.235	0.536	0.227	0.43
0-3 Years	2016	180LEA	E		0.156	0.536	0.227	0.43
0-3 Years	2016	180LEA	H		0.172	0.536	0.231	0.43
0-3 Years	2016	180LEA	M		0.166	0.536	0.244	0.43
0-3 Years	2016	180LEA	T			0.536	0.253	0.43
0-3 Years	2016	181LEA	E		0.226	0.333	0.227	0.43
0-3 Years	2016	181LEA	H		0.348	0.333	0.231	0.43
0-3 Years	2016	181LEA	M		0.13	0.333	0.244	0.43
0-3 Years	2016	181LEA	T		0.308	0.333	0.253	0.43
0-3 Years	2016	182LEA	A		0.533	0.429	0.227	0.43
0-3 Years	2016	182LEA	E		0.393	0.429	0.227	0.43
0-3 Years	2016	182LEA	H		0.268	0.429	0.231	0.43
0-3 Years	2016	182LEA	M		0.146	0.429	0.244	0.43
