NCAccModel_2014_Summary																																																																																
Percentages greater than 95 are displayed as >95 and percentages less than 5 are displayed as <5.																																																																																
* or (Insufficient) or a blank cell indicates a school does not have tested grades/sufficient data for reporting.																																																																																
College/Career Ready (CCR) - Level 4 & 5 /Grade Level Proficient (GLP) - Level 3 & Above																																																																																
District Name	School Code	School Name	SBE Region	Grade Span	Title I School	SPG Grade	SPG Score	Reading SPG Grade	Reading SPG Score	Math SPG Grade	Math SPG Score	EVAAS Growth Status	Percent Teachers Meet/Exceed Growth	AMO Target Denominator	AMO Target Percent	Graduation Project	ACT Denominator	ACT Percent	ACT WorkKeys Denominator	ACT WorkKeys Percent	MCR Denominator	MCR Percent	Cohort Graduation Rate Standard Denominator	Cohort Graduation Rate Standard Percent	Cohort Graduation Rate Extended Denominator	Cohort Graduation Rate Extended Percent	Performance Composite Denominator	Performance Composite Percent College/Career Ready	Performance Composite Percent Grade Level Proficient	Math I Denominator	Math I Percent College/Career Ready	Math I Percent Grade Level Proficient	Biology Denominator	Biology Percent College/Career Ready	Biology Percent Grade Level Proficient	English II Denominator	English II Percent College/Career Ready	English II Percent Grade Level Proficient	Grade 3 Math Denominator	Grade 3 Math Percent College/Career Ready	Grade 3 Math Percent Grade Level Proficient	Grade 4 Math Denominator	Grade 4 Math Percent College/Career Ready	Grade 4 Math Percent Grade Level Proficient	Grade 5 Math Denominator	Grade 5 Math Percent College/Career Ready	Grade 5 Math Percent Grade Level Proficient	Grade 6 Math Denominator	Grade 6 Math Percent College/Career Ready	Grade 6 Math Percent Grade Level Proficient	Grade 7 Math Denominator	Grade 7 Math Percent College/Career Ready	Grade 7 Math Percent Grade Level Proficient	Grade 8 Math Denominator	Grade 8 Math Percent College/Career Ready	Grade 8 Math Percent Grade Level Proficient	Grade 3 Reading Denominator	Grade 3 Reading Percent College/Career Ready	Grade 3 Reading Percent Grade Level Proficient	Grade 4 Reading Denominator	Grade 4 Reading Percent College/Career Ready	Grade 4 Reading Percent Grade Level Proficient	Grade 5 Reading Denominator	Grade 5 Reading Percent College/Career Ready	Grade 5 Reading Percent Grade Level Proficient	Grade 6 Reading Denominator	Grade 6 Reading Percent College/Career Ready	Grade 6 Reading Percent Grade Level Proficient	Grade 7 Reading Denominator	Grade 7 Reading Percent College/Career Ready	Grade 7 Reading Percent Grade Level Proficient	Grade 8 Reading Denominator	Grade 8 Reading Percent College/Career Ready	Grade 8 Reading Percent Grade Level Proficient	Grade 5 Science Denominator	Grade 5 Science Percent College/Career Ready	Grade 5 Science Percent Grade Level Proficient	Grade 8 Science Denominator	Grade 8 Science Percent College/Career Ready	Grade 8 Science Percent Grade Level Proficient
State of North Carolina	NC	State of North Carolina												210	55.2		94214	59.3	30235	67.6	93105	>95	109714	83.9	109795	84.9	1992345	46.2	56.3	154435	46.9	60.0	111830	45.1	53.9	114943	51.7	61.2	115407	48.3	60.9	107581	47.1	54.3	115973	50.3	56.4	115790	39.6	46.8	117994	38.9	45.9	116649	34.6	42.2	115381	47.7	60.2	107575	44.5	55.6	115960	40.3	53.8	115791	45.7	56.8	117992	47.6	57.3	116626	42.3	54.2	115924	52.6	64.2	116494	61.9	71.4
Alamance-Burlington Schools	010	Alamance-Burlington Schools	5											179	54.2		1437	51.2	447	74.0	1417	92.4	1745	79.0	1718	81.2	30522	39.4	49.3	2409	44.8	58.0	1836	39.6	48.5	1894	41.6	51.0	1687	39.9	53.1	1589	39.5	47.6	1716	44.2	50.0	1765	36.3	42.3	1788	32.7	40.0	1860	25.3	33.7	1687	42.6	54.9	1589	40.4	51.2	1716	32.8	46.2	1765	40.2	52.3	1790	39.8	48.6	1861	32.2	42.5	1715	44.6	56.7	1855	51.3	59.9
Alamance-Burlington Schools	010303	Alamance-Burlington Middle College	5	09-12		A	85							6	100.0	N	41	61.0	7	57.1	40	>95	44	>95	33	>95	<5	*	*				<5	*	*																																													
Alamance-Burlington Schools	010304	Alexander Wilson Elementary	5	PK-05		C	67	C	66	C	65	Exceeded	100.0	27	100.0												623	51.4	62.6										92	38.0	52.2	80	50.0	57.5	93	61.3	68.8										92	43.5	58.7	80	52.5	62.5	93	52.7	64.5										93	61.3	73.1			
Alamance-Burlington Schools	010308	Altamahaw Ossipee Elem	5	0K-05		C	67	C	69	C	65	Met	92.0	29	96.6												668	54.2	65.0										100	64.0	72.0	89	62.9	69.7	97	46.4	53.6										100	47.0	62.0	89	69.7	80.9	97	35.1	53.6										96	56.3	64.6			
Alamance-Burlington Schools	010310	Broadview Middle	5	06-08	Y	F	36	D	42	F	30	NotMet	67.7	43	53.5												1880	23.2	30.8	26	73.1	>95																276	17.8	23.6	265	16.6	21.1	257	15.6	22.2										276	24.6	35.1	266	29.3	36.8	258	20.5	29.1				256	33.2	41.4
Alamance-Burlington Schools	010311	Career Technical Education Center	5	09-12		I										N																																																																
Alamance-Burlington Schools	010312	Highland Elementary	5	0K-05		B	74	B	74	B	72	Exceeded	97.3	30	100.0												724	58.6	71.1										98	49.0	64.3	102	67.6	73.5	108	56.5	65.7										98	62.2	78.6	102	61.8	74.5	108	49.1	65.7										108	63.9	75.9			
Alamance-Burlington Schools	010320	E M Yoder Elementary	5	PK-05		C	69	B	72	C	62	Met	93.8	17	100.0												373	54.4	65.4										43	44.2	55.8	55	40.0	49.1	59	66.1	67.8										43	58.1	67.4	55	58.2	69.1	59	47.5	67.8										59	64.4	78.0			
Alamance-Burlington Schools	010324	Eastern Alamance High	5	09-12		C	69					Met	71.4	78	73.1	N	261	57.5	49	85.7	240	88.3	282	80.9	263	87.1	1069	46.3	57.1	386	43.0	57.3	334	53.6	61.7	349	43.0	52.4																																										
Alamance-Burlington Schools	010326	Eastlawn Elementary	5	PK-05	Y	F	33	F	33	F	36	Met	85.7	30	60.0												536	15.1	22.6										74	16.2	35.1	83	7.2	10.8	74	25.7	28.4										74	20.3	29.7	83	13.3	15.7	74	8.1	20.3										74	16.2	20.3			
Alamance-Burlington Schools	010328	Edwin M Holt Elementary	5	0K-05		C	64	C	65	C	65	NotMet	96.2	27	92.6												721	51.2	63.2										115	59.1	71.3	103	53.4	66.0	95	48.4	56.8										115	54.8	67.8	103	51.5	60.2	95	37.9	52.6										95	50.5	65.3			
Alamance-Burlington Schools	010340	Elon Elementary	5	PK-05		C	66	C	63	C	62	Met	100.0	27	88.9												748	50.0	61.6										105	37.1	52.4	122	36.1	44.3	98	72.4	76.5										105	41.9	54.3	122	43.4	55.7	98	53.1	70.4										98	72.4	84.7			
Alamance-Burlington Schools	010346	B Everett Jordan Elem	5	0K-05	Y	D	50	C	55	D	49	NotMet	76.2	23	65.2												478	37.4	47.3										69	44.9	53.6	74	35.1	44.6	64	37.5	42.2										69	49.3	58.0	74	33.8	47.3	64	29.7	45.3										64	31.3	39.1			
Alamance-Burlington Schools	010347	Garrett Elementary	5	PK-05		C	62	C	59	C	63	Met	93.3	33	87.9												795	46.2	57.1										110	49.1	61.8	94	56.4	69.1	129	41.1	49.6										110	49.1	56.4	94	42.6	56.4	129	34.9	47.3										129	52.7	62.8			
Alamance-Burlington Schools	010348	Graham High	5	09-12		D	51					NotMet	81.8	67	59.7	N	169	30.8	39	61.5	160	>95	194	76.3	187	77.5	695	25.9	34.2	210	23.3	31.4	236	22.0	31.4	249	31.7	39.4																																										
Alamance-Burlington Schools	010350	Graham Middle	5	06-08	Y	D	42	D	43	F	35	Met	78.6	44	54.5												1584	24.3	32.5	42	69.0	90.5																221	19.9	22.6	232	19.4	23.7	212	17.0	23.1										222	23.4	34.2	233	25.8	36.9	212	20.8	31.6				210	35.7	44.8
Alamance-Burlington Schools	010351	Grove Park Elementary	5	PK-05	Y	D	48	D	48	D	45	Met	80.0	29	65.5												632	29.4	38.8										87	13.8	21.8	85	28.2	32.9	96	41.7	47.9										87	23.0	37.9	85	32.9	42.4	96	29.2	39.6										96	35.4	46.9			
Alamance-Burlington Schools	010353	Hawfields Middle	5	06-08		C	58	C	58	D	47	Met	78.3	50	78.0												1731	44.5	53.4	54	79.6	92.6																241	34.4	40.7	215	35.8	44.2	255	30.2	41.6										241	46.1	58.5	215	47.0	53.5	255	37.3	47.5				255	72.2	77.6
Alamance-Burlington Schools	010354	Harvey R Newlin Elementary	5	PK-05	Y	F	38	F	39	F	37	Met	91.3	37	51.4												762	16.8	26.6										123	15.4	28.5	87	19.5	29.9	114	15.8	20.2										123	21.1	33.3	87	23.0	29.9	114	13.2	20.2										114	11.4	25.4			
Alamance-Burlington Schools	010357	Haw River Elementary	5	PK-05	Y	F	39	F	39	D	40	NotMet	100.0	31	61.3												509	23.2	33.0										75	30.7	46.7	70	14.3	21.4	73	30.1	32.9										75	32.0	41.3	70	15.7	24.3	73	19.2	26.0										73	19.2	37.0			
Alamance-Burlington Schools	010358	Hillcrest Elementary	5	PK-05	Y	D	50	D	49	D	46	Met	90.5	28	67.9												554	33.8	44.2										71	33.8	52.1	68	27.9	35.3	92	33.7	39.1										71	36.6	43.7	68	30.9	38.2	92	31.5	41.3										92	40.2	57.6			
Alamance-Burlington Schools	010360	Hugh M Cummings High	5	09-12		C	58					Exceeded	93.8	52	36.5	N	184	28.3	43	72.1	140	80.7	202	66.8	201	71.1	678	29.9	42.6	238	30.7	47.5	203	32.0	41.4	237	27.4	38.8																																										
Alamance-Burlington Schools	010362	Marvin B Smith Elementary	5	PK-05		C	68	C	69	C	65	NotMet	83.3	31	96.8												576	59.9	71.0										93	73.1	82.8	84	51.2	65.5	74	48.6	54.1										93	67.7	78.5	84	54.8	65.5	74	45.9	63.5										74	74.3	83.8			
Alamance-Burlington Schools	010364	North Graham Elementary	5	PK-05	Y	D	40	D	44	D	42	NotMet	80.0	25	64.0												403	26.6	35.7										55	38.2	45.5	52	34.6	36.5	63	23.8	30.2										55	30.9	49.1	52	38.5	48.1	63	6.3	17.5										63	19.0	28.6			
Alamance-Burlington Schools	010372	Pleasant Grove Elementary	5	PK-05	Y	D	46	D	49	F	39	NotMet	85.7	21	71.4												272	28.7	40.4										35	14.3	25.7	29	20.7	27.6	48	33.3	39.6										35	28.6	48.6	29	31.0	48.3	48	25.0	35.4										48	41.7	54.2			
Alamance-Burlington Schools	010374	R Homer Andrews Elementary	5	PK-05	Y	D	48	D	43	D	52	Met	96.3	29	72.4												654	27.8	40.1										94	39.4	53.2	80	27.5	32.5	102	39.2	45.1										94	26.6	44.7	80	18.8	31.3	102	11.8	25.5										102	30.4	46.1			
Alamance-Burlington Schools	010378	Ray Street Academy	5	0K-12		N/A		N/A		N/A		Met	0.0	10	40.0	N	<5	*									189	5.8	9.0	15	6.7	6.7	15	<5	6.7	19	5.3	5.3				<5	*	*	5	<5	<5	<5	*	*	13	7.7	7.7	29	<5	<5				<5	*	*	5	<5	20.0	<5	*	*	13	15.4	15.4	29	6.9	13.8	5	<5	<5	29	13.8	20.7
Alamance-Burlington Schools	010380	South Graham Elementary	5	PK-05	Y	D	47	D	48	D	45	Met	86.2	41	61.0												655	26.3	38.8										99	15.2	30.3	83	22.9	30.1	97	38.1	46.4										99	33.3	47.5	83	19.3	31.3	97	23.7	39.2										97	29.9	44.3			
Alamance-Burlington Schools	010384	South Mebane Elementary	5	PK-05		B	73	B	74	B	70	Met	89.5	27	100.0												642	62.0	71.7										99	57.6	69.7	90	65.6	72.2	88	64.8	68.2										99	64.6	72.7	90	62.2	74.4	88	54.5	69.3										88	64.8	75.0			
Alamance-Burlington Schools	010388	Southern High	5	09-12		C	66					Met	86.4	65	67.7	N	272	58.1	126	73.8	314	92.7	375	83.2	372	82.3	1224	41.1	51.9	434	33.9	46.8	385	42.6	55.1	405	47.4	54.3																																										
Alamance-Burlington Schools	010390	Southern Middle	5	06-08		C	56	C	57	D	53	NotMet	74.7	42	76.2												2062	43.8	53.4	112	87.5	>95																263	45.6	54.8	271	37.3	44.3	294	31.6	41.5										263	42.2	54.0	271	41.7	52.8	294	38.4	48.3				294	52.4	61.6
Alamance-Burlington Schools	010392	Sylvan Elementary	5	PK-05	Y	C	59	C	58	C	60	NotMet	71.4	17	94.1												355	47.0	60.0										50	44.0	70.0	57	35.1	45.6	47	66.0	68.1										50	54.0	64.0	57	33.3	50.9	47	46.8	57.4										47	55.3	68.1			
Alamance-Burlington Schools	010394	Turrentine Middle	5	06-08	Y	D	47	D	52	F	39	NotMet	63.3	53	66.0												2151	36.0	45.7	79	81.0	91.1																274	31.0	39.1	312	33.3	41.7	301	18.9	26.9										273	40.3	54.2	312	41.7	49.7	301	28.6	40.2				299	46.2	56.5
Alamance-Burlington Schools	010396	Walter M Williams High	5	09-12		C	66					Met	81.8	77	68.8	N	246	54.5	73	74.0	254	91.7	266	90.2	274	86.9	966	39.2	49.3	331	38.4	51.4	313	34.2	39.3	322	45.0	56.8																																										
