2014-15 State, District, and School Level Summary Data																																																																																	
Percentages greater than 95 are displayed as >95 and percentages less than 5 are displayed as <5.																																																																																	
* or (Insufficient) or a blank cell indicates a school does not have tested grades/sufficient data for reporting.																																																																																	
College/Career Ready (CCR) - Level 4 & 5 /Grade Level Proficient (GLP) - Level 3 & Above																																																																																	
																																																																																	
Note: Filter applied to all column headers.  For sorting or filtering, click on the down arrow.																																																																																	
District Name	School Code	School Name	SBE District	Grade Span	Title I School	SPG Grade	SPG Score	Reading SPG Grade	Reading SPG Score	Math SPG Grade	Math SPG Score	EVAAS Growth Status	EVAAS Growth Index	AMO Target Denominator	Percent AMO Targets Met	Graduation Project	Summer Program	ACT Denominator	ACT Percent	ACT WorkKeys Denominator	ACT WorkKeys Percent	Passing Math III Denominator	Passing Math III Percent	4-Year Cohort Graduation Rate Denominator	4-Year Cohort Graduation Rate Percent	5-Year Cohort Graduation Rate Denominator	5-Year Cohort Graduation Rate Percent	Performance Composite Denominator	Performance Composite Percent College/Career Ready	Performance Composite Percent Grade Level Proficient	Math I Denominator	Math I Percent College/Career Ready	Math I Percent Grade Level Proficient	Biology Denominator	Biology Percent College/Career Ready	Biology Percent Grade Level Proficient	English II Denominator	English II Percent College/Career Ready	English II Percent Grade Level Proficient	Grade 3 Math Denominator	Grade 3 Math Percent College/Career Ready	Grade 3 Math Percent Grade Level Proficient	Grade 4 Math Denominator	Grade 4 Math Percent College/Career Ready	Grade 4 Math Percent Grade Level Proficient	Grade 5 Math Denominator	Grade 5 Math Percent College/Career Ready	Grade 5 Math Percent Grade Level Proficient	Grade 6 Math Denominator	Grade 6 Math Percent College/Career Ready	Grade 6 Math Percent Grade Level Proficient	Grade 7 Math Denominator	Grade 7 Math Percent College/Career Ready	Grade 7 Math Percent Grade Level Proficient	Grade 8 Math Denominator	Grade 8 Math Percent College/Career Ready	Grade 8 Math Percent Grade Level Proficient	Grade 3 Reading Denominator	Grade 3 Reading Percent College/Career Ready	Grade 3 Reading Percent Grade Level Proficient	Grade 4 Reading Denominator	Grade 4 Reading Percent College/Career Ready	Grade 4 Reading Percent Grade Level Proficient	Grade 5 Reading Denominator	Grade 5 Reading Percent College/Career Ready	Grade 5 Reading Percent Grade Level Proficient	Grade 6 Reading Denominator	Grade 6 Reading Percent College/Career Ready	Grade 6 Reading Percent Grade Level Proficient	Grade 7 Reading Denominator	Grade 7 Reading Percent College/Career Ready	Grade 7 Reading Percent Grade Level Proficient	Grade 8 Reading Denominator	Grade 8 Reading Percent College/Career Ready	Grade 8 Reading Percent Grade Level Proficient	Grade 5 Science Denominator	Grade 5 Science Percent College/Career Ready	Grade 5 Science Percent Grade Level Proficient	Grade 8 Science Denominator	Grade 8 Science Percent College/Career Ready	Grade 8 Science Percent Grade Level Proficient
State of North Carolina	NC	State of North Carolina												210	55.7			97170	59.7	34973	72.1	96801	>95	110473	85.6	109714	86.3	1992200	46.9	56.6	153762	48.6	59.8	114732	44.9	53.7	118055	50.0	59.6	117624	48.8	61.7	115086	48.5	56.1	107738	51.3	57.5	115674	41.0	48.5	115809	40.0	46.9	118069	35.8	43.2	117596	46.5	59.0	115075	47.1	58.8	107720	42.2	53.0	115663	46.6	57.2	115810	46.5	56.1	118081	41.6	53.4	107735	54.1	64.6	117971	63.7	72.6
Alamance-Burlington Schools	010	Alamance-Burlington Schools	Piedmont-Triad											176	58.0			1495	48.9	561	73.3	1440	91.5	1739	82.1	1745	81.4	30190	40.2	49.9	2386	45.3	56.7	1970	36.2	44.4	1885	39.5	50.6	1717	41.3	55.6	1696	35.1	43.0	1599	45.5	51.4	1721	35.4	42.0	1760	37.9	44.3	1792	27.6	34.9	1715	42.4	54.2	1696	40.9	52.4	1598	37.1	47.2	1721	41.4	52.6	1759	42.5	51.1	1790	34.9	46.6	1599	42.7	54.6	1786	56.2	65.9
Alamance-Burlington Schools	010303	Alamance-Burlington Middle College	Piedmont-Triad	09-12		A	86							5	100.0	N		36	69.4	12	75.0	43	>95	43	>95	44	>95	7	28.6	42.9				7	28.6	42.9																																													
Alamance-Burlington Schools	010304	Alexander Wilson Elementary	Piedmont-Triad	PK-05		C	69	C	66	C	67	Exceeded	5.22	27	96.3													603	53.4	63.2										88	53.4	62.5	92	45.7	52.2	81	59.3	67.9										88	55.7	62.5	92	46.7	57.6	81	50.6	61.7										81	64.2	80.2			
Alamance-Burlington Schools	010308	Altamahaw Ossipee Elem	Piedmont-Triad	0K-05		C	69	C	66	B	73	Met	-1.49	23	91.3													639	57.0	68.4										83	63.9	75.9	103	58.3	68.0	89	65.2	74.2										83	51.8	61.4	103	47.6	60.2	89	56.2	68.5										89	57.3	71.9			
Alamance-Burlington Schools	010310	Broadview Middle	Piedmont-Triad	06-08	Y	D	45	D	46	F	35	Exceeded	3.92	52	59.6													1917	25.0	33.6	52	59.6	80.8																270	14.8	20.0	282	24.1	27.3	254	15.7	23.2										271	21.0	33.9	282	25.9	33.7	253	23.3	35.2				253	44.3	54.2
Alamance-Burlington Schools	010311	Career Technical Education Center	Piedmont-Triad	09-12		I										N																																																																	
Alamance-Burlington Schools	010312	Highland Elementary	Piedmont-Triad	0K-05		B	74	B	75	B	71	Exceeded	2.55	29	100.0													708	62.1	70.8										120	59.2	70.8	93	65.6	67.7	94	61.7	64.9										120	60.8	75.0	93	68.8	78.5	94	55.3	63.8										94	64.9	73.4			
Alamance-Burlington Schools	010320	E M Yoder Elementary	Piedmont-Triad	PK-05		B	73	B	72	B	73	Exceeded	4.94	21	100.0													348	55.2	68.1										49	51.0	65.3	38	42.1	52.6	58	74.1	79.3										49	49.0	71.4	38	63.2	73.7	58	48.3	63.8										58	55.2	67.2			
Alamance-Burlington Schools	010324	Eastern Alamance High	Piedmont-Triad	09-12		C	66					Met	-1.38	76	72.4	N		265	57.4	74	82.4	246	85.0	291	84.9	282	83.0	1058	44.2	53.8	358	44.1	54.2	362	46.7	53.6	338	41.7	53.6																																										
