2015-16 State, District, and School Level Summary Data																																																																																	
Percentages greater than 95 are displayed as >95 and percentages less than 5 are displayed as <5.																																																																																	
* or (Insufficient) or a blank cell indicates a school does not have tested grades/sufficient data for reporting.																																																																																	
College/Career Ready (CCR) - Level 4 & 5 /Grade Level Proficient (GLP) - Level 3 & Above																																																																																	
																																																																																	
Note: Filter applied to all column headers.  For sorting or filtering, click on the down arrow.																																																																																	
District Name	School Code	School Name	SBE District	Grade Span	Title I School	SPG Grade	SPG Score	Reading SPG Grade	Reading SPG Score	Math SPG Grade	Math SPG Score	EVAAS Growth Status	EVAAS Growth Index	Participation Denominator	Percent Participation	Graduation Project	Summer Program	ACT Denominator	ACT Percent	ACT WorkKeys Denominator	ACT WorkKeys Percent	Passing      Math III Denominator	Passing Math III Percent	4-Year Cohort Graduation Rate Denominator	4-Year Cohort Graduation Rate Percent	5-Year Cohort Graduation Rate Denominator	5-Year Cohort Graduation Rate Percent	Performance Composite Denominator	Performance Composite Percent College/Career Ready	Performance Composite Percent Grade Level Proficient	Math I Denominator	Math I Percent College/Career Ready	Math I Percent Grade Level Proficient	Biology Denominator	Biology Percent College/Career Ready	Biology Percent Grade Level Proficient	English II Denominator	English II Percent College/Career Ready	English II Percent Grade Level Proficient	Grade 3 Math Denominator	Grade 3 Math Percent College/Career Ready	Grade 3 Math Percent Grade Level Proficient	Grade 4 Math Denominator	Grade 4 Math Percent College/Career Ready	Grade 4 Math Percent Grade Level Proficient	Grade 5 Math Denominator	Grade 5 Math Percent College/Career Ready	Grade 5 Math Percent Grade Level Proficient	Grade 6 Math Denominator	Grade 6 Math Percent College/Career Ready	Grade 6 Math Percent Grade Level Proficient	Grade 7 Math Denominator	Grade 7 Math Percent College/Career Ready	Grade 7 Math Percent Grade Level Proficient	Grade 8 Math Denominator	Grade 8 Math Percent College/Career Ready	Grade 8 Math Percent Grade Level Proficient	Grade 3 Reading Denominator	Grade 3 Reading Percent College/Career Ready	Grade 3 Reading Percent Grade Level Proficient	Grade 4 Reading Denominator	Grade 4 Reading Percent College/Career Ready	Grade 4 Reading Percent Grade Level Proficient	Grade 5 Reading Denominator	Grade 5 Reading Percent College/Career Ready	Grade 5 Reading Percent Grade Level Proficient	Grade 6 Reading Denominator	Grade 6 Reading Percent College/Career Ready	Grade 6 Reading Percent Grade Level Proficient	Grade 7 Reading Denominator	Grade 7 Reading Percent College/Career Ready	Grade 7 Reading Percent Grade Level Proficient	Grade 8 Reading Denominator	Grade 8 Reading Percent College/Career Ready	Grade 8 Reading Percent Grade Level Proficient	Grade 5 Science Denominator	Grade 5 Science Percent College/Career Ready	Grade 5 Science Percent Grade Level Proficient	Grade 8 Science Denominator	Grade 8 Science Percent College/Career Ready	Grade 8 Science Percent Grade Level Proficient
State of North Carolina	NC	State of North Carolina												99	94.9			98844	59.9	35173	73.5	99093	>95	113740	85.8	110431	87.5	2015363	48.8	58.3	156275	49.8	60.5	117416	47.3	55.5	119801	49.6	58.8	121301	51.7	64.6	118021	51.1	57.2	115532	54.0	60.4	107826	44.3	52.0	116202	42.0	48.9	116256	38.5	44.7	121270	47.8	57.8	118006	45.8	58.0	115536	43.1	55.4	107816	49.6	58.7	116210	47.1	58.5	116243	41.5	53.4	115476	61.8	71.6	116176	64.5	73.9
Alamance-Burlington Schools	010	Alamance-Burlington Schools	Piedmont Triad Region											87	92.0			1520	51.3	566	69.1	1478	92.7	1812	81.0	1739	84.7	30166	42.5	51.8	2358	47.9	59.1	1953	39.0	47.8	1921	39.4	48.8	1796	43.1	56.5	1699	41.1	46.3	1688	49.5	55.4	1569	38.0	44.7	1725	36.4	42.0	1768	37.0	43.0	1795	43.3	52.9	1699	41.4	53.1	1688	36.6	49.6	1569	43.8	52.6	1725	38.7	49.5	1767	36.3	47.8	1687	52.5	62.1	1759	56.4	66.7
Alamance-Burlington Schools	010303	Alamance-Burlington Middle College	Piedmont Triad Region	09-12	Y	A	85					Met	-1.38	4	100.0	N		29	82.8	<10	*	43	>95	43	>95	43	>95	118	70.3	81.4	39	64.1	71.8	40	72.5	85.0	39	74.4	87.2																																										
Alamance-Burlington Schools	010304	Alexander Wilson Elementary	Piedmont Triad Region	PK-05	Y	C	66	C	61	C	69	Exceeded	4.21	14	100.0													646	49.4	59.6										85	36.5	52.9	97	62.9	67.0	94	61.7	67.0										85	48.2	60.0	97	44.3	56.7	94	36.2	51.1										94	54.3	61.7			
Alamance-Burlington Schools	010308	Altamahaw Ossipee Elem	Piedmont Triad Region	0K-05	Y	B	71	C	68	C	69	Met	0.68	13	100.0													702	57.7	67.7										105	51.4	66.7	81	56.8	59.3	110	70.0	73.6										105	56.2	70.5	81	46.9	60.5	110	50.0	60.9										110	69.1	78.2			
Alamance-Burlington Schools	010310	Broadview Middle	Piedmont Triad Region	06-08	Y	D	42	D	41	F	35	Met	0.03	27	92.6													1874	24.5	31.9	53	84.9	>95																244	14.3	17.6	264	11.7	16.3	270	27.4	34.1										244	24.6	31.1	264	21.2	29.5	271	25.1	32.8				264	34.5	47.7
Alamance-Burlington Schools	010311	Career Technical Education Center	Piedmont Triad Region	09-12	Y	I										N																																																																	
Alamance-Burlington Schools	010312	Highland Elementary	Piedmont Triad Region	0K-05	Y	B	72	C	68	B	73	Met	-0.21	16	100.0													776	60.6	69.8										121	52.1	65.3	120	64.2	68.3	98	69.4	75.5										121	57.0	66.1	120	55.8	68.3	98	61.2	71.4										98	67.3	76.5			
Alamance-Burlington Schools	010320	E M Yoder Elementary	Piedmont Triad Region	PK-05	Y	B	73	C	67	B	74	Exceeded	2.68	7	100.0													302	59.3	69.9										43	60.5	69.8	54	61.1	61.1	36	77.8	83.3										43	53.5	60.5	54	46.3	66.7	36	41.7	69.4										36	80.6	86.1			
Alamance-Burlington Schools	010324	Eastern Alamance High	Piedmont Triad Region	09-12	Y	C	69					Met	-0.06	38	84.2	N		282	56.7	65	90.8	273	90.5	321	82.6	291	87.6	976	46.1	55.1	329	50.5	62.3	314	48.1	55.4	333	39.9	47.7																																										
