2016-17 State, District, and School Level Summary Data																																																																																	
Percentages greater than 95 are displayed as >95 and percentages less than 5 are displayed as <5.																																																																																	
An * or (Insufficient) or a blank cell indicates a school does not have tested grades/sufficient data for reporting.																																																																																	
College/Career Ready (CCR) - Level 4 & 5 /Grade Level Proficient (GLP) - Level 3 & Above																																																																																	
																																																																																	
Note: Filter applied to all column headers.  For sorting or filtering, click on the down arrow.																																																																																	
District Name	School Code	School Name	State Board District	Grade Span	Title I School	School Performance Grade (SPG)	SPG Score	Reading SPG	Reading SPG Score	Math SPG	Math SPG Score	EVAAS Growth Status	EVAAS Growth Index	Number of Participation Targets	Percent Participation Targets Met	Graduation Project	Summer Program	ACT Denominator	ACT Percent	ACT WorkKeys Denominator	ACT WOrkKeys Percent	Passing NC Math 3 Denominator	Passing NC Math 3 Percent	4-Year Cohort Graduation Rate Denominator	4-Year Cohort Graduation Rate Percent	5-Year Cohort Graduation Rate Denominator	5-Year Cohort Graduation Rate Percent	Performance Composite Denominator	Performance Composite Percent College/Career Ready	Performance Composite Percent Grade Level Proficient	NC Math 1 Denominator	NC Math 1 Percent College/Career Ready	NC Math 1 Percent Grade Level Proficient	Biology Denominator	Biology Percent College/Career Ready	Biology Percent Grade Level Proficient	English II Denominator	English II Percent College/Career Ready	English II Percent Grade Level Proficient	Grade 3 Math Denominator	Grade 3 Math Percent College/Career Ready	Grade 3 Math Percent Grade Level Proficient	Grade 4 Math Denominator	Grade 4 Math Percent College/Career Ready	Grade 4 Math Percent Grade Level Proficient	Grade 5 Math Denominator	Grade 5 Math Percent College/Career Ready	Grade 5 Math Percent Grade Level Proficient	Grade 6 Math Denominator	Grade 6 Math Percent College/Career Ready	Grade 6 Math Percent Grade Level Proficient	Grade 7 Math Denominator	Grade 7 Math Percent College/Career Ready	Grade 7 Math Percent Grade Level Proficient	Grade 8 Math Denominator	Grade 8 Math Percent College/Career Ready	Grade 8 Math Percent Grade Level Proficient	Grade 3 Reading Denominator	Grade 3 Reading Percent College/Career Ready	Grade 3 Reading Percent Grade Level Proficient	Grade 4 Reading Denominator	Grade 4 Reading Percent College/Career Ready	Grade 4 Reading Percent Grade Level Proficient	Grade 5 Reading Denominator	Grade 5 Reading Percent College/Career Ready	Grade 5 Reading Percent Grade Level Proficient	Grade 6 Reading Denominator	Grade 6 Reading Percent College/Career Ready	Grade 6 Reading Percent Grade Level Proficient	Grade 7 Reading Denominator	Grade 7 Reading Percent College/Career Ready	Grade 7 Reading Percent Grade Level Proficient	Grade 8 Reading Denominator	Grade 8 Reading Percent College/Career Ready	Grade 8 Reading Percent Grade Level Proficient	Grade 5 Science Denominator	Grade 5 Science Percent College/Career Ready	Grade 5 Science Percent Grade Level Proficient	Grade 8 Science Denominator	Grade 8 Science Percent College/Career Ready	Grade 8 Science Percent Grade Level Proficient
State of North Carolina	NC	State of North Carolina												99	92.9			101928	58.8	35984	73.3	101212	>95	115791	86.5	113726	87.5	2026381	49.2	59.2	151875	54.1	64.3	114460	47.5	56.1	120084	50.1	60.7	121847	52.1	63.6	121749	50.9	58.6	118643	53.9	60.3	115338	45.3	53.1	108390	43.0	49.8	116512	39.6	45.8	121818	46.1	57.8	121745	43.7	57.7	118642	42.5	56.7	115331	50.4	61.0	108380	48.9	58.2	116503	41.7	53.7	118629	59.1	70.1	116435	66.2	75.5
Alamance-Burlington Schools	010	Alamance-Burlington Schools	Piedmont Triad											85	94.1			1594	49.5	659	69.8	1536	92.6	1847	82.3	1813	83.0	30143	43.1	52.5	2275	50.6	60.9	1897	45.9	55.0	1826	44.5	56.2	1889	47.0	57.2	1807	40.7	47.8	1708	45.7	51.6	1646	40.6	49.1	1583	37.7	43.5	1727	38.3	43.0	1889	42.8	53.4	1808	35.2	47.3	1707	34.2	47.2	1646	43.2	52.8	1582	41.1	48.9	1726	36.5	46.8	1708	48.1	58.6	1719	57.8	68.4
Alamance-Burlington Schools	010303	Alamance-Burlington Middle/Early College	Piedmont Triad	09-13		A	93					Met	0.29	7	100.0	N		19	84.2	<10	*	34	>95	43	>95	43	>95	188	86.7	>95	63	>95	>95	63	84.1	90.5	62	80.6	>95																																										
Alamance-Burlington Schools	010304	Alexander Wilson Elementary	Piedmont Triad	PK-05		C	68	C	63	B	72	Exceeded	3.27	15	100.0													703	53.2	62.9										113	47.8	59.3	87	63.2	73.6	101	65.3	69.3										113	52.2	57.5	87	51.7	59.8	101	39.6	56.4										101	54.5	66.3			
Alamance-Burlington Schools	010308	Altamahaw Ossipee Elem	Piedmont Triad	0K-05		C	63	C	55	C	68	Exceeded	2.67	17	100.0													732	46.4	57.5										98	46.9	56.1	124	50.8	58.9	96	60.4	68.8										98	38.8	45.9	124	33.1	48.4	96	38.5	58.3										96	59.4	68.8			
Alamance-Burlington Schools	010310	Broadview Middle	Piedmont Triad	06-08	Y	F	39	F	38	F	34	Met	-0.45	22	95.5													1719	22.4	29.8	26	88.5	88.5																248	16.1	23.8	231	14.7	17.7	247	17.4	22.7										248	22.6	32.7	230	23.0	28.7	245	19.2	26.1				244	36.5	50.4
Alamance-Burlington Schools	010311	Career Technical Education Center	Piedmont Triad	09-12		I										N																																																																	
Alamance-Burlington Schools	010312	Highland Elementary	Piedmont Triad	0K-05		C	63	C	61	C	65	NotMet	-5.55	17	100.0													836	53.1	64.1										113	60.2	69.0	128	49.2	53.1	118	60.2	65.3										113	60.2	76.1	128	39.1	56.3	118	42.4	57.6										118	62.7	73.7			
Alamance-Burlington Schools	010320	E M Yoder Elementary	Piedmont Triad	PK-05		B	72	B	72	B	71	Met	0.7	10	100.0													373	59.0	69.2										53	71.7	83.0	48	52.1	60.4	57	57.9	63.2										53	71.7	81.1	48	54.2	68.8	57	45.6	57.9										57	59.6	70.2			
Alamance-Burlington Schools	010324	Eastern Alamance High	Piedmont Triad	09-12		B	74					Exceeded	4.03	37	81.1	N		280	58.9	81	79.0	276	85.9	314	84.1	321	86.9	988	51.0	63.0	332	53.0	63.9	352	52.6	61.4	304	47.0	63.8																																										
Alamance-Burlington Schools	010326	Eastlawn Elementary	Piedmont Triad	PK-05	Y	D	47	D	43	D	52	Met	-0.57	16	100.0													607	29.5	39.7										107	45.8	57.0	87	32.2	42.5	73	26.0	32.9										107	30.8	41.1	87	18.4	25.3	73	20.5	31.5										73	26.0	41.1			
