"CountyCode","CountyName","LEA","OfficialSchoolName"
"032","Durham","00A","North Carolina Connections Academy"
"032","Durham","00B","NC Virtual Academy"
"001","Alamance","01B","River Mill Academy"
"001","Alamance","01C","Clover Garden"
"001","Alamance","01D","The Hawbridge School"
"006","Avery","06A","Grandfather Academy"
"006","Avery","06B","Marjorie Williams Academy"
"007","Beaufort","07A","Washington Montessori Public Charter School"
"008","Bertie","08A","Heritage Collegiate Leadership Academy"
"009","Bladen","09A","Paul R Brown Leadership Academy"
"010","Brunswick","10A","Charter Day School"
"010","Brunswick","10B","South Brunswick Charter School"
"011","Buncombe","11A","Evergreen Community Charter"
"011","Buncombe","11B","ArtSpace Charter School"
"011","Buncombe","11C","Invest Collegiate (Buncombe)"
"011","Buncombe","11D","The Franklin School of Innovation"
"011","Buncombe","11K","Francine Delany New School for Children"
"012","Burke","12A","The New Dimensions School"
"013","Cabarrus","13A","Carolina International School"
"013","Cabarrus","13B","Cabarrus Charter Academy"
"013","Cabarrus","13C","A.C.E. Academy"
"013","Cabarrus","13D","Kannapolis Charter Academy"
"016","Carteret","16B","Tiller School"
"019","Chatham","19A","Chatham Charter"
"019","Chatham","19B","Woods Charter"
"019","Chatham","19C","Willow Oak Montessori"
"020","Cherokee","20A","The Learning Center"
"023","Cleveland","23A","Pinnacle Classical Academy"
"024","Columbus","24B","Thomas Academy"
"024","Columbus","24N","Columbus Charter School"
"026","Cumberland","26B","Alpha Academy"
"026","Cumberland","26C","The Capitol Encore Academy"
"027","Currituck","27A","Water's Edge Village School"
"032","Durham","32A","Maureen Joy Charter School"
"032","Durham","32B","Healthy Start Academy"
"032","Durham","32C","Carter Community Charter School, Inc."
"032","Durham","32D","Kestrel Heights School"
"032","Durham","32H","Research Triangle Charter Academy"
"032","Durham","32K","Central Park School for Children"
"032","Durham","32L","Voyager Academy"
"032","Durham","32M","Global Scholars Academy"
"032","Durham","32N","Research Triangle High School"
"032","Durham","32P","The Institute for the Development of Young Leaders"
"032","Durham","32Q","Reaching All Minds Academy"
"032","Durham","32R","Excelsior Classical Academy CFA"
"032","Durham","32S","KIPP Durham College Preparatory"
"033","Edgecombe","33A","North East Carolina Preparatory"
"034","Forsyth","34B","Quality Education Academy"
"034","Forsyth","34D","Carter G Woodson School"
"034","Forsyth","34F","Forsyth Academy"
"034","Forsyth","34G","The Arts Based School"
"034","Forsyth","34H","NC Leadership Charter Academy"
"035","Franklin","35A","Crosscreek Charter School"
"035","Franklin","35B","Youngsville Academy"
"036","Gaston","36B","Piedmont Community Charter School"
"036","Gaston","36C","Mountain Island Charter School "
"039","Granville","39A","Falls Lake Academy"
"039","Granville","39B","Oxford Preparatory School"
"041","Guilford","41B","Greensboro Academy"
"041","Guilford","41C","Guilford Preparatory Academy"
"041","Guilford","41D","Phoenix Academy Inc"
"041","Guilford","41F","Triad Math and Science Academy"
"041","Guilford","41G","Cornerstone Charter Academy: A Challenge Foundation Academy"
"041","Guilford","41H","The College Preparatory and Leadership Academy of High Point"
"041","Guilford","41J","Summerfield Charter Academy"
"041","Guilford","41K","Piedmont Classical High School"
"041","Guilford","41L","Gate City Charter Academy"
"042","Halifax","42A","KIPP Halifax College Preparatory"
"043","Harnett","43C","Anderson Creek Academy"
"044","Haywood","44A","Shining Rock Classical Academy: CFA"
"045","Henderson","45A","The Mountain Community Sch"
"045","Henderson","45B","FernLeaf Community Charter School"
"049","Iredell","49B","American Renaissance School"
"049","Iredell","49D","Success Charter School"
"049","Iredell","49E","Pine Lake Preparatory, Inc."
"049","Iredell","49F","Langtree Charter Academy"
"049","Iredell","49G","Iredell Charter Academy"
"050","Jackson","50A","Summit Charter School"
"051","Johnston","51A","Neuse Charter School"
"054","Lenoir","54A","The Children's Village Academy"
"055","Lincoln","55A","Lincoln Charter School"
"058","Martin","58B","Bear Grass Charter School"
"060","Mecklenburg","60A","Community Charter School"
"060","Mecklenburg","60B","Sugar Creek Charter"
"060","Mecklenburg","60D","Lake Norman Charter"
"060","Mecklenburg","60F","Metrolina Regional Scholars Academy"
"060","Mecklenburg","60G","Queen's Grant Community School"
"060","Mecklenburg","60I","Community School of Davidson"
"060","Mecklenburg","60J","Socrates Academy"
"060","Mecklenburg","60K","Charlotte Secondary School"
"060","Mecklenburg","60L","KIPP Charlotte"
"060","Mecklenburg","60M","Corvian Community School"
"060","Mecklenburg","60N","Aristotle Preparatory Academy: A Challenge Foundation Academ"
"060","Mecklenburg","60P","Charlotte Choice Charter"
"060","Mecklenburg","60Q","Invest Collegiate Transform"
"060","Mecklenburg","60S","Bradford Preparatory School"
"060","Mecklenburg","60U","Commonwealth High School"
"060","Mecklenburg","60V","Charlotte Learning Academy"
"060","Mecklenburg","60Y","Pioneer Springs Community School"
"060","Mecklenburg","61J","Thunderbird Preparatory School"
"060","Mecklenburg","61K","United Community School"
"060","Mecklenburg","61L","Stewart Creek High School"
"060","Mecklenburg","61M","Charlotte Lab School"
"060","Mecklenburg","61N","Queen City STEM School"
"060","Mecklenburg","61P","VERITAS Community School: A Challenge Foundation Academy"
"060","Mecklenburg","61Q","Mallard Creek STEM Academy"
"060","Mecklenburg","61R","Matthews Charter Academy"
"063","Moore","63A","The Academy of Moore County"
"063","Moore","63B","Sandhills Theatre Arts Renaissance School"
"064","Nash","64A","Rocky Mount Preparatory School, Inc."
"065","New Hanover","65A","Cape Fear Center for Inquiry"
"065","New Hanover","65B","Wilmington Preparatory Academy"
"065","New Hanover","65C","Douglass Academy"
"065","New Hanover","65D","Island Montessori Charter School"
"065","New Hanover","65G","Girls Leadership Academy of Wilmington"
"066","Northampton","66A","Gaston College Preparatory"
"067","Onslow","67B","Z.E.C.A. School of Arts and Technology"
"068","Orange","68A","Eno River Academy"
"068","Orange","68C","The Expedition School"
"069","Pamlico","69A","Arapahoe Charter School"
"070","Pasquotank","70A","Northeast Academy of Aerospace & Advanced Technologies"
"073","Person","73A","Bethel Hill Charter"
"073","Person","73B","Roxboro Community School, Inc."
"074","Pitt","74B","Ignite Innovation Academy - Pitt"
"074","Pitt","74C","Winterville Charter Academy"
"076","Randolph","76A","Uwharrie Charter Academy"
"078","Robeson","78A","CIS Academy"
"078","Robeson","78B","Southeastern Academy"
"079","Rockingham","79A","Bethany Community Middle School"
"081","Rutherford","81A","Thomas Jefferson Classical ACademy: A Challenge Foundation A"
"081","Rutherford","81B","Lake Lure Classical Academy"
"084","Stanly","84B","Gray Stone Day School"
"086","Surry","86T","Millennium Charter Academy"
"087","Swain","87A","Mountain Discovery Charter School"
"088","Transylvania","88A","Brevard Academy: A Challenge Foundation Academy"
"090","Union","90A","Union Academy Charter School"
"090","Union","90B","Union Day School"
"090","Union","90C","Union Preparatory Academy at Indian Trail"
"091","Vance","91A","Vance Charter School"
"091","Vance","91B","Henderson Collegiate"
"092","Wake","92B","The Exploris School"
