LEA,LEAname,SchoolCode,SchoolName,OfficialSchoolName,GradeLevelCurrent,SchoolType,SchoolProgramType,SchoolYear
10,Alamance-Burlington Schools,10303,ABSS Early College at ACC,ABSS Early College at ACC,09:10:11:12:13,Regular School,Cooperative Innovative High School,2018-19
10,Alamance-Burlington Schools,10304,Alexander Wilson Elementary,Alexander Wilson Elementary,PK:KG:01:02:03:04:05,Regular School,None,2018-19
10,Alamance-Burlington Schools,10308,Altamahaw-Ossipee Elementary,Altamahaw-Ossipee Elementary,KG:01:02:03:04:05,Regular School,None,2018-19
10,Alamance-Burlington Schools,10310,Broadview Middle,Broadview Middle,06:07:08,Regular School,None,2018-19
10,Alamance-Burlington Schools,10311,Career and Technical Education Center,Career and Technical Education Center,09:10:11:12,Vocational Education,None,2018-19
10,Alamance-Burlington Schools,10312,Highland Elementary,Highland Elementary,KG:01:02:03:04:05,Regular School,None,2018-19
10,Alamance-Burlington Schools,10320,E M Yoder Elementary,E M Yoder Elementary,PK:KG:01:02:03:04:05,Regular School,None,2018-19
10,Alamance-Burlington Schools,10324,Eastern Alamance High,Eastern Alamance High,09:10:11:12,Regular School,None,2018-19
10,Alamance-Burlington Schools,10326,Eastlawn Elementary,Eastlawn Elementary,P3:PK:KG:01:02:03:04:05,Regular School,None,2018-19
10,Alamance-Burlington Schools,10328,Edwin M Holt Elementary,Edwin M Holt Elementary,KG:01:02:03:04:05,Regular School,None,2018-19
10,Alamance-Burlington Schools,10340,Elon Elementary,Elon Elementary,KG:01:02:03:04:05,Regular School,None,2018-19
10,Alamance-Burlington Schools,10346,B. Everett Jordan Elementary,B. Everett Jordan Elementary,KG:01:02:03:04:05,Regular School,None,2018-19
10,Alamance-Burlington Schools,10347,Audrey W. Garrett Elementary,Audrey W.Garrett Elementary,P3:PK:KG:01:02:03:04:05,Regular School,None,2018-19
10,Alamance-Burlington Schools,10348,Graham High,Graham High,09:10:11:12,Regular School,None,2018-19
10,Alamance-Burlington Schools,10350,Graham Middle,Graham Middle,06:07:08,Regular School,None,2018-19
10,Alamance-Burlington Schools,10351,Grove Park Elementary,Grove Park Elementary,PK:KG:01:02:03:04:05,Regular School,None,2018-19
