"countyname","overall","teenbirth_all_perK","phys_perXK","chldfate_perXK","chldinsec_pct","chldobes_pct","jdelinq_perK","suspens_perK","jdetent_perK","chlddss_perK","chldabuse_perK","grad_pct","grade3_rd_pct","math1_pct","ACT","AMOtarget_pct","inc50all","poverty517_all_pct","unemp_all_pct","baplus_all_pct","singmom_all_pct","average"
UNION,1,7,65,14,2,8,23,56,25,6,14,3,4,3,5,1,2,4,7,10,2,13.05
ORANGE,2,2,1,29,3,47,13,12,6,38,51,15,8,5,1,22,8,1,1,1,7,13.55
WAKE,3,5,13,28,1,44,16,27,36,22,19,55,7,8,3,46,3,3,4,2,18,18
CABARRUS,4,22,16,44,8,13,14,36,7,13,13,28,27,33,18,24,9,5,15,19,10,18.7
CAMDEN,5,4,99,1,4,80,6,10,1,10,36,71,1,10,8,4,1,2,29,39,5,21.05
HENDERSON,6,47,15,33,12,8,18,25,44,60,60,12,13,18,11,3,17,20,4,18,8,22.3
WATAUGA,7,1,11,15,51,64,34,2,18,68,56,28,3,6,3,4,66,9,7,5,17,23.4
LINCOLN,8,27,53,10,33,2,45,41,38,47,37,23,9,16,21,12,11,17,22,37,12,25.65
MOORE,9,35,7,20,31,50,51,46,8,20,23,21,10,42,11,52,13,29,22,12,27,26.5
DAVIE,10,16,64,36,18,33,30,6,35,72,78,26,12,11,14,10,12,18,17,20,11,26.95
DARE,11,15,32,16,23,72,47,8,29,63,55,2,27,4,8,7,7,7,84,14,53,28.65
BUNCOMBE,12,19,5,64,25,37,28,55,41,57,62,49,14,15,16,36,36,12,2,8,33,30.7
POLK,13,8,43,1,59,97,50,13,1,89,74,55,6,2,14,2,32,33,9,13,40,32.05
NEW_HANOVER,14,10,6,27,20,16,41,61,62,80,79,64,16,16,7,14,19,25,18,6,57,32.2
IREDELL,15,28,21,55,13,53,58,42,37,52,81,13,15,19,16,54,10,7,31,22,28,32.75
CARTERET,16,24,40,73,36,76,19,44,43,55,53,23,2,1,2,6,27,30,29,23,66,33.6
JOHNSTON,17,46,71,41,16,86,5,52,11,8,28,39,43,35,36,48,15,19,11,36,29,33.75
CHATHAM,18,21,81,35,5,80,75,48,9,65,47,59,32,7,29,53,5,15,3,7,13,34.45
MECKLENBURG,19,34,8,49,8,76,81,70,72,28,24,40,32,27,28,39,6,16,22,4,48,35.6
TRANSYLVANIA,20,12,33,51,72,41,38,11,23,71,75,73,5,21,24,15,39,56,18,16,30,36.2
FORSYTH,21,40,3,65,19,31,66,69,60,9,4,50,54,44,18,61,31,47,22,11,63,38.35
GUILFORD,22,18,12,63,13,41,74,26,80,29,12,17,60,39,24,73,28,34,45,9,76,38.65
FRANKLIN,23,29,85,24,10,47,2,51,27,33,40,45,57,59,43,68,26,23,34,51,20,38.7
CATAWBA,24,53,10,37,38,59,42,34,58,59,57,11,48,29,29,51,33,25,39,29,34,38.75
SURRY,25,47,39,42,68,68,70,20,16,50,43,25,22,12,21,13,70,35,31,62,26,39
STANLY,26,49,44,19,28,25,10,74,45,17,67,66,24,26,52,71,34,20,22,64,42,39.95
CLAY,27,14,86,45,96,7,64,4,1,88,82,10,19,43,6,11,61,65,45,34,24,40.25
ONSLOW,28,100,62,75,22,6,61,33,83,44,41,14,18,50,39,28,30,11,22,46,22,40.35
CRAVEN,29,86,14,40,42,15,67,73,40,21,15,38,41,55,43,35,21,38,58,27,49,40.9
CURRITUCK,30,36,91,1,6,84,97,38,67,56,87,36,24,52,11,48,4,6,31,40,6,41.05
HAYWOOD,31,51,29,52,71,33,17,23,54,91,95,48,11,24,18,33,46,41,11,24,54,41.3
GATES,32,26,97,32,42,91,3,39,13,2,3,55,68,49,69,20,20,31,22,86,59,41.35
YANCEY,33,69,68,16,94,3,9,18,47,94,86,5,44,9,43,8,59,65,55,43,4,41.95
JACKSON,34,5,23,54,68,22,32,29,17,54,92,22,59,54,39,30,77,50,45,15,71,42.9
PENDER,34,25,90,59,48,61,68,54,38,48,27,18,32,40,36,41,22,13,60,27,51,42.9
BURKE,36,43,17,25,77,41,40,32,33,62,90,9,31,32,29,27,57,64,34,55,61,42.95
AVERY,37,3,60,68,59,5,85,1,78,82,73,1,39,41,21,16,78,70,45,34,3,43.1
STOKES,38,9,80,95,29,55,56,28,28,78,70,36,58,22,52,23,23,13,18,76,23,43.6
ALEXANDER,39,23,88,9,64,18,73,21,90,83,85,43,23,25,33,29,47,24,11,80,15,44.2
DAVIDSON,39,39,73,18,39,28,84,43,62,40,49,50,62,33,49,24,41,27,34,52,37,44.2
CALDWELL,41,59,59,30,74,21,37,24,26,97,88,8,37,27,33,17,63,49,65,77,35,46.3
DURHAM,42,55,2,57,6,75,76,66,70,15,20,63,84,73,65,93,14,22,6,3,74,46.95
MADISON,43,11,78,1,36,68,69,3,20,96,89,70,35,65,52,59,56,61,18,32,25,47.2
PERQUIMANS,44,31,95,26,62,76,21,49,61,3,9,5,65,82,39,36,50,59,73,59,44,47.25
YADKIN,45,41,84,85,51,33,62,17,48,70,31,33,41,75,52,36,42,42,10,80,14,47.35
CHEROKEE,46,37,46,82,77,76,4,22,15,99,100,7,53,35,8,26,73,75,61,46,9,47.55
GRANVILLE,47,38,19,66,11,66,44,16,89,23,30,77,86,91,67,90,18,10,11,54,55,48.05
RANDOLPH,48,62,65,74,51,66,29,14,41,43,16,31,70,47,62,64,48,37,39,71,52,49.1
ALAMANCE,49,31,27,67,33,83,63,40,68,26,18,77,66,48,69,98,44,31,15,30,72,50.3
MACON,49,45,20,79,89,96,87,30,46,61,22,19,37,23,29,60,64,76,51,26,46,50.3
JONES,51,17,31,38,29,55,94,37,84,64,29,53,78,13,39,19,52,87,45,75,75,50.7
GASTON,52,57,24,71,42,33,35,63,94,53,44,50,75,44,49,67,38,27,51,45,55,50.85
BRUNSWICK,53,42,56,58,56,47,93,47,57,67,50,60,30,46,36,58,29,63,73,21,32,51.05
MITCHELL,54,65,37,1,83,10,65,5,100,100,98,80,46,14,24,21,74,52,72,62,39,52.4
HARNETT,55,44,75,77,23,25,71,50,30,32,39,75,79,79,62,70,40,45,67,41,31,52.75
ASHE,56,61,58,89,87,29,24,31,71,84,91,33,21,57,35,9,89,69,58,44,19,52.95
ROWAN,57,52,47,56,41,22,46,65,10,42,31,69,72,77,67,96,49,53,56,57,62,53.5
PITT,58,13,4,86,17,55,95,92,91,37,35,58,69,63,52,78,55,42,39,17,84,54.1
GRAHAM,59,76,77,1,94,100,27,7,1,90,93,62,45,20,43,31,82,74,100,60,1,54.2
PASQUOTANK,60,33,9,23,33,70,92,90,92,11,37,43,55,89,82,79,45,47,82,41,47,55
CLEVELAND,61,63,30,80,62,11,79,75,52,86,72,41,17,31,52,43,58,67,65,61,69,55.7
PAMLICO,62,72,79,100,56,13,53,81,82,75,52,31,62,50,52,33,16,72,51,37,50,55.85
ALLEGHANY,63,64,69,1,74,91,100,35,96,92,69,4,26,37,24,44,94,77,56,55,16,56.2
SWAIN,64,93,26,96,100,18,1,9,1,98,99,46,50,80,52,32,72,56,89,65,43,56.3
CUMBERLAND,65,89,28,89,20,1,78,72,95,87,58,66,47,60,69,40,25,35,77,25,79,57
WAYNE,66,81,41,50,42,29,36,88,50,18,25,74,80,72,80,88,51,83,39,57,81,58.25
LEE,67,91,36,83,48,44,88,67,79,31,45,27,62,70,74,77,37,46,83,33,45,58.3
WILKES,68,54,55,60,90,93,33,19,76,95,77,16,67,38,43,66,76,62,51,82,21,58.7
MCDOWELL,69,58,61,22,92,73,90,15,74,85,84,91,40,30,52,55,81,44,39,73,38,59.85
HYDE,70,30,96,89,70,37,49,79,73,1,6,61,52,68,69,18,71,53,89,91,98,60
RUTHERFORD,70,59,49,68,93,44,26,45,21,73,96,82,20,70,49,76,69,71,86,62,41,60
NASH,72,71,25,45,26,73,52,87,65,16,46,87,85,83,81,84,35,38,79,46,77,60.05
HOKE,73,82,93,13,27,86,82,64,51,14,10,99,88,84,82,74,24,51,79,46,60,60.45
WILSON,74,85,42,34,80,55,25,80,55,24,26,85,72,64,62,57,62,97,94,46,80,61.25
BEAUFORT,75,84,50,42,59,53,83,71,62,66,64,72,55,52,52,64,54,56,67,53,73,61.6
MARTIN,76,66,67,31,64,94,12,96,24,79,11,87,91,61,43,47,79,73,75,82,68,62.5
PERSON,77,73,57,39,13,50,89,77,97,69,66,93,29,88,77,50,43,38,71,72,64,62.75
MONTGOMERY,78,94,89,81,76,61,54,53,19,41,61,35,81,58,77,74,84,68,45,69,36,62.8
CASWELL,79,19,94,11,66,40,48,93,56,30,33,90,61,91,94,82,65,59,61,94,70,62.85
GREENE,80,67,82,62,51,64,11,83,34,77,17,30,99,93,85,86,53,94,34,98,58,63.9
ROCKINGHAM,81,56,51,72,42,37,60,59,22,76,83,96,76,66,69,99,60,53,70,78,64,64.45
CHOWAN,82,87,18,21,96,82,96,60,88,51,21,80,51,67,75,63,67,86,75,31,85,65
WASHINGTON,83,67,76,1,48,89,8,58,12,36,7,54,92,95,97,94,88,99,95,99,92,65.35
LENOIR,84,79,35,48,66,11,39,91,31,35,71,89,83,90,82,88,68,82,61,73,90,65.6
SAMPSON,85,90,63,84,31,97,20,62,98,81,42,64,49,55,75,41,75,88,34,88,78,65.75
SCOTLAND,86,99,22,12,99,18,91,89,32,25,80,83,36,62,85,45,98,98,99,68,99,67
HERTFORD,87,69,38,93,40,60,7,94,69,5,2,93,97,99,95,100,93,80,67,70,91,68.1
TYRRELL,88,73,99,99,83,99,55,57,59,4,1,19,71,68,65,56,90,89,96,100,82,68.25
DUPLIN,89,77,83,61,73,88,22,68,66,12,94,84,90,78,77,71,83,91,39,94,67,70.9
RICHMOND,90,98,52,53,82,22,59,85,84,27,34,76,81,76,95,62,92,90,87,78,87,71
BERTIE,91,75,87,76,42,61,43,76,81,34,8,46,94,85,100,69,97,96,77,92,86,71.25
BLADEN,92,50,74,94,83,70,15,84,13,38,48,93,72,95,97,80,100,83,91,90,89,72.95
WARREN,93,80,98,45,51,16,77,99,77,49,54,98,93,86,88,83,86,78,87,62,88,74.75
COLUMBUS,94,78,54,70,79,84,72,82,53,58,63,68,77,74,88,91,91,81,85,84,83,75.75
HALIFAX,95,92,45,78,81,27,99,98,87,19,68,92,96,81,90,81,96,79,96,89,93,79.35
VANCE,96,96,34,98,86,4,31,78,93,74,76,97,89,97,91,95,85,95,91,84,96,79.5
NORTHAMPTON,97,83,92,92,87,52,57,86,86,45,5,100,95,98,87,85,95,92,79,92,100,80.4
ANSON,98,88,72,87,56,90,98,100,99,7,64,77,87,100,99,91,80,85,61,94,95,81.5
EDGECOMBE,99,95,70,88,91,32,86,97,75,46,59,86,100,94,93,97,87,92,98,94,97,83.85
ROBESON,100,97,48,97,98,94,80,95,48,93,97,41,98,87,92,86,99,100,91,87,94,86.
