County,RANK,PVR,CS,CSpADM,SST,TCS,FADM,TCSpADM
Orange,1,1,73135134,3634,22135495,95270629,20123,4734
Dare,2,2,20163320,4091,0,20163320,4929,4091
Durham,3,3,118563483,3075,0,118563483,38551,3075
Chatham,4,4,26818413,2906,0,26818413,9228,2906
Transylvania,5,6,10595738,2864,0,10595738,3699,2864
Watauga,6,5,12062834,2698,0,12062834,4471,2698
New_Hanover,7,7,67879109,2568,0,67879109,26432,2568
Carteret,8,12,21000000,2457,0,21000000,8546,2457
Mecklenburg,9,10,385936594,2448,0,385936594,157636,2448
Currituck,10,11,9353526,2420,0,9353526,3865,2420
Brunswick,11,8,31349382,2373,0,31349382,13212,2373
Guilford,12,9,179360398,2356,0,179360398,76133,2356
Hyde,13,15,1288286,2256,0,1288286,571,2256
Buncombe,14,13,59872901,1957,8136173,68009074,30594,2223
Polk,15,16,4934788,2085,0,4934788,2367,2085
Wake,16,14,322372340,1989,0,322372340,162043,1989
Haywood,17,18,14393249,1972,0,14393249,7298,1972
Union,18,19,83457494,1934,0,83457494,43157,1934
Forsyth,19,17,108020219,1919,0,108020219,56280,1919
Avery,20,21,3973725,1862,0,3973725,2134,1862
Moore,21,20,24446931,1843,0,24446931,13266,1843
Gates,22,27,2945000,1803,0,2945000,1633,1803
Scotland,23,28,10614325,1791,0,10614325,5928,1791
Macon,24,22,7845651,1786,0,7845651,4393,1786
Warren,25,42,4385066,1758,0,4385066,2495,1758
Beaufort,26,25,12669163,1754,0,12669163,7221,1754
Jackson,27,26,6826102,1739,0,6826102,3926,1739
Cherokee,28,30,5832950,1701,0,5832950,3429,1701
Pamlico,29,29,2583812,1679,0,2583812,1539,1679
Alleghany,30,24,2308274,1663,0,2308274,1388,1663
Cabarrus,31,31,62112349,1660,0,62112349,37428,1660
Iredell,32,35,40109402,1411,6294517,46403919,28431,1632
Henderson,33,39,22560051,1628,0,22560051,13861,1628
Rowan,34,34,32198980,1615,0,32198980,19933,1615
Stokes,35,36,10211763,1589,0,10211763,6426,1589
Jones,36,59,1769342,1584,0,1769342,1117,1584
Chowan,37,37,3421929,1573,0,3421929,2176,1573
Pasquotank,38,23,9021858,1571,0,9021858,5744,1571
Lee,39,38,15338050,1541,0,15338050,9952,1541
Cumberland,40,44,76985248,1511,0,76985248,50937,1511
Davie,41,47,9507445,1510,0,9507445,6298,1510
Johnston,42,40,52150000,1489,0,52150000,35031,1489
Pitt,43,43,35576287,1481,0,35576287,24018,1481
Franklin,44,50,13818840,1477,0,13818840,9354,1477
Pender,45,41,13044356,1476,0,13044356,8836,1476
Ashe,46,49,4541475,1462,0,4541475,3107,1462
Martin,47,46,5305028,1454,0,5305028,3648,1454
Hertford,48,51,4273524,1454,0,4273524,2940,1454
Catawba,49,45,35151688,1452,0,35151688,24207,1452
Davidson,50,62,29516340,1307,2882031,32398371,22576,1435
Granville,51,48,12385287,1415,0,12385287,8752,1415
Alamance,52,55,33117119,1394,0,33117119,23758,1394
Northampton,53,52,3300000,1385,0,3300000,2383,1385
Craven,54,56,19615914,1376,0,19615914,14256,1376
Nash,55,60,21892636,1309,803836,22696472,16725,1357
Bladen,56,64,6757745,1355,0,6757745,4988,1355
Wilson,57,58,18013038,1347,0,18013038,13375,1347
Perquimans,58,63,2300000,1339,0,2300000,1718,1339
Yancey,59,61,2967225,1337,0,2967225,2219,1337
Gaston,60,57,43816704,1331,0,43816704,32910,1331
Lincoln,61,53,16638846,1317,0,16638846,12635,1317
Person,62,33,7456720,1314,0,7456720,5674,1314
Cleveland,63,54,9900000,625,10908431,20808431,15850,1313
McDowell,64,65,7814056,1244,0,7814056,6282,1244
Montgomery,65,66,5013616,1236,0,5013616,4057,1236
Caldwell,66,67,14778726,1235,0,14778726,11964,1235
Onslow,67,32,30836918,1214,0,30836918,25397,1214
Rutherford,68,68,11310489,1214,0,11310489,9316,1214
Surry,69,69,12295715,1060,1709248,14004963,11596,1208
Rockingham,70,70,15834840,1202,0,15834840,13177,1202
Randolph,71,71,21899017,957,5480234,27379251,22888,1196
Wilkes,72,72,11273988,1147,0,11273988,9827,1147
Stanly,73,73,9863046,1135,0,9863046,8693,1135
Mitchell,74,74,2172622,1118,0,2172622,1943,1118
Anson,75,75,3904353,1115,0,3904353,3502,1115
Yadkin,76,77,5982160,1102,0,5982160,5426,1102
Burke,77,76,13945431,1095,0,13945431,12734,1095
Lenoir,78,78,9900000,1084,0,9900000,9133,1084
Camden,79,92,2012565,1080,0,2012565,1863,1080
Harnett,80,80,21523700,1059,230269,21753969,20316,1071
Halifax,81,79,5202231,662,3130476,8332707,7859,1060
Alexander,82,81,5400000,1053,0,5400000,5127,1053
Sampson,83,83,10169280,883,1733492,11902772,11512,1034
Madison,84,88,2495560,1021,0,2495560,2445,1021
Wayne,85,84,19039728,985,0,19039728,19323,985
Duplin,86,89,9485760,977,0,9485760,9706,977
Vance,87,85,7202440,977,0,7202440,7373,977
Washington,88,91,1603000,971,0,1603000,1651,971
Bertie,89,86,2503000,969,0,2503000,2582,969
Edgecombe,90,87,6610530,943,0,6610530,7009,943
Caswell,91,94,2751306,940,0,2751306,2927,940
Tyrrell,92,82,537595,938,0,537595,573,938
Richmond,93,90,6925000,922,0,6925000,7510,922
Clay,94,93,1150000,888,0,1150000,1295,888
Columbus,95,95,7040450,775,0,7040450,9086,775
Greene,96,96,2168000,691,0,2168000,3136,691
Hoke,97,98,4470416,524,0,4470416,8530,524
Robeson,98,99,12375000,523,0,12375000,23668,523
Graham,99,97,611893,514,0,611893,1190,514
Swain,100,100,786797,387,0,786797,2033,387
