County,RANK,TCSpADM,CO6YR,CDS6YR,FADM,COSpADM,DSpADM
Orange,1,3634,10918516,16350313,20123,542.59,812.52
Dare,2,4091,1805699,8724856,4929,366.34,1770.11
Durham,3,3075,29791932,13194752,38551,772.79,342.27
Chatham,4,2906,4766386,4307209,9228,516.51,466.75
Transylvania,5,2864,1459040,2473179,3699,394.44,668.61
Watauga,6,2698,1490125,6885916,4471,333.29,1540.13
New_Hanover,7,2568,5493340,18609988,26432,207.83,704.07
Carteret,8,2457,4846109,6459386,8546,567.06,755.84
Mecklenburg,9,2448,70107827,128091173,157636,444.75,812.58
Currituck,10,2420,1305504,1594715,3865,337.78,412.60
Brunswick,11,2373,4079447,5147376,13212,308.77,389.60
Guilford,12,2356,49934888,49132364,76133,655.89,645.35
Hyde,13,2256,733757,117795,571,1285.04,206.30
Buncombe,14,1957,24471502,13831932,30594,799.88,452.11
Polk,15,2085,412122,780035,2367,174.11,329.55
Wake,16,1989,87781393,161338167,162043,541.72,995.65
Haywood,17,1972,772992,2223302,7298,105.92,304.65
Union,18,1934,6127056,45086772,43157,141.97,1044.72
Forsyth,19,1919,29643031,28679129,56280,526.71,509.58
Avery,20,1862,1873604,1454624,2134,877.98,681.64
Moore,21,1843,3123226,6074051,13266,235.43,457.87
Gates,22,1803,399934,678649,1633,244.91,415.58
Scotland,23,1791,743666,427843,5928,125.45,72.17
Macon,24,1786,3542138,4348301,4393,806.31,989.82
Warren,25,1758,562535,356034,2495,225.46,142.70
Beaufort,26,1754,1250896,2399568,7221,173.23,332.30
Jackson,27,1739,3042521,2034997,3926,774.97,518.34
Cherokee,28,1701,717417,1017627,3429,209.22,296.77
Pamlico,29,1679,138439,434374,1539,89.95,282.24
Alleghany,30,1663,708496,649777,1388,510.44,468.14
Cabarrus,31,1660,10061275,28541320,37428,268.82,762.57
Iredell,32,1411,5596113,25108255,28431,196.83,883.13
Henderson,33,1628,1809253,4884760,13861,130.53,352.41
Rowan,34,1615,2176594,9499356,19933,109.20,476.56
Stokes,35,1589,4950123,2448025,6426,770.33,380.96
Jones,36,1584,161339,27915,1117,144.44,24.99
Chowan,37,1573,70683,781191,2176,32.48,359.00
Pasquotank,38,1571,804013,2506993,5744,139.97,436.45
Lee,39,1541,4648279,7067244,9952,467.07,710.13
Cumberland,40,1511,15370532,4651086,50937,301.76,91.31
Davie,41,1510,2371894,1999015,6298,376.61,317.40
Johnston,42,1489,4907100,30708154,35031,140.08,876.60
Pitt,43,1481,7444321,8135344,24018,309.95,338.72
Franklin,44,1477,8803488,6534027,9354,941.15,698.53
Pender,45,1476,1497102,5430071,8836,169.43,614.54
Ashe,46,1462,636876,1478316,3107,204.98,475.80
Martin,47,1454,2984945,797363,3648,818.24,218.58
Hertford,48,1454,675922,0,2940,229.91,0.00
Catawba,49,1452,13886066,18406694,24207,573.64,760.39
Davidson,50,1307,7393846,7391364,22576,327.51,327.40
Granville,51,1415,3149283,4511949,8752,359.84,515.53
Alamance,52,1394,1702809,6151115,23758,71.67,258.91
Northampton,53,1385,331053,680306,2383,138.92,285.48
Craven,54,1376,1094392,4886195,14256,76.77,342.75
Nash,55,1309,9695699,2048139,16725,579.71,122.46
Bladen,56,1355,423684,1446956,4988,84.94,290.09
Wilson,57,1347,558896,3843783,13375,41.79,287.39
Perquimans,58,1339,185977,696908,1718,108.25,405.65
Yancey,59,1337,521317,0,2219,234.93,0.00
Gaston,60,1331,18471848,8154216,32910,561.28,247.77
Lincoln,61,1317,3239225,7324867,12635,256.37,579.73
Person,62,1314,1336363,2669257,5674,235.52,470.44
Cleveland,63,625,6976262,1505593,15850,440.14,94.99
McDowell,64,1244,2463317,1013806,6282,392.12,161.38
Montgomery,65,1236,121860,1150532,4057,30.04,283.59
Caldwell,66,1235,1887503,2336528,11964,157.77,195.30
Onslow,67,1214,2140368,8228560,25397,84.28,324.00
Rutherford,68,1214,432420,5104704,9316,46.42,547.95
Surry,69,1060,3419478,4459832,11596,294.88,384.60
Rockingham,70,1202,3719533,2915561,13177,282.27,221.26
Randolph,71,957,3510669,10620747,22888,153.38,464.03
Wilkes,72,1147,1633448,3913839,9827,166.22,398.27
Stanly,73,1135,2370033,1936869,8693,272.64,222.81
Mitchell,74,1118,424552,184732,1943,218.50,95.08
Anson,75,1115,161310,520269,3502,46.06,148.56
Yadkin,76,1102,418064,1592317,5426,77.05,293.46
Burke,77,1095,2431586,4163641,12734,190.95,326.97
Lenoir,78,1084,1891874,1732342,9133,207.15,189.68
Camden,79,1080,40847,389761,1863,21.93,209.21
Harnett,80,1059,6859429,8779444,20316,337.64,432.14
Halifax,81,662,1253399,1287778,7859,159.49,163.86
Alexander,82,1053,132753,1137124,5127,25.89,221.79
Sampson,83,883,3037244,7317216,11512,263.83,635.62
Madison,84,1021,316260,297131,2445,129.35,121.53
Wayne,85,985,11442507,676587,19323,592.17,35.01
Duplin,86,977,1227589,1234820,9706,126.48,127.22
Vance,87,977,3390138,1521652,7373,459.80,206.38
Washington,88,971,458720,132029,1651,277.84,79.97
Bertie,89,969,542376,656212,2582,210.06,254.15
Edgecombe,90,943,1257334,785448,7009,179.39,112.06
Caswell,91,940,350225,467866,2927,119.65,159.85
Tyrrell,92,938,62150,80597,573,108.46,140.66
Richmond,93,922,1886855,600283,7510,251.25,79.93
Clay,94,888,273134,97674,1295,210.91,75.42
Columbus,95,775,1778613,276455,9086,195.75,30.43
Greene,96,691,2384690,454838,3136,760.42,145.04
Hoke,97,524,3917819,1156050,8530,459.30,135.53
Robeson,98,523,3757058,0,23668,158.74,0.00
Graham,99,514,17446,333813,1190,14.66,280.51
Swain,100,387,473606,719432,2033,232.96,353.88
