County,RANK,PYR,TCS,TCSpADM,LWF,SCF,TCStot,FADM,TCStotpADM,ChangepADM
Jones,1,5,1769342,1584,11324023,1521273,14614638,1117,13084,11500
Orange,2,3,95270629,4734,0,0,95270629,20123,4734,0
Hyde,3,1,1288286,2256,0,1330127,2618413,571,4586,2329
Dare,4,4,20163320,4091,0,0,20163320,4929,4091,0
Tyrrell,5,2,537595,938,107667,1359781,2005043,573,3499,2561
Gates,6,6,2945000,1803,812031,1672919,5429950,1633,3325,1522
Durham,7,7,118563483,3075,0,0,118563483,38551,3075,0
Chatham,8,9,26818413,2906,0,0,26818413,9228,2906,0
Transylvania,9,12,10595738,2864,0,0,10595738,3699,2864,0
Alleghany,10,10,2308274,1663,0,1661631,3969905,1388,2860,1197
New_Hanover,11,15,67879109,2568,5299720,0,73178829,26432,2769,201
Pamlico,12,8,2583812,1679,0,1605660,4189472,1539,2722,1043
Watauga,13,11,12062834,2698,0,0,12062834,4471,2698,0
Polk,14,13,4934788,2085,0,1377058,6311846,2367,2667,582
Avery,15,14,3973725,1862,0,1467041,5440766,2134,2550,687
Mecklenburg,16,21,385936594,2448,2170121,0,388106715,157636,2462,14
Carteret,17,27,21000000,2457,0,0,21000000,8546,2457,0
Currituck,18,22,9353526,2420,0,0,9353526,3865,2420,0
Washington,19,29,1603000,971,687582,1667130,3957712,1651,2397,1426
Perquimans,20,25,2300000,1339,148130,1649034,4097164,1718,2385,1046
Warren,21,26,4385066,1758,265211,1278094,5928371,2495,2376,619
Brunswick,22,16,31349382,2373,0,0,31349382,13212,2373,0
Northampton,23,20,3300000,1385,795621,1548523,5644144,2383,2369,984
Scotland,24,24,10614325,1791,3413206,0,14027531,5928,2366,576
Guilford,25,19,179360398,2356,0,0,179360398,76133,2356,0
Hertford,26,18,4273524,1454,1375248,1248984,6897756,2940,2346,893
Chowan,27,17,3421929,1573,192836,1411335,5026100,2176,2310,737
Buncombe,28,31,68009074,2223,0,0,68009074,30594,2223,0
Martin,29,23,5305028,1454,1464900,1327763,8097691,3648,2220,766
Clay,30,35,1150000,888,0,1636556,2786556,1295,2152,1264
Camden,31,41,2012565,1080,358140,1606936,3977641,1863,2135,1055
Anson,32,30,3904353,1115,2114044,1292886,7311283,3502,2088,973
Union,33,38,83457494,1934,3688819,0,87146313,43157,2019,85
Wake,34,33,322372340,1989,0,0,322372340,162043,1989,0
Haywood,35,39,14393249,1972,0,0,14393249,7298,1972,0
Bertie,36,28,2503000,969,1371909,1168750,5043659,2582,1953,984
Yancey,37,37,2967225,1337,0,1342535,4309760,2219,1942,605
Mitchell,38,42,2172622,1118,0,1582697,3755319,1943,1933,815
Stokes,39,40,10211763,1589,2140728,0,12352491,6426,1922,333
Forsyth,40,36,108020219,1919,0,0,108020219,56280,1919,0
Moore,41,46,24446931,1843,973501,0,25420432,13266,1916,73
Ashe,42,43,4541475,1462,0,1237965,5779440,3107,1860,398
Granville,43,44,12385287,1415,3865894,0,16251181,8752,1857,442
Franklin,44,51,13818840,1477,3542994,0,17361834,9354,1856,379
Graham,45,32,611893,514,10618,1572068,2194579,1190,1844,1330
Macon,46,50,7845651,1786,247031,0,8092682,4393,1842,56
Beaufort,47,49,12669163,1754,610758,0,13279921,7221,1839,85
Rowan,48,48,32198980,1615,4111615,0,36310595,19933,1822,206
Johnston,49,47,52150000,1489,0,112094010,63359401,35031,1809,320
Pasquotank,50,34,9021858,1571,1329447,0,10351305,5744,1802,231
Cherokee,51,59,5832950,1701,319191,0,6152141,3429,1794,93
McDowell,52,63,7814056,1244,3422705,0,11236761,6282,1789,545
Lee,53,54,15338050,1541,2404265,0,17742315,9952,1783,242
Jackson,54,55,6826102,1739,0,0,6826102,3926,1739,0
Greene,55,45,2168000,691,1990883,1265091,5423974,3136,1730,1038
Lenoir,56,85,9900000,1084,5813595,0,15713595,9133,1721,637
Pitt,57,58,35576287,1481,5695141,0,41271428,24018,1718,237
Bladen,58,61,6757745,1355,1752443,0,8510188,4988,1706,351
Caswell,59,53,2751306,940,941234,1249124,4941664,2927,1688,748
Caldwell,60,57,14778726,1235,5314900,0,20093626,11964,1680,444
Nash,61,65,22696472,1357,5299720,0,27996192,16725,1674,317
Pender,62,56,13044356,1476,1734869,0,14779225,8836,1673,196
Cabarrus,63,62,62112349,1660,260331,0,62372680,37428,1666,7
Iredell,64,67,46403919,1632,0,0,46403919,28431,1632,0
Henderson,65,73,22560051,1628,0,0,22560051,13861,1628,0
Davidson,66,84,32398371,1435,4238464,0,36636835,22576,1623,188
Madison,67,66,2495560,1021,212316,1247150,3955026,2445,1618,597
Lincoln,68,91,16638846,1317,3770983,0,20409829,12635,1615,298
Cleveland,69,60,20808431,1313,4529239,0,25337670,15850,1599,286
Wilson,70,70,18013038,1347,3086634,0,21099672,13375,1578,231
Davie,71,74,9507445,1510,406586,0,9914031,6298,1574,65
Randolph,72,69,27379251,1196,8494082,0,35873333,22888,1567,371
Sampson,73,68,11902772,1034,6120099,0,18022871,11512,1566,532
Alamance,74,75,33117119,1394,3980225,0,37097344,23758,1561,168
Rutherford,75,76,11310489,1214,3155328,0,14465817,9316,1553,339
Harnett,76,72,21753969,1071,9699718,0,31453687,20316,1548,477
Rockingham,77,71,15834840,1202,4550251,0,20385091,13177,1547,345
Cumberland,78,79,76985248,1511,1808886,0,78794134,50937,1547,36
