County,RANK,PYR,ATB,APTR,NPTR,MSSP,TR-SS,PCI,PctAv,IATR,FADM,RpADM
Dare,1,1,13773978472,91183737,24414821,4738491,110860068,44328,113,125455186,4929,25452
Carteret,2,2,14584268350,96547856,21954796,4525832,113976821,43903,112,127745638,8546,14948
Jackson,3,3,8565015216,56700401,10394524,2415038,64679887,30935,79,51080450,3926,13011
Watauga,4,4,8856420803,58629506,15918173,2188292,72359387,30998,79,57261655,4471,12807
Brunswick,5,5,23656886298,156608587,31376004,6429427,181555165,35279,90,163515985,13212,12376
Currituck,6,6,6197657449,41028492,8753952,2323551,47458893,38760,99,46960933,3865,12150
Macon,7,8,7525029837,49815698,9926707,2081582,57660822,33937,87,49956226,4393,11372
Avery,8,7,3904306609,25846510,5066151,1187415,29725246,30715,78,23308338,2134,10922
Hyde,9,9,1038680710,6876066,1395169,930406,7340829,32987,84,6181918,571,10826
New_Hanover,10,10,30892816238,204510443,84466534,16949629,272027349,40076,102,278312222,26432,10529
Transylvania,11,11,5920650832,39194709,7536385,2178714,44552380,33112,85,37660984,3699,10181
Chatham,12,12,9062545947,59994054,13464443,3483562,69974935,51593,132,92165551,9228,9988
Orange,13,13,16111418726,106657592,40312115,10127296,136842411,52989,135,185115073,20123,9199
Mecklenburg,14,14,119536776063,791333458,411090512,72650312,1129773657,49099,125,1416117965,157636,8983
Durham,15,15,30939621895,204820297,137297801,26450028,315668069,42830,109,345154921,38551,8953
Buncombe,16,17,32098626632,212492908,94063078,28293035,278262951,38128,97,270853688,30594,8853
Polk,17,18,2763595358,18295001,3603534,1295137,20603398,37842,97,19904363,2367,8409
Pamlico,18,16,1799956856,11915714,2397413,1187627,13125501,37926,97,12708324,1539,8258
Wake,19,19,120037251515,794646605,294252246,36911221,1051987630,49695,127,1334623198,162043,8236
Moore,20,20,11873225659,78600754,24531895,4531192,98601457,41613,106,104748472,13266,7896
Ashe,21,21,3881469873,25695331,5650319,3451834,27893816,31215,80,22228318,3107,7154
Alleghany,22,22,1591645095,10536691,2033763,808105,11762348,32540,83,9771178,1388,7040
Perquimans,23,23,1782888033,11802719,2034790,720574,13116935,35742,91,11968688,1718,6967
Haywood,24,24,7108612706,47059016,16711752,6386297,57384470,33930,87,49706545,7298,6811
Clay,25,27,1625667654,10761920,2051249,1100232,11712937,28176,72,8425205,1295,6506
