"countyname","teenbirth_all_perK","phys_perXK","chldfate_perXK","chldinsec_pct","chldobes_pct","jdelinq_perK","suspens_perK","jdetent_perK","chlddss_perK","chldabuse_perK","grad_pct","grade3_rd_pct","math1_pct","ACT","AMOtarget_pct","inc50all","poverty517_all_pct","unemp_all_pct","baplus_all_pct","singmom_all_pct"
"ALAMANCE",36.90,17.72,7.36,24.10,17.50,22.01,116.75,2.66,5.22,6.80,82.10,54.20,56.70,17.30,58.00,41566,26.10,5.30,21.60,39.79
"ALEXANDER",37.50,3.96,1.26,25.00,12.80,23.74,47.27,0.71,11.18,26.30,87.00,62.60,68.40,18.90,69.90,41092,22.30,5.00,13.20,29.44
"ALLEGHANY",47.20,9.91,4.89,28.00,19.40,41.02,123.29,1.36,9.79,20.57,86.40,70.30,67.10,17.60,79.00,36113,35.90,6.20,17.40,25.63
"ANSON",56.10,8.31,5.47,26.20,19.20,19.10,431.23,5.52,3.15,6.87,84.70,50.80,33.10,15.30,56.20,35307,35.60,6.60,9.80,58.07
"ASHE",43.90,10.20,3.87,27.70,13.60,12.05,53.29,0.83,13.01,24.64,85.60,63.90,62.90,18.60,84.00,35238,31.80,6.00,18.80,29.21
"AVERY",25.70,11.74,3.48,24.80,11.60,38.77,30.98,2.50,10.66,20.62,93.80,64.10,60.90,17.70,74.10,37120,29.90,6.00,18.90,20.24
"BEAUFORT",52.10,10.90,11.90,24.40,14.90,23.54,195.33,1.42,12.07,15.96,84.30,59.00,52.40,17.40,61.20,41725,33.30,6.60,17.30,39.39
"BERTIE",47.60,4.37,7.45,27.90,15.40,23.15,180.05,4.25,2.54,3.31,84.60,39.20,43.90,14.60,60.80,31967,35.90,7.30,10.00,47.75
"BLADEN",48.00,8.54,6.57,29.90,15.90,8.06,289.29,0.19,11.46,10.52,77.30,51.10,37.40,15.50,56.50,33882,35.20,8.00,13.80,54.11
"BRUNSWICK",41.20,10.69,4.28,26.50,14.60,37.07,181.80,1.80,9.03,10.28,83.20,61.70,57.00,18.50,68.40,48831,24.50,7.20,26.10,36.93
"BUNCOMBE",34.90,39.64,5.26,23.10,14.10,15.49,127.10,1.63,8.46,14.82,85.30,65.40,65.10,19.10,69.30,45094,23.20,4.30,35.90,32.81
"BURKE",42.20,22.87,6.98,27.50,14.30,32.29,114.04,2.11,10.42,20.84,90.20,61.90,63.50,18.60,71.50,42711,23.60,5.70,17.20,39.41
"CABARRUS",34.80,23.61,4.44,20.40,12.20,10.76,106.37,0.28,2.91,5.72,89.30,59.30,59.80,18.60,69.50,57881,15.20,5.20,27.20,27.79
"CALDWELL",48.60,9.46,10.35,27.50,12.90,16.16,66.62,1.21,18.91,19.02,90.60,63.70,61.80,18.60,75.20,39636,23.90,6.30,13.70,34.91
"CAMDEN",23.40,0.00,8.80,20.40,16.90,4.94,41.87,0.59,2.71,4.97,89.20,80.10,62.40,20.00,88.90,62000,13.70,5.80,22.40,29.07
"CARTERET",34.70,15.72,2.41,25.30,16.70,11.05,125.84,1.38,7.80,6.68,85.60,71.00,77.80,20.90,86.10,50837,22.70,5.90,25.30,39.70
"CASWELL",36.60,2.97,15.81,26.90,14.20,17.51,289.76,1.27,4.57,10.98,75.10,48.20,38.50,16.80,59.60,40504,29.80,6.40,11.60,41.72
"CATAWBA",43.90,24.77,5.35,24.20,15.10,27.48,98.21,2.43,8.90,9.97,89.40,58.30,59.20,18.40,65.10,41745,20.80,5.60,21.70,32.40
"CHATHAM",34.50,5.53,7.20,20.70,16.90,17.46,79.71,0.40,7.22,8.29,87.30,56.70,64.30,19.60,68.90,58860,18.00,4.80,36.80,30.89
"CHEROKEE",40.50,13.48,6.09,26.70,16.70,9.59,61.14,0.00,25.37,25.57,92.90,57.50,52.90,18.40,74.20,38284,30.90,6.50,18.60,28.41
"CHOWAN",53.30,19.81,6.43,30.60,17.10,39.78,108.92,1.86,7.86,7.86,82.20,55.60,46.60,16.80,64.10,40794,33.00,7.20,20.10,48.54
"CLAY",34.60,3.71,0.00,29.70,11.80,13.40,20.34,0.00,7.31,22.44,80.50,58.00,46.40,19.40,78.80,38980,31.90,6.10,21.20,30.27
"CLEVELAND",48.40,17.57,6.45,26.80,12.10,30.54,205.80,1.46,12.19,18.66,86.60,64.10,58.60,18.20,71.50,40237,29.40,6.50,16.00,40.49
"COLUMBUS",55.60,12.49,11.82,28.30,17.60,19.34,252.54,1.59,9.73,12.04,84.80,51.60,42.90,16.50,63.90,34478,34.10,7.60,12.10,42.94
"CRAVEN",56.40,24.30,5.05,25.20,12.50,16.17,192.34,1.12,4.08,7.38,85.40,58.00,61.20,18.30,71.60,47805,24.20,6.10,22.30,37.03
"CUMBERLAND",56.30,18.25,9.46,24.30,9.60,19.57,188.57,3.34,13.05,12.85,81.70,59.10,53.90,17.90,74.50,42380,27.60,7.40,23.30,42.34
"CURRITUCK",40.60,3.19,9.30,21.50,17.60,25.30,80.20,1.27,8.60,12.26,90.10,61.50,65.70,18.10,65.80,66426,17.00,5.90,20.50,28.17
"DARE",37.50,16.38,2.93,23.70,16.20,18.85,44.30,1.08,7.83,8.12,93.80,66.40,71.40,19.80,80.60,53585,17.80,7.50,29.40,38.38
"DAVIDSON",42.20,6.81,3.24,24.30,13.50,27.81,86.42,2.70,5.50,11.89,82.40,57.40,62.90,18.10,69.70,46400,21.30,5.50,18.70,32.66
"DAVIE",33.40,8.20,3.39,23.40,14.00,15.52,46.86,2.65,9.81,16.42,85.30,63.10,61.00,20.30,76.00,52525,18.40,5.00,24.40,30.83
"DUPLIN",52.90,4.80,4.05,26.00,18.30,13.53,202.62,1.98,3.13,17.57,83.40,45.20,42.50,16.60,59.50,38397,34.10,5.80,10.70,40.73
"DURHAM",43.80,73.99,9.07,20.30,16.50,13.65,134.45,2.90,4.22,5.36,80.70,45.40,44.90,17.40,59.80,53875,26.00,5.00,45.80,41.87
"EDGECOMBE",65.80,7.75,7.72,29.50,13.90,33.71,432.87,3.13,6.87,14.28,81.50,33.00,30.20,15.70,52.60,32529,42.60,9.60,10.60,59.03
"FORSYTH",39.60,51.83,6.37,23.00,13.70,26.84,182.88,2.31,2.84,4.98,85.40,56.00,60.70,18.60,66.80,47346,28.50,5.50,32.90,38.12
"FRANKLIN",35.90,5.38,6.18,22.00,14.60,4.08,137.61,0.97,7.20,16.12,82.60,53.40,56.30,17.70,52.80,48009,22.50,5.90,19.40,29.92
"GASTON",45.00,18.27,5.53,25.10,14.00,20.70,204.44,4.15,7.96,8.63,86.30,51.90,57.10,17.80,67.20,45031,25.00,6.00,19.00,37.91
"GATES",35.40,1.68,4.06,24.90,19.40,6.82,100.43,0.00,0.00,6.82,86.20,50.70,56.50,17.20,77.10,46387,23.50,5.50,13.20,33.73
"GRAHAM",59.30,4.53,0.00,31.60,25.70,18.99,40.51,0.00,19.59,39.72,88.40,58.60,40.00,16.90,70.60,33827,32.60,12.10,14.30,23.03
"GRANVILLE",40.20,19.96,5.84,21.30,15.70,21.34,43.44,2.48,4.69,9.72,83.80,49.40,39.50,17.00,65.50,50314,21.80,5.00,17.60,38.39
"GREENE",53.90,6.11,4.20,25.60,15.60,19.81,218.57,1.50,11.33,13.05,86.50,39.10,42.40,16.20,58.30,35060,34.50,5.50,10.10,40.16
"GUILFORD",33.70,24.40,5.72,23.00,14.30,22.43,92.07,3.64,4.62,5.82,89.30,53.80,62.20,18.90,63.00,48283,23.50,5.90,34.10,41.47
"HALIFAX",61.60,14.48,9.47,28.40,13.40,55.07,367.74,5.55,3.24,11.81,79.00,43.90,39.50,16.40,62.80,31952,39.10,8.90,12.70,55.14
"HARNETT",42.50,6.60,8.11,24.00,13.20,23.69,134.24,1.16,5.65,10.29,81.50,49.50,44.40,17.70,63.30,48301,23.80,6.70,19.60,32.69
"HAYWOOD",42.30,15.36,3.60,26.30,14.00,15.78,69.92,1.42,12.87,29.04,83.10,65.20,62.90,19.10,84.40,43573,27.30,5.20,23.90,35.97
"HENDERSON",42.10,23.17,3.18,22.40,11.90,18.12,65.38,1.17,9.09,11.90,90.50,62.80,61.30,19.10,83.10,47280,21.10,4.70,28.60,27.38
"HERTFORD",44.70,18.31,24.40,26.90,15.20,17.92,372.10,1.75,0.61,1.43,86.00,41.30,24.60,15.40,63.70,34453,37.60,7.10,14.00,49.76
"HOKE",53.30,3.53,6.35,25.10,18.10,22.36,184.38,2.10,3.54,4.16,75.10,49.30,55.00,16.80,63.10,42819,28.50,8.10,19.30,39.72
"HYDE",38.00,3.49,0.00,26.60,14.10,10.49,105.08,5.77,1.02,4.10,94.70,65.30,55.30,16.70,78.90,37074,30.70,9.10,10.30,51.41
"IREDELL",36.80,19.08,5.86,22.20,14.90,28.83,105.69,1.44,8.08,18.19,87.20,65.80,66.00,19.20,69.00,55848,19.30,5.50,25.90,31.50
"JACKSON",24.80,22.17,1.38,27.10,13.10,34.38,80.25,0.62,8.87,17.47,83.80,52.50,61.70,18.20,65.50,41537,27.30,6.10,29.50,40.95
"JOHNSTON",42.20,7.22,3.99,22.40,18.10,9.68,113.40,0.33,2.74,11.70,88.80,60.80,63.70,18.50,70.20,52681,18.70,5.20,20.30,32.05
"JONES",35.40,15.28,0.00,26.40,15.00,29.17,88.63,0.68,6.68,6.68,89.90,50.60,56.50,18.50,73.90,39688,36.50,5.80,13.10,36.91
"LEE",59.20,15.37,4.01,24.50,14.50,42.67,160.02,2.10,6.40,9.29,89.10,57.50,49.70,17.50,58.60,44294,25.80,7.30,20.50,37.18
"LENOIR",35.70,15.98,10.44,26.80,12.10,39.45,279.85,2.35,5.52,10.74,79.90,46.30,35.40,16.40,58.30,37085,36.90,6.40,12.70,50.47
"LINCOLN",49.20,9.97,3.45,24.00,9.90,24.66,94.72,1.12,7.18,11.67,90.30,65.20,63.50,18.80,76.70,49343,20.40,5.40,20.20,27.87
"MACON",46.30,20.91,4.62,27.70,20.50,27.76,36.51,1.55,8.12,16.70,88.30,67.30,62.90,17.80,59.80,41395,29.40,6.20,22.50,34.71
"MADISON",29.80,5.10,12.43,26.00,15.80,10.01,69.84,2.41,21.01,19.51,83.40,73.00,53.60,18.90,73.00,37899,29.10,5.70,21.70,32.35
"MARTIN",49.00,8.43,4.02,26.70,20.30,46.32,337.47,4.56,16.35,9.89,75.50,43.60,56.70,17.40,52.20,36543,36.30,7.70,13.70,37.63
