"countyname","overall","teenbirth_all_perK","phys_perXK","chldfate_perXK","chldinsec_pct","chldobes_pct","jdelinq_perK","suspens_perK","jdetent_perK","chlddss_perK","chldabuse_perK","grad_pct","grade3_rd_pct","math1_pct","ACT","AMOtarget_pct","inc50all","poverty517_all_pct","unemp_all_pct","baplus_all_pct","singmom_all_pct","average"
ORANGE,1,2,1,22,3,47,6,9,17,35,45,17,6,4,1,12,5,2,2,1,7,12.20
UNION,2,5,66,32,2,8,22,50,23,5,16,4,4,3,3,6,1,1,5,10,2,13.40
WAKE,3,7,13,28,1,44,14,28,35,23,15,46,11,5,5,48,2,4,3,2,12,17.30
CABARRUS,4,19,15,39,5,13,12,44,9,11,12,21,39,41,25,44,7,5,14,19,10,20.20
WATAUGA,5,1,14,12,42,64,25,1,8,66,62,32,8,18,5,5,48,11,7,5,18,22.60
CAMDEN,6,3,99,80,5,80,2,8,18,8,8,23,1,26,8,2,4,3,37,27,16,22.90
HENDERSON,7,43,16,15,13,8,40,22,33,64,55,9,28,33,17,9,26,16,3,18,9,23.85
MOORE,8,29,6,35,31,50,53,33,16,7,13,35,26,37,14,39,15,16,37,12,31,26.75
DARE,9,30,34,13,22,72,42,13,27,54,29,2,14,6,10,11,11,7,81,17,56,27.55
CARTERET,10,18,37,10,46,76,13,52,44,53,17,48,7,2,2,3,16,25,41,22,63,29.75
LINCOLN,11,70,59,19,26,2,67,38,30,48,51,10,18,19,23,18,19,14,20,37,11,29.95
POLK,12,11,46,90,23,97,8,10,1,91,64,19,2,1,5,1,31,34,13,13,43,30.15
JOHNSTON,13,44,73,29,13,86,9,47,10,9,52,27,35,17,31,40,12,10,14,36,28,31.10
CHATHAM,14,16,80,72,8,80,37,29,11,50,30,36,53,15,11,48,6,7,5,7,24,31.25
DAVIE,15,14,71,17,20,33,28,14,83,70,71,52,27,36,4,19,13,9,8,23,23,31.75
NEW_HANOVER,16,8,7,9,21,16,29,62,74,83,68,81,20,16,8,16,14,22,17,6,59,31.80
BUNCOMBE,17,20,5,49,17,37,27,53,60,59,65,52,16,13,17,45,32,27,1,8,34,31.85
MECKLENBURG,18,30,8,47,7,76,68,63,89,20,22,30,38,14,25,52,8,12,20,4,48,34.05
IREDELL,19,27,24,57,12,53,81,43,49,57,78,38,15,10,14,47,9,13,23,21,25,34.80
GUILFORD,20,15,11,55,15,41,59,37,90,29,14,21,63,27,20,72,22,28,41,9,74,37.15
TRANSYLVANIA,21,13,32,81,58,41,26,23,15,72,80,60,4,46,24,21,30,64,23,14,36,38.15
FORSYTH,22,36,3,62,15,31,71,69,73,10,9,50,55,39,25,55,25,56,23,11,55,38.65
CRAVEN,23,88,12,46,45,15,32,72,30,24,24,50,46,34,37,30,24,35,52,28,51,38.75
ALEXANDER,24,30,87,7,41,18,65,16,22,76,93,39,29,7,20,41,57,23,8,79,19,38.85
YANCEY,25,82,62,1,89,3,51,12,12,79,98,6,9,8,44,4,80,59,41,42,4,39.30
HAYWOOD,26,47,40,21,61,33,30,26,47,85,97,72,18,21,17,7,38,50,14,24,45,39.65
PENDER,27,35,91,45,29,61,78,39,57,45,23,13,34,34,12,32,18,21,52,32,44,39.75
SURRY,28,53,35,44,46,68,55,27,51,52,48,10,12,31,14,10,70,49,23,67,35,40.00
GATES,29,21,97,34,40,91,3,41,1,1,20,45,75,53,71,17,28,28,23,79,38,40.30
ONSLOW,30,100,64,69,17,6,35,36,70,38,31,23,33,57,44,42,29,19,46,42,15,40.80
CURRITUCK,31,40,93,83,10,84,69,30,39,60,57,15,32,11,42,58,3,6,41,34,13,41.00
AVERY,32,6,50,20,37,5,93,4,79,75,86,2,22,37,53,25,75,67,46,48,1,41.55
STANLY,33,42,48,26,25,25,16,79,28,18,74,33,49,47,59,76,34,40,17,61,37,41.70
RANDOLPH,34,61,70,10,46,66,17,15,13,34,25,26,70,50,59,55,40,38,32,69,46,42.10
CATAWBA,35,50,10,50,29,59,74,40,77,62,40,20,45,44,35,61,49,15,31,29,30,42.50
