Dare,1,1,2013,0.399,13773978472,4929,2794477.27
Jackson,2,2,2008,0.386,8565015216,3926,2181613.66
Watauga,3,4,2014,0.311,8856420803,4471,1980859.05
Avery,4,3,2014,0.477,3904306609,2134,1829571.98
Hyde,5,6,2009,0.722,1038680710,571,1819055.53
Brunswick,6,5,2011,0.476,23656886298,13212,1790560.57
Macon,7,7,2007,0.357,7525029837,4393,1712959.22
Carteret,8,8,2011,0.325,14584268350,8546,1706560.77
Currituck,9,10,2013,0.451,6197657449,3865,1603533.62
Transylvania,10,9,2009,0.464,5920650832,3699,1600608.50
Clay,11,12,2010,0.480,1625667654,1295,1255341.82
Ashe,12,11,2011,0.432,3881469873,3107,1249266.13
Yancey,13,16,2008,0.492,2604002702,2219,1173502.79
Pamlico,14,14,2012,0.546,1799956856,1539,1169562.61
New_Hanover,15,13,2012,0.530,30892816238,26432,1168765.75
Polk,16,15,2009,0.519,2763595358,2367,1167551.90
Alleghany,17,17,2007,0.549,1591645095,1388,1146718.37
Graham,18,18,2010,0.460,1260320089,1190,1059092.51
Buncombe,19,20,2013,0.532,32098626632,30594,1049180.45
Perquimans,20,19,2008,0.000,1782888033,1718,1037769.53
Chatham,21,21,2009,0.645,9062545947,9228,982070.43
Haywood,22,22,2011,0.558,7108612706,7298,974049.43
Madison,23,25,2012,0.461,2304969325,2445,942727.74
Warren,24,24,2009,0.746,2327039290,2495,932681.08
Moore,25,26,2007,0.486,11873225659,13266,895011.73
Henderson,26,27,2011,0.523,12314704324,13861,888442.70
Mitchell,27,23,2014,0.554,1677882498,1943,863552.50
Cherokee,28,28,2012,0.542,2942083971,3429,858000.57
Northampton,29,30,2011,0.979,1977625463,2383,829888.99
Durham,30,31,2008,0.816,30939621895,38551,802563.41
Orange,31,32,2009,0.897,16111418726,20123,800646.96
Tyrrell,32,29,2009,0.787,450243398,573,785765.09
Beaufort,33,34,2010,0.584,5566100776,7221,770821.32
Swain,34,35,2013,0.370,1565402624,2033,769996.37
Person,35,36,2013,0.707,4337414806,5674,764436.87
Mecklenburg,36,33,2011,0.792,119536776063,157636,758308.86
Wake,37,37,2008,0.621,120037251515,162043,740774.06
Iredell,38,40,2011,0.497,20735292806,28431,729319.86
Jones,39,38,2014,0.749,814599203,1117,729274.13
Pender,40,39,2011,0.000,1782888033,8836,710654.80
Montgomery,41,41,2012,0.598,2845961681,4057,701494.13
Catawba,42,44,2011,0.545,16239244460,24207,670849.11
Rutherford,43,46,2012,0.618,6118178876,9316,656738.82
Lincoln,44,43,2011,0.620,8293790238,12635,656413.95
Davie,45,45,2013,0.669,4107027038,6298,652116.07
Chowan,46,42,2014,0.682,1408518433,2176,647297.07
Craven,47,48,2010,0.529,8959758269,14256,628490.34
Guilford,48,47,2012,0.756,47158441570,76133,619421.82
Forsyth,49,49,2013,0.704,32599197022,56280,579232.36
Wilkes,50,53,2013,0.643,5691382227,9827,579157.65
Stokes,51,54,2013,0.637,3680998433,6426,572828.89
Davidson,52,67,2007,0.572,12842985665,22576,568877.82
McDowell,53,52,2011,0.532,3565217616,6282,567529.07
Rowan,54,51,2011,0.692,11259177187,19933,564851.11
Bladen,55,56,2007,0.722,2754164083,4988,552158.00
Caldwell,56,66,2013,0.586,6529663185,11964,545775.93
Camden,57,59,2007,0.735,1015487998,1863,545082.12
Stanly,58,61,2013,0.618,4673195759,8693,537581.47
Caswell,59,60,2008,0.667,1572693767,2927,537305.69
Cabarrus,60,57,2012,0.689,19890707130,37428,531439.22
Washington,61,62,2013,0.807,873763562,1651,529232.93
Rockingham,62,64,2011,0.716,6870888083,13177,521430.38
Onslow,63,55,2014,0.675,13156558309,25397,518035.92
Pasquotank,64,50,2014,0.760,2960690088,5744,515440.47
Lee,65,63,2013,0.708,5120468379,9952,514516.52
Yadkin,66,65,2009,0.692,2782452952,5426,512800.03
Burke,67,73,2013,0.665,6509738449,12734,511209.24
Union,68,69,2008,0.871,21932788772,43157,508209.30
Martin,69,58,2009,0.764,1841977261,3648,504927.98
Alamance,70,68,2009,0.569,11981954384,23758,504333.46
Alexander,71,70,2007,0.673,2585542924,5127,504299.38
Gates,72,72,2009,0.830,808543771,1633,495127.85
Bertie,73,85,2012,0.812,1273289295,2582,493140.70
Hertford,74,77,2011,0.927,1443565419,2940,491008.65
Pitt,75,71,2012,0.682,11717278616,24018,487854.05
Granville,76,82,2010,0.878,4267902029,8752,487648.77
Cleveland,77,74,2008,0.771,7675904292,15850,484284.18
Franklin,78,75,2012,0.841,4506862776,9354,481811.29
