 df_lsfr <- read_csv("C:/Users/David Hopp/CodeForAmerica/publicSchoolsX20rev/data/local_school_finance_ranks.csv")


County,PVR,AER,AER2,ATPR,RER
Dare,1,2,4,1,95
Jackson,2,27,54,3,98
Watauga,3,6,13,4,84
Avery,4,20,15,8,93
Hyde,5,13,3,9,85
Brunswick,6,11,22,5,92
Macon,7,24,46,7,96
Carteret,8,8,17,2,94
Currituck,9,10,18,6,90
Transylvania,10,5,9,11,63
Clay,11,94,30,25,97
Ashe,12,46,42,21,87
Yancey,13,59,37,27,86
Pamlico,14,29,12,18,88
New_Hanover,15,7,11,10,77
Polk,16,15,14,17,75
Alleghany,17,30,10,22,80
Graham,18,99,45,33,99
Buncombe,19,14,28,16,73
Perquimans,20,58,20,23,91
Chatham,21,4,8,12,58
Haywood,22,17,35,24,61
Madison,23,84,67,39,89
Warren,24,25,21,34,47
Moore,25,21,41,20,81
Henderson,26,33,65,26,74
Mitchell,27,74,38,45,76
Cherokee,28,28,51,40,32
Northampton,29,53,23,49,46
Durham,30,3,7,15,31
Orange,31,1,2,13,3
Tyrrell,32,92,5,48,83
Beaufort,33,26,47,32,49
Swain,34,100,99,44,100
Person,35,62,86,41,69
Mecklenburg,36,33,16,14,67
Wake,37,16,34,19,78
Iredell,38,32,64,28,71
Jones,39,36,1,37,55
Pender,40,45,62,52,33
Montgomery,41,65,82,47,66
Catawba,42,49,84,38,64
Rutherford,43,68,75,62,45
Lincoln,44,61,68,42,68
Davie,45,41,71,35,65
Chowan,46,37,27,46,29
Craven,47,54,92,36,72
Guilford,48,12,25,29,12
Forsyth,49,19,40,30,34
Wilkes,50,72,91,63,54
Stokes,51,35,39,69,8
Davidson,52,50,66,53,37
McDowell,53,64,52,74,24
Rowan,54,34,48,59,13
Bladen,55,56,58,71,16
Caldwell,56,66,60,73,25
Camden,57,79,31,55,70
Stanly,58,73,90,60,60
Caswell,59,91,59,89,52
Cabarrus,60,31,63,43,30
Washington,61,88,19,83,53
Rockingham,62,70,77,66,40
Onslow,63,67,97,31,82
Pasquotank,64,38,50,57,15
Lee,65,39,53,56,19
Yadkin,66,76,83,77,38
Burke,67,77,93,72,48
Union,68,18,33,50,7
Martin,69,47,29,64,17
Alamance,70,52,74,51,41
Alexander,71,82,96,79,44
Gates,72,22,6,88,2
Bertie,73,89,36,91,43
Hertford,74,48,26,84,6
Pitt,75,43,57,54,28
Granville,76,51,70,75,10
Cleveland,77,63,69,81,14
Franklin,78,44,44,87,5
Anson,79,69,32,85,26
Wilson,80,75,70,65,27
Surry,81,69,79,61,50
Randolph,82,71,72,80,23
Halifax,83,81,88,82,39
Gaston,84,60,87,70,20
Lenoir,85,78,56,68,56
Edgecombe,86,90,89,90,51
Cumberland,87,40,78,58,18
Duplin,88,86,80,78,57
Nash,89,55,61,67,21
Johnston,90,42,49,86,4
Wayne,91,85,94,76,59
Richmond,92,93,81,94,35
Columbus,93,95,95,93,62
Hoke,94,97,100,98,79
Sampson,95,83,73,92,22
Harnett,96,80,76,95,9
Scotland,97,23,24,97,1
Greene,98,96,55,99,42
Vance,99,87,85,96,11
Robeson,100,98,98,100,36
