school_code	name	grade_span	subject	grade	type	subgroup	num_tested	num_l1	pct_l1	num_l2	pct_l2	num_l3	pct_l3	num_l4	pct_l4	num_l5	pct_l5	num_ccr	pct_ccr	num_glp	pct_glp	avg_score

110444	Woodfin Elementary	0K-05	ALL	ALL	ALL	AIG	14	-	<5	-	<5	-	-	-	-	-	-	12	85.7	-	>95	
110444	Woodfin Elementary	0K-05	ALL	ALL	ALL	AIG_MATH	14	-	<5	-	<5	-	-	-	-	-	-	12	85.7	-	>95	
110444	Woodfin Elementary	0K-05	ALL	ALL	ALL	AIG_READ	14	-	<5	-	<5	-	-	-	-	-	-	12	85.7	-	>95	
110444	Woodfin Elementary	0K-05	ALL	ALL	ALL	ALL	107	17	15.9	21	19.6	19	17.8	42	39.3	8	7.5	50	46.7	69	64.5	
110444	Woodfin Elementary	0K-05	ALL	ALL	ALL	BLCK	10	2	20.0	2	20.0	1	10.0	4	40.0	1	10.0	5	50.0	6	60.0	
110444	Woodfin Elementary	0K-05	ALL	ALL	ALL	EDS	49	7	14.3	14	28.6	10	20.4	15	30.6	3	6.1	18	36.7	28	57.1	
110444	Woodfin Elementary	0K-05	ALL	ALL	ALL	FEM	56	8	14.3	9	16.1	10	17.9	24	42.9	5	8.9	29	51.8	39	69.6	
110444	Woodfin Elementary	0K-05	ALL	ALL	ALL	FEM_HISP	16	-	-	-	-	-	-	-	-	-	<5	7	43.8	9	56.3	
110444	Woodfin Elementary	0K-05	ALL	ALL	ALL	FEM_WHTE	34	-	<5	-	-	-	-	-	-	-	-	19	55.9	26	76.5	
110444	Woodfin Elementary	0K-05	ALL	ALL	ALL	HISP	20	-	-	-	-	-	-	-	-	-	<5	8	40.0	12	60.0	
110444	Woodfin Elementary	0K-05	ALL	ALL	ALL	LEP	8	2	25.0	1	12.5	1	12.5	3	37.5	1	12.5	4	50.0	5	62.5	
110444	Woodfin Elementary	0K-05	ALL	ALL	ALL	MALE	51	9	17.6	12	23.5	9	17.6	18	35.3	3	5.9	21	41.2	30	58.8	
110444	Woodfin Elementary	0K-05	ALL	ALL	ALL	MALE_BLCK	6	-	-	-	-	-	<5	-	-	-	<5	2	33.3	2	33.3	
110444	Woodfin Elementary	0K-05	ALL	ALL	ALL	MALE_WHTE	37	7	18.9	7	18.9	6	16.2	14	37.8	3	8.1	17	45.9	23	62.2	
110444	Woodfin Elementary	0K-05	ALL	ALL	ALL	NOT_EDS	58	10	17.2	7	12.1	9	15.5	27	46.6	5	8.6	32	55.2	41	70.7	
110444	Woodfin Elementary	0K-05	ALL	ALL	ALL	NOT_LEP	99	15	15.2	20	20.2	18	18.2	39	39.4	7	7.1	46	46.5	64	64.6	
110444	Woodfin Elementary	0K-05	ALL	ALL	ALL	NOT_SWD	80	9	11.3	12	15.0	14	17.5	37	46.3	8	10.0	45	56.3	59	73.8	
110444	Woodfin Elementary	0K-05	ALL	ALL	ALL	SWD	27	-	-	-	-	-	-	-	-	-	<5	5	18.5	10	37.0	
110444	Woodfin Elementary	0K-05	ALL	ALL	ALL	WHTE	71	8	11.3	14	19.7	13	18.3	29	40.8	7	9.9	36	50.7	49	69.0	
110444	Woodfin Elementary	0K-05	ALL	ALL	RG	AIG	14	-	<5	-	<5	-	-	-	-	-	-	12	85.7	-	>95	
110444	Woodfin Elementary	0K-05	ALL	ALL	RG	AIG_MATH	14	-	<5	-	<5	-	-	-	-	-	-	12	85.7	-	>95	
110444	Woodfin Elementary	0K-05	ALL	ALL	RG	AIG_READ	14	-	<5	-	<5	-	-	-	-	-	-	12	85.7	-	>95	
110444	Woodfin Elementary	0K-05	ALL	ALL	RG	ALL	101	17	16.8	18	17.8	18	17.8	40	39.6	8	7.9	48	47.5	66	65.3	
110444	Woodfin Elementary	0K-05	ALL	ALL	RG	BLCK	10	2	20.0	2	20.0	1	10.0	4	40.0	1	10.0	5	50.0	6	60.0	
110444	Woodfin Elementary	0K-05	ALL	ALL	RG	EDS	45	7	15.6	11	24.4	10	22.2	14	31.1	3	6.7	17	37.8	27	60.0	
110444	Woodfin Elementary	0K-05	ALL	ALL	RG	FEM	56	8	14.3	9	16.1	10	17.9	24	42.9	5	8.9	29	51.8	39	69.6	
110444	Woodfin Elementary	0K-05	ALL	ALL	RG	FEM_HISP	16	-	-	-	-	-	-	-	-	-	<5	7	43.8	9	56.3	
110444	Woodfin Elementary	0K-05	ALL	ALL	RG	FEM_WHTE	34	-	<5	-	-	-	-	-	-	-	-	19	55.9	26	76.5	
110444	Woodfin Elementary	0K-05	ALL	ALL	RG	HISP	20	-	-	-	-	-	-	-	-	-	<5	8	40.0	12	60.0	
110444	Woodfin Elementary	0K-05	ALL	ALL	RG	LEP	8	2	25.0	1	12.5	1	12.5	3	37.5	1	12.5	4	50.0	5	62.5	
110444	Woodfin Elementary	0K-05	ALL	ALL	RG	MALE	45	9	20.0	9	20.0	8	17.8	16	35.6	3	6.7	19	42.2	27	60.0	
110444	Woodfin Elementary	0K-05	ALL	ALL	RG	MALE_BLCK	6	-	-	-	-	-	<5	-	-	-	<5	2	33.3	2	33.3	
110444	Woodfin Elementary	0K-05	ALL	ALL	RG	MALE_WHTE	33	7	21.2	4	12.1	6	18.2	13	39.4	3	9.1	16	48.5	22	66.7	
110444	Woodfin Elementary	0K-05	ALL	ALL	RG	NOT_EDS	56	10	17.9	7	12.5	8	14.3	26	46.4	5	8.9	31	55.4	39	69.6	
110444	Woodfin Elementary	0K-05	ALL	ALL	RG	NOT_LEP	93	15	16.1	17	18.3	17	18.3	37	39.8	7	7.5	44	47.3	61	65.6	
110444	Woodfin Elementary	0K-05	ALL	ALL	RG	NOT_SWD	80	9	11.3	12	15.0	14	17.5	37	46.3	8	10.0	45	56.3	59	73.8	
110444	Woodfin Elementary	0K-05	ALL	ALL	RG	SWD	21	-	-	-	-	-	-	-	-	-	<5	3	14.3	7	33.3	
110444	Woodfin Elementary	0K-05	ALL	ALL	RG	WHTE	67	8	11.9	11	16.4	13	19.4	28	41.8	7	10.4	35	52.2	48	71.6	
110444	Woodfin Elementary	0K-05	ALL	ALL	X1	ALL	6	-	<5	-	-	-	-	-	-	-	<5	2	33.3	3	50.0	
110444	Woodfin Elementary	0K-05	ALL	ALL	X1	MALE	6	-	<5	-	-	-	-	-	-	-	<5	2	33.3	3	50.0	
110444	Woodfin Elementary	0K-05	ALL	ALL	X1	NOT_LEP	6	-	<5	-	-	-	-	-	-	-	<5	2	33.3	3	50.0	
110444	Woodfin Elementary	0K-05	ALL	ALL	X1	SWD	6	-	<5	-	-	-	-	-	-	-	<5	2	33.3	3	50.0	
110444	Woodfin Elementary	0K-05	EOG	03	ALL	AIG	8	-	<5	-	<5	-	<5	-	-	-	-	-	>95	-	>95	
110444	Woodfin Elementary	0K-05	EOG	03	ALL	AIG_MATH	8	-	<5	-	<5	-	<5	-	-	-	-	-	>95	-	>95	
110444	Woodfin Elementary	0K-05	EOG	03	ALL	AIG_READ	8	-	<5	-	<5	-	<5	-	-	-	-	-	>95	-	>95	
110444	Woodfin Elementary	0K-05	EOG	03	ALL	ALL	58	11	19.0	12	20.7	8	13.8	22	37.9	5	8.6	27	46.6	35	60.3	
110444	Woodfin Elementary	0K-05	EOG	03	ALL	BLCK	8	-	-	-	-	-	-	-	-	-	<5	3	37.5	4	50.0	
110444	Woodfin Elementary	0K-05	EOG	03	ALL	EDS	26	3	11.5	8	30.8	5	19.2	8	30.8	2	7.7	10	38.5	15	57.7	
110444	Woodfin Elementary	0K-05	EOG	03	ALL	FEM	34	6	17.6	4	11.8	5	14.7	15	44.1	4	11.8	19	55.9	24	70.6	
110444	Woodfin Elementary	0K-05	EOG	03	ALL	FEM_HISP	10	-	-	-	-	-	-	-	-	-	<5	5	50.0	6	60.0	
110444	Woodfin Elementary	0K-05	EOG	03	ALL	FEM_WHTE	20	1	5.0	3	15.0	3	15.0	9	45.0	4	20.0	13	65.0	16	80.0	
110444	Woodfin Elementary	0K-05	EOG	03	ALL	HISP	12	-	-	-	-	-	-	-	-	-	<5	5	41.7	7	58.3	
110444	Woodfin Elementary	0K-05	EOG	03	ALL	LEP	6	-	-	-	-	-	<5	-	-	-	-	3	50.0	3	50.0	
110444	Woodfin Elementary	0K-05	EOG	03	ALL	MALE	24	-	-	-	-	-	-	-	-	-	<5	8	33.3	11	45.8	
110444	Woodfin Elementary	0K-05	EOG	03	ALL	MALE_BLCK	6	-	-	-	-	-	<5	-	-	-	<5	2	33.3	2	33.3	
