From http://www.ncpublicschools.org/docs/accountability/reports/green/1314/scorefreq1314.pdf
2013-14 Grades 3, 4, 5,ELA and MA,Level,Frequency,counts

Grade,Subject,acYear,Level,Score,Freq,X,Y,Z
3,ELA,"2013-14",5,461,2233,111182,2.01,100.00
3,ELA,"2013-14",5,457,4689,108949,4.22,97.99
3,ELA,"2013-14",5,454,6251,104260,5.62,93.77
3,ELA,"2013-14",5,453,463,98009,0.42,88.15
3,ELA,"2013-14",4,451,6740,97546,6.06,87.74
3,ELA,"2013-14",4,449,7167,90806,6.45,81.67
3,ELA,"2013-14",4,447,7290,83639,6.56,75.23
3,ELA,"2013-14",4,445,6793,76349,6.11,68.67
3,ELA,"2013-14",4,444,6431,69556,5.78,62.56
3,ELA,"2013-14",4,443,187,63125,0.17,56.78
3,ELA,"2013-14",4,442,6206,62938,5.58,56.61
3,ELA,"2013-14",3,441,5100,56732,4.59,51.03
3,ELA,"2013-14",3,440,4756,51632,4.28,46.44
3,ELA,"2013-14",3,439,4412,46876,3.97,42.16
3,ELA,"2013-14",2,438,3722,42464,3.35,38.19
3,ELA,"2013-14",2,437,3475,38742,3.13,34.85
3,ELA,"2013-14",2,436,3272,35267,2.94,31.72
3,ELA,"2013-14",2,435,3051,31995,2.74,28.78
3,ELA,"2013-14",2,434,2759,28944,2.48,26.03
3,ELA,"2013-14",2,433,2554,26185,2.30,23.55
3,ELA,"2013-14",2,432,2407,23631,2.16,21.25
3,ELA,"2013-14",1,431,1916,21224,1.72,19.09
3,ELA,"2013-14",1,430,1904,19308,1.71,17.37
3,ELA,"2013-14",1,429,1701,17404,1.53,15.65
3,ELA,"2013-14",1,428,2409,15703,2.17,14.12
3,ELA,"2013-14",1,427,1492,13294,1.34,11.96
3,ELA,"2013-14",1,426,1339,11802,1.20,10.62
3,ELA,"2013-14",1,425,1323,10463,1.19,9.41
3,ELA,"2013-14",1,424,1201,9140,1.08,8.22
3,ELA,"2013-14",1,423,1234,7939,1.11,7.14
3,ELA,"2013-14",1,422,1128,6705,1.01,6.03
3,ELA,"2013-14",1,421,1032,5577,0.93,5.02
3,ELA,"2013-14",1,420,480,4545,0.43,4.09
3,ELA,"2013-14",1,419,941,4065,0.85,3.66
3,ELA,"2013-14",1,418,893,3124,0.80,2.81
3,ELA,"2013-14",1,417,674,2231,0.61,2.01
3,ELA,"2013-14",1,416,248,1557,0.22,1.40
3,ELA,"2013-14",1,415,501,1309,0.45,1.18
3,ELA,"2013-14",1,414,224,808,0.20,0.73
3,ELA,"2013-14",1,413,266,584,0.24,0.53
3,ELA,"2013-14",1,412,160,318,0.14,0.29
3,ELA,"2013-14",1,411,85,158,0.08,0.14
3,ELA,"2013-14",1,410,36,73,0.03,0.07
3,ELA,"2013-14",1,409,23,37,0.02,0.03
3,ELA,"2013-14",1,408,2,14,0.00,0.01
3,ELA,"2013-14",1,407,2,12,0.00,0.01
3,ELA,"2013-14",1,406,10,10,0.01,0.0
3,MA,"2013-14",5,473,356,112017,0.32,100.00
3,MA,"2013-14",5,472,590,111661,0.53,99.68
3,MA,"2013-14",5,470,761,111071,0.68,99.16
3,MA,"2013-14",5,469,1183,110310,1.06,98.48
3,MA,"2013-14",5,467,1195,109127,1.07,97.42
3,MA,"2013-14",5,466,1616,107932,1.44,96.35
3,MA,"2013-14",5,465,1459,106316,1.30,94.91
3,MA,"2013-14",5,464,1917,104857,1.71,93.61
3,MA,"2013-14",5,463,1617,102940,1.44,91.90
3,MA,"2013-14",5,462,3887,101323,3.47,90.45
3,MA,"2013-14",5,460,4212,97436,3.76,86.98
3,MA,"2013-14",4,459,4226,93224,3.77,83.22
3,MA,"2013-14",4,458,4108,88998,3.67,79.45
3,MA,"2013-14",4,457,4253,84890,3.80,75.78
3,MA,"2013-14",4,456,4156,80637,3.71,71.99
3,MA,"2013-14",4,455,4145,76481,3.70,68.28
3,MA,"2013-14",4,454,3938,72336,3.52,64.58
3,MA,"2013-14",4,453,4001,68398,3.57,61.06
3,MA,"2013-14",4,452,3842,64397,3.43,57.49
3,MA,"2013-14",4,451,3894,60555,3.48,54.06
3,MA,"2013-14",3,450,3625,56661,3.24,50.58
3,MA,"2013-14",3,449,7371,53036,6.58,47.35
3,MA,"2013-14",3,448,3361,45665,3.00,40.77
3,MA,"2013-14",2,447,3415,42304,3.05,37.77
3,MA,"2013-14",2,446,3390,38889,3.03,34.72
3,MA,"2013-14",2,445,3103,35499,2.77,31.69
3,MA,"2013-14",2,444,3137,32396,2.80,28.92
3,MA,"2013-14",2,443,3097,29259,2.76,26.12
3,MA,"2013-14",2,442,2999,26162,2.68,23.36
3,MA,"2013-14",2,441,2880,23163,2.57,20.68
3,MA,"2013-14",2,440,2956,20283,2.64,18.11
3,MA,"2013-14",1,439,2726,17327,2.43,15.47
3,MA,"2013-14",1,438,2555,14601,2.28,13.04
3,MA,"2013-14",1,437,1194,12046,1.07,10.75
3,MA,"2013-14",1,436,2398,10852,2.14,9.69
3,MA,"2013-14",1,435,2152,8454,1.92,7.55
3,MA,"2013-14",1,434,1876,6302,1.67,5.63
3,MA,"2013-14",1,433,789,4426,0.70,3.95
3,MA,"2013-14",1,432,682,3637,0.61,3.25
3,MA,"2013-14",1,431,1135,2955,1.01,2.64
3,MA,"2013-14",1,430,787,1820,0.70,1.63
3,MA,"2013-14",1,429,493,1033,0.44,0.92
3,MA,"2013-14",1,428,297,540,0.27,0.48
3,MA,"2013-14",1,427,53,243,0.05,0.22
3,MA,"2013-14",1,426,108,190,0.10,0.17
3,MA,"2013-14",1,425,43,82,0.04,0.07
3,MA,"2013-14",1,424,18,39,0.02,0.04
3,MA,"2013-14",1,423,5,21,0.00,0.02
3,MA,"2013-14",1,422,11,16,0.01,0.01
3,MA,"2013-14",1,421,5,5,0.00,0.00
4,ELA,"2013-14",5,468,907,103553,0.88,100.00
4,ELA,"2013-14",5,464,2474,102646,2.39,99.12
4,ELA,"2013-14",5,461,3885,100172,3.75,96.74
4,ELA,"2013-14",4,459,2498,96287,2.41,92.98
4,ELA,"2013-14",4,458,2588,93789,2.50,90.57
4,ELA,"2013-14",4,457,2909,91201,2.81,88.07
4,ELA,"2013-14",4,456,3014,88292,2.91,85.26
4,ELA,"2013-14",4,455,2891,85278,2.79,82.35
4,ELA,"2013-14",4,454,3102,82387,3.00,79.56
4,ELA,"2013-14",4,453,2956,79285,2.85,76.57
4,ELA,"2013-14",4,452,3088,76329,2.98,73.71
4,ELA,"2013-14",4,451,6076,73241,5.87,70.73
4,ELA,"2013-14",4,450,2756,67165,2.66,64.86
4,ELA,"2013-14",4,449,5543,64409,5.35,62.20
4,ELA,"2013-14",4,448,2790,58866,2.69,56.85
4,ELA,"2013-14",3,447,2423,56076,2.34,54.15
4,ELA,"2013-14",3,446,4728,53653,4.57,51.81
4,ELA,"2013-14",3,445,4565,48925,4.41,47.25
4,ELA,"2013-14",2,444,4086,44360,3.95,42.84
4,ELA,"2013-14",2,443,3880,40274,3.75,38.89
4,ELA,"2013-14",2,442,3597,36394,3.47,35.15
4,ELA,"2013-14",2,441,3320,32797,3.21,31.67
4,ELA,"2013-14",2,440,1462,29477,1.41,28.47
4,ELA,"2013-14",2,439,2832,28015,2.73,27.05
4,ELA,"2013-14",1,438,2669,25183,2.58,24.32
4,ELA,"2013-14",1,437,2462,22514,2.38,21.74
4,ELA,"2013-14",1,436,2285,20052,2.21,19.36
4,ELA,"2013-14",1,435,2214,17767,2.14,17.16
4,ELA,"2013-14",1,434,1920,15553,1.85,15.02
4,ELA,"2013-14",1,433,1802,13633,1.74,13.17
4,ELA,"2013-14",1,432,1641,11831,1.58,11.43
4,ELA,"2013-14",1,431,1527,10190,1.47,9.84
