From http://www.ncpublicschools.org/docs/accountability/reports/green/eogeocscrfreq1415.pdf
2014-15 Grades 3, 4, 5,ELA and MA,Level,Frequency,counts

Grade,Subject,acYear,Level,Score,Freq,X,Y,Z
3,MA,"2014-15",5,473,305,116404,0.26,100.00
3,MA,"2014-15",5,472,557,116099,0.48,99.74
3,MA,"2014-15",5,470,777,115542,0.67,99.26
3,MA,"2014-15",5,469,1238,114765,1.06,98.59
3,MA,"2014-15",5,467,1196,113527,1.03,97.53
3,MA,"2014-15",5,466,1679,112331,1.44,96.50
3,MA,"2014-15",5,465,1500,110652,1.29,95.06
3,MA,"2014-15",5,464,1976,109152,1.70,93.77
3,MA,"2014-15",5,463,1768,107176,1.52,92.07
3,MA,"2014-15",5,462,4034,105408,3.47,90.55
3,MA,"2014-15",5,460,4154,101374,3.57,87.09
3,MA,"2014-15",4,459,4225,97220,3.63,83.52
3,MA,"2014-15",4,458,4330,92995,3.72,79.89
3,MA,"2014-15",4,457,4541,88665,3.90,76.17
3,MA,"2014-15",4,456,4368,84124,3.75,72.27
3,MA,"2014-15",4,455,4284,79756,3.68,68.52
3,MA,"2014-15",4,454,4246,75472,3.65,64.84
3,MA,"2014-15",4,453,4178,71226,3.59,61.19
3,MA,"2014-15",4,452,3926,67048,3.37,57.60
3,MA,"2014-15",4,451,3784,63122,3.25,54.23
3,MA,"2014-15",3,450,3840,59338,3.30,50.98
3,MA,"2014-15",3,449,7444,55498,6.39,47.68
3,MA,"2014-15",3,448,3610,48054,3.10,41.28
3,MA,"2014-15",2,447,3440,44444,2.96,38.18
3,MA,"2014-15",2,446,3320,41004,2.85,35.23
3,MA,"2014-15",2,445,3217,37684,2.76,32.37
3,MA,"2014-15",2,444,3181,34467,2.73,29.61
3,MA,"2014-15",2,443,3156,31286,2.71,26.88
3,MA,"2014-15",2,442,3139,28130,2.70,24.17
3,MA,"2014-15",2,441,2976,24991,2.56,21.47
3,MA,"2014-15",2,440,2990,22015,2.57,18.91
3,MA,"2014-15",1,439,2862,19025,2.46,16.34
3,MA,"2014-15",1,438,2732,16163,2.35,13.89
3,MA,"2014-15",1,437,1302,13431,1.12,11.54
3,MA,"2014-15",1,436,2579,12129,2.22,10.42
3,MA,"2014-15",1,435,2266,9550,1.95,8.20
3,MA,"2014-15",1,434,2047,7284,1.76,6.26
3,MA,"2014-15",1,433,855,5237,0.73,4.50
3,MA,"2014-15",1,432,804,4382,0.69,3.76
3,MA,"2014-15",1,431,1339,3578,1.15,3.07
3,MA,"2014-15",1,430,949,2239,0.82,1.92
3,MA,"2014-15",1,429,551,1290,0.47,1.11
3,MA,"2014-15",1,428,394,739,0.34,0.64
3,MA,"2014-15",1,427,87,345,0.07,0.30
3,MA,"2014-15",1,426,143,258,0.12,0.22
3,MA,"2014-15",1,425,64,115,0.05,0.10
3,MA,"2014-15",1,424,26,51,0.02,0.04
3,MA,"2014-15",1,423,5,25,0.00,0.02
3,MA,"2014-15",1,422,7,20,0.01,0.02
3,MA,"2014-15",1,421,13,13,0.01,0.01
4,MA,"2014-15",5,475,122,113968,0.11,100.00
4,MA,"2014-15",5,473,422,113846,0.37,99.89
4,MA,"2014-15",5,472,457,113424,0.40,99.52
4,MA,"2014-15",5,470,942,112967,0.83,99.12
